rxn	name	ec	chem_class	dg_eq	dg_dgp	dgp_uncertainty	eq_uncertainty	absdiff
rxn01999	dTDP-4-amino-4,6-dideoxy-D-glucose:2-oxoglutarate aminotransferase	2.6.1.33	Group transfer: amino / amido	-4.0700	-0.2100	1.2200	0.4547	3.8600
rxn01408	L-Carnitinamide amidohydrolase	3.5.1.73	Hydrolysis	-3.0400	-6.9300	11.6900	0.6343	3.8900
rxn13949	beta-D-fructofuranosyl-alpha-D-mannopyranoside-6F-phosphate phosphohydrolase	3.1.3.79	Hydrolysis	-3.6600	0.2300	4.0700	0.2980	3.8900
rxn45164	UDP-N-acetyl-D-glucosamine O-acetyl transferase		Redox: heteroatom (S)	1.6400	5.5400	13.7100	0.8851	3.9000
rxn51356	41271		Hydrolysis	-4.1300	-8.0400	12.3600	0.6186	3.9100
rxn07200	hydrogen:NADP+ oxidoreductase	1.12.1.3	Redox: carbon, hydride transfer	-8.5300	-4.6100	0.8800	0.7150	3.9200
rxn55865	65448		Redox: heteroatom (S)	-2.2600	-6.1800	8.4100	0.6493	3.9200
rxn02174	D-Galactono-1,4-lactone hydroxyacylhydrolase	3.1.1.25	Hydrolysis	-5.6600	-1.7300	4.8800	0.5606	3.9300
rxn36054	alcohol dehydrogenase [NAD(P)+]	1.1.1.71	Redox: carbon, hydride transfer	5.8600	1.9200	0.9400	0.7053	3.9400
rxn30089	Acetylornithine aminotransferase, mitochondrial	2.6.1.11	Group transfer: amino / amido	-0.7100	3.2400	2.0500	0.8058	3.9500
rxn27671	ACETYLORNTRANSAM-RXN.d	2.6.1.11	Group transfer: amino / amido	-0.7100	3.2400	2.0500	0.8058	3.9500
rxn01637	N2-Acetyl-L-ornithine:2-oxoglutarate aminotransferase	2.6.1.11	Group transfer: amino / amido	-0.7100	3.2400	2.0500	0.8058	3.9500
rxn54937	60824		Group transfer: phosphoryl	-4.5900	-0.6100	0.9100	1.3849	3.9800
rxn02400	Nicotinate D-ribonucleotide phosphohydrolase	3.1.3.5	Hydrolysis	-6.6100	-2.6300	0.8700	0.6952	3.9800
rxn01237	butanoate:NAD+ delta2-oxidoreductase	1.3.1.31	Redox: carbon, hydride transfer	16.5300	12.5400	9.4600	0.7759	3.9900
rxn54098	56444		Hydrolysis	-4.0200	-8.0400	12.3600	0.5211	4.0200
rxn52649	48552		Hydrolysis	-4.0200	-8.0400	12.3600	0.5211	4.0200
rxn52076	45400		Hydrolysis	-4.0200	-8.0400	12.3600	0.5211	4.0200
rxn51368	41320		Hydrolysis	-4.0200	-8.0400	12.3600	0.5211	4.0200
rxn52627	48460		Hydrolysis	-4.0200	-8.0400	12.3600	0.5211	4.0200
rxn25787	RXN-9719.c		Other / unclassified	2.7600	-1.2600	7.8600	0.5226	4.0200
rxn52075	45396		Hydrolysis	-4.0200	-8.0400	12.3600	0.5211	4.0200
rxn15393	2,5-Diaminopentanoate:2-oxoglutarate aminotransferase	2.6.1.8	Group transfer: amino / amido	-3.0700	0.9500	1.0600	1.0833	4.0200
rxn53693	54396		Hydrolysis	-4.0200	-8.0400	12.3600	0.5211	4.0200
rxn54099	56448		Hydrolysis	-4.0200	-8.0400	12.3600	0.5211	4.0200
rxn54133	56636		Hydrolysis	-4.0200	-8.0400	12.3600	0.5211	4.0200
rxn47554			Hydrolysis	-4.0200	-8.0400	12.3600	0.5211	4.0200
rxn51256	40823		Hydrolysis	-4.0200	-8.0400	12.3600	0.5211	4.0200
rxn51187	40491		Hydrolysis	-4.0200	-8.0400	12.3600	0.5211	4.0200
rxn53691	54388		Hydrolysis	-4.0200	-8.0400	12.3600	0.5211	4.0200
rxn60006			Hydrolysis	-4.0200	-8.0400	12.3600	0.5211	4.0200
rxn02325	2,5-Diaminopentanoate:2-oxoglutarate aminotransferase	2.6.1.8	Group transfer: amino / amido	-3.0700	0.9500	1.0600	1.0833	4.0200
rxn50877	38787		Hydrolysis	-4.0200	-8.0400	12.3600	0.5211	4.0200
rxn50845	38643		Hydrolysis	-4.0200	-8.0400	12.3600	0.5211	4.0200
rxn52626	48456		Hydrolysis	-4.0200	-8.0400	12.3600	0.5211	4.0200
rxn53694	54400		Hydrolysis	-4.0200	-8.0400	12.3600	0.5211	4.0200
rxn53695	54404		Hydrolysis	-4.0200	-8.0400	12.3600	0.5211	4.0200
rxn03883	D-arabinitol:NAD 4-oxidoreductase	1.1.1.11	Redox: carbon, hydride transfer	-0.7200	3.3600	1.2600	0.8809	4.0800
rxn30547	F or mate-hydrogen lyase		C-C bond: carboxylation / decarboxylation	5.1100	0.9800	1.2900	1.0427	4.1300
rxn08518	FHLMULTI-RXN.c		C-C bond: carboxylation / decarboxylation	5.1100	0.9800	1.2900	1.0427	4.1300
