compound	name	formula	charge	n_reactions	offset	abs_offset	mass	eq_uncertainty	heavy_atoms	n_rings	n_arom_atoms	n_conj_bonds	frac_conj	n_stereo	n_rotatable	logp	n_distinct_r1_frags	frag_failures
cpd05400	3-Hexenol	C6H12O	0	7	14.1060	14.1060	100.0000	0.5855	7	0	0	0	0.0000	0	3	1.3350	5	0
cpd00653	D-Galactonate	C6H11O7	-1	5	-14.0650	14.0650	195.0000	0.3294	13	0	0	2	0.1667	4	5	-4.8278	7	0
cpd00724	alpha-D-Galactose	C6H12O6	0	22	-14.0380	14.0380	180.0000	0.3351	12	1	0	0	0.0000	5	1	-3.2214	7	0
cpd00943	Inositol 1,3,4,5,6-pentakisphosphate	C6H7O21P5	-10	8	-13.9950	13.9950	575.0000	2.1868	32	1	0	0	0.0000	6	10	-9.5696	7	0
cpd17740	8-Hydroxygeraniol	C10H18O2	0	6	13.9460	13.9460		0.9974	12	0	0	0	0.0000	0	5	1.6438	8	0
cpd01890	4-Coumaroylshikimate	C16H15O7	-1	9	13.8680	13.8680	319.0000	1.8594	23	2	6	16	0.6667	3	4	-0.8810	17	0
cpd08012	Dioxindole	C8H7NO2	0	5	-13.8640	13.8640	149.0000	1.5342	11	2	6	9	0.7500	1	0	0.6721	8	0
cpd00092	Uracil	C4H4N2O2	0	26	-13.8500	13.8500	112.0000		8	1	0	6	0.7500	0	0	-0.3029	7	0
cpd00333	(E)-Cinnamate	C9H7O2	-1	25	13.8230	13.8230	147.0000	0.7583	11	1	6	11	1.0000	0	2	0.4497	7	0
cpd00699	5-Dehydroquinate	C7H9O6	-1	23	-13.7890	13.7890	189.0000	1.4788	13	1	0	2	0.1538	3	1	-3.4479	8	0
cpd24268	(3R)-3-hydroxy-lignoceroyl-CoA	C45H78N7O18P3S	-4	5	-13.7360	13.7360	1133.0000	2.9568	74	3	9	15	0.1974	8	41	3.7096	31	0
cpd00294	dAMP	C10H12N5O6P	-2	6	-13.7000	13.7000	330.0000	0.6842	22	3	9	11	0.4583	3	4	-2.0978	18	0
cpd15073	3-Methylxanthine	C6H6N4O2	0	8	-13.5770	13.5770	166.0000		12	2	9	12	0.9231	0	0	-0.2739	9	0
cpd00382	Melitose	C18H32O16	0	29	13.5100	13.5100	504.0000	0.9029	34	3	0	0	0.0000	14	8	-7.5714	8	0
cpd02496	1-Palmitoylglycerol 3-phosphate	C19H37O7P	-2	21	-13.5040	13.5040	409.0000	1.4233	27	0	0	2	0.0769	1	19	3.2171	12	0
cpd25361	4alpha-carboxy-4beta-methyl-5alpha-cholesta-8-en-3beta-ol	C29H47O3	-1	12	-13.4190	13.4190	444.0000	56449.4432	32	4	0	2	0.0571	8	6	5.8989	13	0
cpd00654	Deoxycytidine	C9H13N3O4	0	5	-13.3200	13.3200	227.0000	1.0438	16	2	6	8	0.4706	3	2	-1.5338	15	0
cpd00026	UDP-glucose	C15H22N2O17P2	-2	19	13.3160	13.3160	564.0000	1.1463	36	3	6	8	0.2105	11	9	-6.0577	20	0
cpd21469	4-O-beta-D-Mannopyranosyl-D-glucopyranose	C12H22O11	0	5	13.2660	13.2660	342.0000	0.5421	23	2	0	0	0.0000	10	4	-5.3972	8	0
cpd00811	(CH3)3NO	C3H9NO	0	8	-13.1600	13.1600	75.0000	0.9910	5	0	0	0	0.0000	0	0	0.1904	3	0
cpd00477	N-Acetyl-L-glutamate	C7H9NO5	-2	10	-13.0660	13.0660	187.0000	0.7622	13	0	0	6	0.5000	1	5	-3.2289	8	0
cpd03847	Myristic acid	C14H27O2	-1	22	-13.0470	13.0470	227.0000	1.0965	16	0	0	2	0.1333	0	12	3.4374	5	0
cpd02043	(S)-4-Hydroxymandelate	C8H7O4	-1	6	-13.0060	13.0060	167.0000	0.6479	12	1	6	9	0.7500	1	2	-0.8245	9	0
cpd00043	UDP-galactose	C15H22N2O17P2	-2	17	12.9340	12.9340	564.0000	1.2261	36	3	6	8	0.2105	11	9	-6.0577	20	0
