compound	name	formula	n_reactions	fitted_offset	observed_median_absdiff	ratio_vs_baseline	verdict	median_sigma
cpd00130	L-Malate	C4H4O5	54	-4.6279	0.7000	0.2035	unremarkable	1.2600
cpd00196	Acetylphosphate	C2H3O5P	17	-1.1706	0.7000	0.2035	unremarkable	0.8900
cpd00910	Galactinol	C12H22O11	20	6.5907	0.6800	0.1977	unremarkable	1.0600
cpd00200	4MOP	C6H9O3	27	-1.2960	0.6800	0.1977	unremarkable	12.4700
cpd00199	4-Oxobutanoate	C4H5O3	31	-0.0229	0.6700	0.1948	unremarkable	1.3700
cpd00169	3-Phosphoglycerate	C3H4O7P	20	-6.0192	0.6650	0.1933	unremarkable	0.8800
cpd00145	Hydroxypyruvate	C3H3O4	26	1.7059	0.6200	0.1802	unremarkable	0.8900
cpd00146	Carbamoylphosphate	CH2NO5P	17	-8.1166	0.5100	0.1483	unremarkable	1.2200
cpd00137	Citrate	C6H5O7	21	-4.5855	0.4900	0.1424	unremarkable	0.9300
cpd00171	D-Ribulose5-phosphate	C5H9O8P	30	1.2675	0.4400	0.1279	unremarkable	1.2700
cpd00284	6-Phospho-D-gluconate	C6H10O10P	21	-2.8739	0.4400	0.1279	unremarkable	1.2700
cpd00465	Ureidoglycolate	C3H5N2O4	15	-14.7725	0.4200	0.1221	unremarkable	1.6700
cpd00061	Phosphoenolpyruvate	C3H2O6P	38	-2.8563	0.3400	0.0988	unremarkable	3.2500
cpd00012	PPi	HO7P2	26	-1.7770	0.3400	0.0988	unremarkable	0.8900
cpd00191	3-Oxopropanoate	C3H3O3	22	0.9683	0.2900	0.0843	unremarkable	1.4950
cpd00314	D-Mannitol	C6H14O6	20	1.5893	0.2500	0.0727	unremarkable	0.9300
cpd00260	Isocitrate	C6H5O7	24	-4.7827	0.2200	0.0640	unremarkable	0.9500
cpd00331	cis-Aconitate	C6H3O6	19	-1.7094	0.2200	0.0640	unremarkable	0.9300
cpd00016	Pyridoxal phosphate	C8H8NO6P	19	-11.6793	0.1200	0.0349	unremarkable	1.7400
