rxn	name	ec	dg_eq	dg_dgp	diff	absdiff	definition	cofactors	net_proton	d_charge_sq	n_participants	max_carbon	dgp_uncertainty	eq_uncertainty
rxn50998	39511		-0.100	-1.580	1.480	1.480	(1) (3R)-hydroxy-(15Z,18Z,21Z,24Z,27Z)-triacontapentaenoyl-CoA[0] <=> (1) H2O[0] + (1) (2E,15Z,18Z,21Z,24Z,27Z)-triacontahexaenoyl-CoA[0]	h2o	0.000	0.000	3	51	12.580	0.357
rxn50995	39499		-0.100	-1.580	1.480	1.480	(1) (3R)-hydroxy-(13Z,16Z,19Z,22Z,25Z)-octacosapentaenoyl-CoA[0] <=> (1) H2O[0] + (1) (2E,13Z,16Z,19Z,22Z,25Z)-octacosahexaenoyl-CoA[0]	h2o	0.000	0.000	3	49	12.580	0.357
rxn25651	3-hydroxystearoyl-dehydratase	4.2.1.-;4.2.1.119	-0.100	-1.580	1.480	1.480	(1) (3R)-3-hydroxy-stearoyl-CoA[0] <=> (1) H2O[0] + (1) (2E)-Octadecenoyl-CoA[0]	h2o	0.000	0.000	3	39	12.580	0.357
rxn24266	RXN-7242.c		0.300	-1.180	1.480	1.480	(1) H2O[0] + (1) 1D-myo-inositol (1,2,3,5,6) pentakisphosphate[0] <=> (1) Phosphate[0] + (1) 1D-myo-inositol (1,2,5,6) tetrakisphosphate[0]	h2o;pi	0.000	-32.000	4	6	11.910	0.332
rxn51018	39591		-0.100	-1.580	1.480	1.480	(1) (3R)-hydroxy-(10Z,13Z,16Z,19Z,22Z,25Z)-octacosahexaenoyl-CoA[0] <=> (1) H2O[0] + (1) (2E,10Z,13Z,16Z,19Z,22Z,25Z)-octacosaheptaenoyl-CoA[0]	h2o	0.000	0.000	3	49	12.580	0.357
rxn51015	39579		-0.100	-1.580	1.480	1.480	(1) (3R)-hydroxy-(8Z,11Z,14Z,17Z,20Z,23Z)-hexacosahexaenoyl-CoA[0] <=> (1) H2O[0] + (1) (2E,8Z,11Z,14Z,17Z,20Z,23Z)-hexacosaheptaenoyl-CoA[0]	h2o	0.000	0.000	3	47	12.580	0.357
rxn51010	39559		-0.100	-1.580	1.480	1.480	(1) (3R)-hydroxy-(23Z,26Z,29Z,32Z,35Z)-octatriacontapentaenoyl-CoA[0] <=> (1) H2O[0] + (1) (2E,23Z,26Z,29Z,32Z,35Z)-octatriacontahexaenoyl-CoA[0]	h2o	0.000	0.000	3	59	12.580	0.357
rxn00577	sucrose:phosphate alpha-D-glucosyltransferase	2.4.1.7	0.670	-0.810	1.480	1.480	(1) Phosphate[0] + (1) Sucrose[0] <=> (1) D-Fructose[0] + (1) Glucose-1-phosphate[0]	pi	0.000	0.000	4	12	0.890	0.604
rxn37287	AtECH2	4.2.1.119	-0.100	-1.580	1.480	1.480	(1) (R)-3-hydroxydecanoyl-CoA[0] <=> (1) H2O[0] + (1) (2E)-Decenoyl-CoA[0]	h2o	0.000	0.000	3	31	12.580	0.357
rxn37288	AtECH2	4.2.1.-;4.2.1.119	-0.100	-1.580	1.480	1.480	(1) (3R)-3-hydroxy-arachidoyl-CoA[0] <=> (1) H2O[0] + (1) (2E)-arachidoenoyl-CoA[0]	h2o	0.000	0.000	3	41	12.580	0.357
