rxn	name	ec	dg_eq	dg_dgp	diff	absdiff	definition	cofactors	net_proton	d_charge_sq	n_participants	max_carbon	dgp_uncertainty	eq_uncertainty
rxn55475	63488		-14.560	51.150	-65.710	65.710	(1) NADPH[0] + (1) H+[0] + (1) Phenanthraquinone[0] <=> (1) NADP[0] + (1) phenanthrene-9,10-diol[0]	h;nadp;nadph	-1.000	-8.000	5	21	78.080	1.512
rxn03704	R05404	1.13.11.2	-62.110	-127.720	65.610	65.610	(1) O2[0] + (1) 3-Vinylcatechol[0] => (1) H+[0] + (1) 2-Hydroxy-6-oxoocta-2,4,7-trienoate[0]	h;o2	1.000	2.000	4	8	43.590	
rxn46929		1.14.14.21	-104.640	-169.950	65.310	65.310	(2) O2[0] + (2) FMNH2[0] + (1) Dibenzothiophene[0] => (2) H2O[0] + (2) FMN[0] + (1) DBTO2[0]	fmn;fmnh2;h2o;o2	0.000	0.000	6	17	67.360	
rxn33553	trans-5-O-(4-coumaroyl)-D-shikimate,NADPH:oxygen oxidoreductase (3'-hydorxylating)	1.14.13.36	-105.790	-40.910	-64.880	64.880	(1) NADPH[0] + (1) O2[0] + (1) H+[0] + (1) 4-Coumaroylshikimate[0] => (1) H2O[0] + (1) NADP[0] + (1) 5-O-Caffeoylshikimic acid[0]	h;h2o;nadp;nadph;o2	-1.000	-8.000	7	21	49.600	0.898
rxn33554	trans-5-O-(4-coumaroyl)-D-shikimate,NADPH:oxygen oxidoreductase (3'-hydorxylating)	1.14.13.36	-105.790	-40.910	-64.880	64.880	(1) NADPH[0] + (1) O2[0] + (1) H+[0] + (1) 4-Coumaroylshikimate[0] => (1) H2O[0] + (1) NADP[0] + (1) 5-O-Caffeoylshikimic acid[0]	h;h2o;nadp;nadph;o2	-1.000	-8.000	7	21	49.600	0.898
rxn07118	trans-5-O-(4-coumaroyl)-D-shikimate,NADPH:oxygen oxidoreductase (3'-hydorxylating)	1.14.13.36	-105.790	-40.910	-64.880	64.880	(1) NADPH[0] + (1) O2[0] + (1) H+[0] + (1) 4-Coumaroylshikimate[0] => (1) H2O[0] + (1) NADP[0] + (1) 5-O-Caffeoylshikimic acid[0]	h;h2o;nadp;nadph;o2	-1.000	-8.000	7	21	49.600	0.898
rxn21189	protocatechuate 2,3-dioxygenase		-61.570	-125.890	64.320	64.320	(1) O2[0] + (1) Protocatechuate[0] => (1) H+[0] + (1) 2-hydroxy-5-carboxymuconate-6-semialdehyde[0]	h;o2	1.000	4.000	4	7	39.120	
rxn45990			-61.570	-125.890	64.320	64.320	(1) O2[0] + (1) Protocatechuate[0] => (1) H+[0] + (1) (2Z,4Z)-2-hydroxy-5-carboxymuconate-6-semialdehyde[0]	h;o2	1.000	4.000	4	7	39.120	
rxn32876	1,2-Dihydronaphthalene-1,2-diol dehydrogenase	1.3.1.20	-20.350	43.430	-63.780	63.780	(1) NADP[0] + (1) 1,2-Dihydronaphthalene-1,2-diol[0] => (1) NADPH[0] + (1) H+[0] + (1) 1,2-Naphthalenediol[0]	h;nadp;nadph	1.000	8.000	5	21	51.810	1.902
rxn32875	1,2-Dihydronaphthalene-1,2-diol dehydrogenase	1.3.1.20	-20.350	43.430	-63.780	63.780	(1) NADP[0] + (1) 1,2-Dihydronaphthalene-1,2-diol[0] => (1) NADPH[0] + (1) H+[0] + (1) 1,2-Naphthalenediol[0]	h;nadp;nadph	1.000	8.000	5	21	51.810	1.902
rxn04822	1,2-Dihydronaphthalene-1,2-diol dehydrogenase	1.3.1.20	-20.350	43.430	-63.780	63.780	(1) NADP[0] + (1) 1,2-Dihydronaphthalene-1,2-diol[0] => (1) NADPH[0] + (1) H+[0] + (1) 1,2-Naphthalenediol[0]	h;nadp;nadph	1.000	8.000	5	21	51.810	1.902
rxn58158			-110.820	-47.100	-63.720	63.720	(1) NADH[0] + (1) O2[0] + (2) H+[0] + (1) Aniline[0] => (1) NAD[0] + (1) NH3[0] + (1) Catechol[0]	h;nad;nadh;nh3;o2	-2.000	-4.000	7	21	35.690	1.038
rxn37554	SHIKIMATE-PQQ-RXN.e.metaexp.2-METHYL-3-PHYTYL-14-NAPHTHOQUINONE_CPD-12831	1.1.5.8	-4.130	59.450	-63.580	63.580	(1) Shikimate[0] + (1) Vitamin K1[0] <=> (1) 3-Dehydroshikimate[0] + (1) Phytonadiol[0]		0.000	0.000	4	31	71.750	1.208
rxn37547	SHIKIMATE-PQQ-RXN.c.metaexp.2-METHYL-3-PHYTYL-14-NAPHTHOQUINONE_CPD-12831	1.1.5.8	-4.130	59.450	-63.580	63.580	(1) Shikimate[0] + (1) Vitamin K1[0] <=> (1) 3-Dehydroshikimate[0] + (1) Phytonadiol[0]		0.000	0.000	4	31	71.750	1.208
rxn03621	cis-1,2-dihydroxy-1,2-dihydrodibenzothiophene:NAD+ oxidoreductase	1.3.1.60	-20.400	42.370	-62.770	62.770	(1) NAD[0] + (1) cis-1,2-Dihydroxy-1,2-dihydrodibenzothiophene[0] => (1) NADH[0] + (1) H+[0] + (1) 1,2-Dihydroxydibenzothiophene[0]	h;nad;nadh	1.000	4.000	5	21	47.970	1.902
rxn43591		1.3.1.56	-14.060	47.830	-61.890	61.890	(1) NAD[0] + (1) (1S,2S)-3-phenoxycyclohexa-3,5-diene-1,2-diol[0] => (1) NADH[0] + (1) H+[0] + (1) diphenyl ether 2,3-diol[0]	h;nad;nadh	1.000	4.000	5	21	47.920	1.647
