compound	name	formula	charge	n_reactions	offset_eq_minus_dgp
cpd01890	4-Coumaroylshikimate	C16H15O7	-1	9	13.868
cpd08012	Dioxindole	C8H7NO2	0	5	-13.864
cpd00092	Uracil	C4H4N2O2	0	26	-13.850
cpd00333	(E)-Cinnamate	C9H7O2	-1	25	13.823
cpd00699	5-Dehydroquinate	C7H9O6	-1	23	-13.789
cpd24268	(3R)-3-hydroxy-lignoceroyl-CoA	C45H78N7O18P3S	-4	5	-13.736
cpd00294	dAMP	C10H12N5O6P	-2	6	-13.700
cpd15073	3-Methylxanthine	C6H6N4O2	0	8	-13.577
cpd00382	Melitose	C18H32O16	0	29	13.510
cpd02496	1-Palmitoylglycerol 3-phosphate	C19H37O7P	-2	21	-13.504
cpd25361	4alpha-carboxy-4beta-methyl-5alpha-cholesta-8-en-3beta-ol	C29H47O3	-1	12	-13.419
cpd00654	Deoxycytidine	C9H13N3O4	0	5	-13.320
cpd00026	UDP-glucose	C15H22N2O17P2	-2	19	13.316
cpd21469	4-O-beta-D-Mannopyranosyl-D-glucopyranose	C12H22O11	0	5	13.266
cpd00811	(CH3)3NO	C3H9NO	0	8	-13.160
cpd00477	N-Acetyl-L-glutamate	C7H9NO5	-2	10	-13.066
cpd03847	Myristic acid	C14H27O2	-1	22	-13.047
cpd02043	(S)-4-Hydroxymandelate	C8H7O4	-1	6	-13.006
cpd00043	UDP-galactose	C15H22N2O17P2	-2	17	12.934
cpd02120	Dihydrodipicolinate	C7H5NO4	-2	8	12.913
cpd00327	strcoa	C39H66N7O17P3S	-4	51	-12.913
cpd00309	XAN	C5H4N4O2	0	17	-12.894
cpd00834	Phosphopantetheine	C11H21N2O7PS	-2	5	-12.848
cpd00367	Cytidine	C9H13N3O5	0	16	-12.842
cpd00274	Citrulline	C6H13N3O3	0	24	-12.837
cpd26313	2-mono-C18:1	C21H40O4	0	17	12.789
cpd03481	2-phenylethanol	C8H10O	0	11	12.788
cpd00452	Phenylacetyl-CoA	C29H38N7O17P3S	-4	13	12.755
cpd00207	Guanine	C5H5N5O	0	14	-12.752
cpd00160	Cholesterol	C27H46O	0	49	-12.722
cpd25363	4alpha-hydroxymethyl-5alpha-cholesta-8-en-3beta-ol	C28H48O2	0	12	-12.721
cpd03711	2-Hydroxychromene-2-carboxylate	C10H7O4	-1	6	-12.698
cpd00143	Phenylpyruvate	C9H7O3	-1	39	12.635
cpd04653	Theobromine	C7H8N4O2	0	7	-12.631
cpd01749	N-Formylkynurenine	C11H12N2O4	0	5	12.602
cpd01534	1-Dodecanol	C12H26O	0	7	-12.556
cpd19036	beta-D-Fructose 1,6-bisphosphate	C6H10O12P2	-4	13	-12.518
cpd03248	3alpha,7alpha,12alpha-Trihydroxy-5beta-24-oxocholestanoyl-CoA	C48H74N7O21P3S	-4	6	12.501
cpd08255	(1S,4R)-Iso-dihydrocarvone	C10H16O	0	5	-12.441
cpd34433	sucrose mono-4-isovalerate	C17H30O12	0	8	12.412
cpd01101	Carbamate	CH2NO2	-1	6	-12.339
cpd01747	Indole-3-acetamide	C10H10N2O	0	5	12.326
cpd03870	2-Hydroxyethylphosphonate	C2H6O4P	-1	5	-12.315
cpd03161	Phenethylamine	C8H12N	1	8	12.313
cpd00251	ADPribose	C15H21N5O14P2	-2	14	12.256
cpd00859	Pseudouridine 5'-phosphate	C9H11N2O9P	-2	6	12.228
cpd00461	Oxopent-4-enoate	C5H5O3	-1	14	12.206
cpd03035	4-methylzymosterol	C28H46O	0	7	12.200
cpd27712	2-keto-4-pentenoate	C5H5O3	-1	11	12.180
cpd32214	(2Z)-2-hydroxypenta-2,4-dienoate	C5H5O3	-1	11	12.180
cpd00623	Sphinganine	C18H40NO2	1	28	-12.101
cpd00315	GDP-glucose	C16H23N5O16P2	-2	8	12.099
cpd00511	Androstanedione	C19H28O2	0	7	-12.058
cpd00018	AMP	C10H12N5O7P	-2	47	-12.034
cpd15077	1,3,7-Trimethyluric acid	C8H10N4O3	0	6	-11.946
cpd00523	Trehalose 6-phosphate	C12H21O14P	-2	15	11.894
cpd00134	Palmitoyl-CoA	C37H62N7O17P3S	-4	83	-11.874
cpd01044	Propenal	C3H4O	0	7	11.850
cpd15331	1-tetradecanoyl-sn-glycerol 3-phosphate	C17H33O7P	-2	5	-11.832
cpd02108	Strictosidine aglycone	C21H25N2O4	1	5	-11.807
cpd02193	Strictosidine	C27H35N2O9	1	5	11.807
cpd40582	1-(9Z-octadecenoyl)-glycerol	C21H40O4	0	6	11.786
cpd05267	Ribose	C5H10O5	0	12	-11.785
cpd00016	Pyridoxal phosphate	C8H8NO6P	-2	19	-11.723
cpd02788	Inositol 1,2,3,5,6-pentakisphosphate	C6H7O21P5	-10	11	-11.705
cpd08727	dTDP 1-ester with (6R)-5,6-dihydro-4-hydroxy-6-methyl-5-oxo-2H-pyran	C16H20N2O14P2	-2	8	-11.673
cpd01171	Dulcose	C6H14O6	0	9	-11.644
cpd00347	5-10-Methenyltetrahydrofolate	C20H20N7O6	-1	11	11.611
