rxn_id,operator,dg,dge
rxn00295,=,0.0,4.58
rxn00297,=,0.0,4.58
rxn00298,=,-4.58,13.04
rxn00299,>,-16.89,3.86
rxn00300,>,-37.59,3.84
rxn00301,>,-27.3,3.95
rxn00302,=,-9.79,3.63
rxn00303,>,-23.56,5.8
rxn00304,=,-4.92,3.94
rxn00305,>,-9.82,3.97
rxn00306,=,-1.06,6.32
rxn00307,>,-8.48,4.53
rxn00308,>,-6.05,6.35
rxn00309,=,7.69,6.18
rxn00310,>,-23.02,1.25
rxn00311,>,-90.63,6.19
rxn00312,>,-109.26,1.22
rxn00313,>,-3.09,0.96
rxn00314,=,9.21,6.23
rxn00315,=,-1.0,0.81
rxn00316,>,-5.29,5.03
rxn00317,=,-1.0,0.88
rxn00318,=,-2.0,1.2
rxn00319,=,5.71,1.37
rxn00320,=,0.0,0.79
rxn00321,=,0.0,0.79
rxn00322,>,-3.09,0.95
rxn00323,=,-0.44,1.46
rxn00324,=,7.68,6.1
rxn00325,>,-38.77,1.04
rxn00326,=,-4.05,7.84
rxn00327,=,-1.51,1.59
rxn00328,=,3.21,0.57
rxn00330,<,8.96,4.98
rxn00331,=,3.21,5.02
rxn00332,<,10.57,0.79
rxn00333,>,-24.03,0.78
rxn00334,=,5.02,0.7
rxn00335,=,5.02,0.57
rxn00336,=,5.02,0.62
rxn00337,=,-6.9,4.33
rxn00338,>,-44.72,1.71
rxn00339,=,-2.09,4.41
rxn00340,>,-22.58,4.4
rxn00341,=,2.73,1.36
rxn00342,>,-4.72,0.98
rxn00343,=,1.81,5.07
rxn00344,>,-5.29,5.0
rxn00345,=,-2.0,1.06
rxn00346,>,-3.09,0.67
rxn00347,=,3.08,0.94
rxn00348,=,0.0,0.48
rxn00350,=,-0.46,1.92
rxn00351,>,-6.35,4.72
rxn00352,>,-15.28,2.42
rxn00353,<,7.17,4.34
rxn00354,=,-4.58,12.98
rxn00355,=,1.07,3.98
rxn00356,=,-1.7,4.98
rxn00357,>,-14.03,6.7
rxn00358,=,0.24,4.32
rxn00359,>,-30.34,4.41
rxn00360,=,7.22,4.45
rxn00361,>,-14.03,6.15
rxn00362,=,-0.73,2.75
rxn00363,=,7.22,2.81
rxn00364,=,9.53,5.08
rxn00365,>,-14.03,5.09
rxn00366,>,-16.34,2.81
rxn00367,>,-27.3,2.81
rxn00368,>,-14.03,3.82
rxn00369,>,-14.03,4.74
rxn00370,=,-10.66,4.74
rxn00371,>,-3.09,6.14
rxn00372,>,-4.55,4.97
rxn00373,>,-5.63,0.87
rxn00374,>,-17.82,0.94
rxn00375,=,0.74,1.08
rxn00376,=,0.74,1.05
rxn00377,>,-14.08,2.37
rxn00379,=,3.04,4.41
rxn00380,<,14.0,4.41
rxn00381,>,-30.34,4.4
rxn00382,>,-23.82,1.18
rxn00383,>,-40.63,1.12
rxn00384,>,-16.31,2.37
rxn00385,=,-14.03,7.54
rxn00386,=,-14.03,7.59
rxn00387,=,-14.03,7.59
rxn00391,=,7.22,4.13
rxn00392,>,-14.03,5.92
rxn00393,=,0.0,4.6
rxn00394,=,-3.9,1.79
