rxn_id,has_modelseed,op_modelseed,has_group_contribution,op_group_contribution,has_equilibrator,op_equilibrator,has_dgpredictor,op_dgpredictor
rxn00339,True,>,True,>,True,>,True,>
rxn00340,True,>,True,>,True,>,True,>
rxn00341,True,>,True,>,True,>,True,>
rxn00342,True,>,True,>,True,>,True,>
rxn00343,True,>,True,>,False,,True,>
rxn00344,True,>,True,>,True,>,True,=
rxn00345,True,>,True,=,True,>,True,>
rxn00346,True,>,True,>,True,>,True,>
rxn00347,True,=,True,=,True,=,True,=
rxn00348,True,=,True,=,True,=,True,=
rxn00349,False,,False,,False,,False,
rxn00350,True,=,True,=,True,=,True,=
rxn00351,True,>,True,>,True,>,True,>
rxn00352,True,>,True,>,True,>,True,>
rxn00353,True,>,True,<,True,>,False,
rxn00354,True,=,True,=,True,=,True,=
rxn00355,True,=,True,=,True,=,True,>
rxn00356,True,=,True,=,True,=,True,=
rxn00357,True,=,True,=,True,=,True,=
rxn00358,True,=,True,=,True,=,True,=
rxn00359,True,>,True,>,True,>,True,>
rxn00360,True,>,True,=,True,>,True,>
rxn00361,True,=,True,=,True,=,True,=
rxn00362,True,>,True,=,True,>,True,=
rxn00363,True,>,True,=,True,>,True,>
rxn00364,True,=,True,=,True,=,True,=
rxn00365,True,=,True,=,True,=,True,=
rxn00366,True,>,True,>,True,>,True,>
rxn00367,True,>,True,>,True,>,True,>
rxn00368,True,=,True,>,True,=,True,=
rxn00369,True,=,True,>,True,=,True,=
rxn00370,True,=,True,=,True,=,True,<
rxn00371,True,>,True,>,True,>,True,>
rxn00372,True,>,True,>,True,>,True,>
rxn00373,True,>,True,>,True,>,True,>
rxn00374,True,>,True,>,True,>,True,>
rxn00375,True,>,True,=,True,>,True,>
rxn00376,True,>,True,=,True,>,True,>
rxn00377,True,=,True,>,True,=,True,>
rxn00378,False,,False,,False,,False,
rxn00379,True,<,True,=,True,<,True,<
rxn00380,True,<,True,<,True,<,True,<
rxn00381,True,>,True,>,True,>,True,>
rxn00382,True,>,True,>,True,=,True,>
rxn00383,True,>,True,>,True,>,True,>
rxn00384,True,>,True,>,True,=,True,>
rxn00385,True,=,True,=,True,=,True,=
rxn00386,True,=,True,=,True,=,True,=
rxn00387,True,=,True,=,True,=,True,=
rxn00388,False,,False,,False,,False,
rxn00389,False,,False,,False,,False,
rxn00390,False,,False,,False,,False,
rxn00391,True,>,True,=,True,>,True,>
rxn00392,True,=,True,=,True,=,True,=
rxn00393,True,=,True,=,True,=,True,=
rxn00394,True,>,True,=,True,>,True,>
rxn00395,True,>,True,>,True,>,True,>
rxn00396,True,=,True,=,True,=,True,=
rxn00397,True,=,True,=,True,=,False,
rxn00398,False,,False,,False,,False,
rxn00399,True,>,False,,True,>,False,
rxn00400,True,>,True,>,False,,True,>
rxn00401,True,>,True,>,True,>,True,>
rxn00402,True,=,True,=,True,=,True,=
rxn00403,True,=,True,=,True,=,True,=
rxn00404,True,=,True,=,True,=,True,=
rxn00405,True,>,True,>,True,>,True,>
rxn00406,True,=,True,=,True,=,True,=
rxn00407,True,>,True,>,True,>,True,>
rxn00408,True,>,True,>,True,>,True,>
rxn00409,True,=,True,=,True,=,True,=
rxn00410,True,=,True,=,True,=,True,>
rxn00411,True,=,True,=,True,=,True,=
rxn00412,True,>,True,>,True,>,True,>
rxn00413,True,>,True,>,True,>,True,>
rxn00414,True,>,True,>,True,>,True,>
rxn00415,True,=,True,=,True,=,True,=
rxn00416,True,>,True,>,True,>,True,>
rxn00417,True,=,True,=,True,=,True,=
rxn00418,True,>,True,>,True,=,False,
rxn00419,True,=,True,=,True,=,True,=
rxn00420,True,>,True,=,True,>,True,>
rxn00421,True,=,True,=,True,=,True,=
rxn00422,True,=,True,=,True,=,True,=
rxn00423,True,=,True,>,True,=,True,=
rxn00424,True,=,True,=,True,=,True,=
rxn00425,True,=,True,=,True,=,True,=
rxn00426,True,=,True,=,True,=,True,>
rxn00427,True,>,True,>,True,>,True,>
rxn00428,False,,False,,False,,True,<
rxn00429,True,>,True,=,True,>,True,>
rxn00430,True,=,True,=,True,=,True,=
rxn00431,True,>,True,>,True,>,False,
rxn00432,True,>,True,>,True,>,True,>
rxn00433,True,>,True,>,True,>,True,>
rxn00434,True,>,True,>,True,>,True,>
rxn00435,True,>,True,>,True,>,True,>
rxn00436,True,=,True,>,True,=,True,>
rxn00437,True,=,True,=,True,=,True,=
rxn00438,True,>,True,=,True,>,True,=
rxn00439,True,>,True,>,True,>,True,>
rxn00440,True,=,True,=,True,=,True,=
rxn00441,True,>,True,>,True,>,True,>
rxn00442,False,,False,,False,,False,
rxn00443,False,,False,,False,,False,
rxn00444,True,>,True,>,False,,True,>
rxn00445,True,>,True,>,True,>,True,>
rxn00447,False,,True,>,False,,False,
rxn00448,True,>,True,>,True,>,True,>
rxn00449,True,=,True,>,True,=,True,=
rxn00450,True,>,True,>,True,>,True,>
rxn00451,True,=,True,=,True,=,True,=
rxn00452,True,=,True,=,True,=,True,=
rxn00453,True,>,True,=,True,>,True,>
rxn00454,True,=,True,=,True,=,True,=
rxn00455,True,>,True,=,True,>,True,>
rxn00456,True,>,True,>,True,>,True,>
rxn00457,True,=,True,=,True,=,True,=
rxn00458,True,>,True,>,True,>,True,>
rxn00459,True,=,True,=,True,=,True,=
rxn00460,True,=,True,=,True,=,True,=
rxn00461,True,>,True,=,True,>,True,>
rxn00462,True,=,True,<,True,=,True,=
rxn00463,True,>,True,>,True,>,True,>
rxn00464,True,>,True,>,True,>,True,>
rxn00465,True,>,True,>,True,>,True,>
rxn00466,True,=,True,=,False,,True,=
rxn00467,True,=,True,=,True,=,True,=
rxn00468,True,=,True,>,True,=,True,>
rxn00469,True,=,True,=,True,=,True,>
rxn00470,True,>,True,>,True,>,True,>
rxn00471,True,>,True,=,True,>,True,>
rxn00472,True,=,True,=,True,=,True,=
rxn00473,True,>,True,>,True,>,True,>
rxn00474,True,>,True,=,True,>,True,>
rxn00475,True,>,True,=,True,>,True,>
rxn00476,True,>,True,=,True,>,True,>
rxn00477,True,>,True,>,True,>,True,>
rxn00478,True,>,True,>,True,>,True,>
rxn00479,True,>,True,>,True,>,True,>
rxn00480,True,>,True,>,True,>,True,>
rxn00481,True,>,True,>,True,>,True,>
rxn00482,True,=,True,=,True,=,True,=
rxn00483,True,=,True,=,True,=,True,>
rxn00484,True,>,True,>,True,>,True,>
rxn00485,True,>,True,>,True,>,True,>
rxn00486,True,>,True,>,True,=,True,<
rxn00487,True,=,True,=,True,=,True,=
rxn00488,True,>,True,>,True,>,True,>
rxn00489,True,>,True,>,True,>,True,>
rxn00490,True,>,True,>,True,>,True,=
rxn00491,True,=,True,=,True,=,True,=
rxn00492,True,>,True,>,True,>,True,>
rxn00493,True,=,True,=,True,=,True,=
rxn00494,True,=,True,=,True,=,True,=
rxn00495,True,>,True,>,True,>,True,>
rxn00496,True,<,True,<,True,<,False,
rxn00497,True,>,True,>,True,>,True,>
rxn00498,True,>,True,>,False,,True,>
rxn00499,True,=,True,=,True,=,True,=
rxn00500,True,=,True,=,True,=,True,=
rxn00501,True,=,True,=,True,=,True,=
rxn00502,True,=,True,=,True,=,True,=
rxn00503,True,=,True,=,True,=,True,=
rxn00504,True,=,True,=,True,=,True,=
rxn00505,True,>,True,>,True,>,True,>
rxn00506,True,>,True,=,True,>,True,>
rxn00507,True,>,True,=,True,>,True,>
rxn00508,True,=,True,=,True,=,True,=
rxn00509,True,=,True,=,True,=,True,=
rxn00510,True,=,True,=,True,=,True,=
rxn00511,True,=,True,=,True,=,True,=
rxn00512,True,<,True,=,True,<,True,<
rxn00513,True,>,True,>,True,>,True,>
rxn00514,True,>,True,>,True,>,True,>
rxn00515,True,=,True,=,True,=,True,=
rxn00516,True,>,True,>,False,,True,>
rxn00517,True,=,True,=,True,=,True,=
rxn00518,True,=,True,>,True,=,True,=
rxn00519,True,>,True,>,True,>,True,>
rxn00520,True,=,True,=,True,=,True,=
rxn00521,True,>,True,>,True,>,True,=
rxn00522,True,>,True,>,True,>,True,>
rxn00523,True,>,True,>,True,=,True,>
rxn00524,True,>,True,>,True,>,True,>
rxn00525,True,>,True,>,True,>,True,<
rxn00526,True,>,True,>,True,>,True,<
rxn00527,True,=,True,=,True,=,True,=
rxn00528,True,>,True,>,True,>,True,>
rxn00529,True,>,True,>,True,>,True,>
rxn00530,True,>,True,>,True,>,True,>
rxn00531,True,>,True,=,True,>,True,=
rxn00532,True,<,True,=,True,<,True,<
rxn00533,True,=,True,=,True,=,True,=
rxn00534,True,=,True,=,True,=,True,=
rxn00535,True,>,True,>,True,>,False,
rxn00536,True,=,True,=,True,=,True,=
rxn00537,True,>,True,>,True,>,True,>
rxn00538,True,>,True,>,True,>,True,>
rxn00539,True,>,True,>,True,>,True,>
rxn00540,True,=,True,=,True,=,True,=
rxn00541,True,=,True,=,True,=,True,=
rxn00542,True,=,True,=,True,=,True,=
rxn00543,True,=,True,=,True,=,True,=
rxn00544,True,=,True,=,True,=,True,=
rxn00545,True,=,True,>,True,=,True,=
rxn00546,True,=,True,=,True,=,True,=
rxn00547,True,=,True,>,True,=,True,=
rxn00548,True,>,True,>,True,>,True,>
rxn00549,True,>,True,=,True,>,True,>
rxn00550,True,>,True,=,True,>,True,>
rxn00551,True,=,True,=,True,=,True,=
rxn00552,True,>,True,>,True,>,True,>
rxn00553,True,=,True,=,True,=,True,=
rxn00554,True,=,True,>,True,=,True,=
rxn00555,True,=,True,=,True,=,True,=
rxn00556,True,=,True,>,True,=,True,=
rxn00557,True,=,True,>,True,=,True,=
rxn00558,True,=,True,=,True,=,True,=
rxn00559,True,=,True,=,True,=,True,=
rxn00560,True,=,True,>,True,=,True,=
rxn00561,True,>,True,>,True,>,True,>
rxn00562,True,=,True,=,True,=,True,=
rxn00563,True,>,True,=,True,>,True,>
rxn00564,True,=,True,=,False,,True,=
rxn00565,True,>,True,>,True,>,True,>
rxn00566,True,>,True,>,True,>,True,>
rxn00567,False,,False,,False,,False,
rxn00568,True,<,True,<,True,<,True,<
rxn00569,True,<,True,<,True,<,True,<
rxn00570,True,<,True,<,False,,True,<
rxn00571,True,<,True,<,True,<,True,<
rxn00572,True,<,True,<,True,<,True,<
rxn00573,False,,False,,False,,True,<
rxn00574,True,<,True,<,True,<,False,
rxn00575,True,>,True,=,True,>,True,>
rxn00577,True,=,True,=,True,=,True,=
rxn00578,True,>,True,=,True,>,True,>
rxn00579,True,=,True,=,True,=,True,=
rxn00580,True,=,True,=,True,=,True,=
rxn00581,True,=,True,=,True,=,True,=
rxn00582,True,=,True,=,True,=,True,=
rxn00583,True,>,True,=,True,>,True,<
rxn00584,True,>,True,>,True,>,True,<
rxn00585,True,>,True,=,True,>,True,<
rxn00586,True,>,True,>,True,>,True,>
rxn00587,True,>,True,>,True,>,True,>
rxn00588,True,>,True,>,True,>,True,>
rxn00589,True,>,True,>,True,>,True,>
rxn00590,True,>,True,>,True,>,False,
rxn00591,True,>,True,>,True,>,False,
rxn00592,True,>,True,>,True,>,True,>
rxn00593,True,>,True,>,True,>,True,>
rxn00594,True,>,True,>,True,>,True,>
rxn00595,True,>,True,>,True,>,True,>
rxn00596,True,=,True,=,True,=,True,>
rxn00597,False,,False,,True,=,False,
rxn00598,True,=,True,=,True,=,True,>
rxn00599,True,=,True,>,True,=,True,>
rxn00600,True,=,True,=,True,=,False,
rxn00601,True,=,True,>,True,=,True,>
rxn00602,True,=,True,=,True,=,True,=
rxn00603,True,=,True,=,True,=,True,=
rxn00604,True,=,True,=,True,=,True,=
rxn00605,True,=,True,=,True,=,True,=
rxn00606,True,=,True,=,True,=,True,>
rxn00607,True,>,True,=,True,>,True,>
rxn00608,True,>,True,=,True,>,True,=
rxn00609,True,<,True,=,True,<,False,
rxn00610,True,>,True,=,True,>,True,>
rxn00611,True,=,True,=,True,=,True,=
rxn00612,True,=,True,=,True,=,True,=
rxn00613,True,=,True,=,True,=,True,=
rxn00614,True,>,True,>,True,>,True,>
rxn00615,True,=,True,>,True,=,True,=
rxn00616,True,=,True,=,True,=,True,=
rxn00617,True,=,True,=,True,=,True,=
rxn00618,True,=,True,=,True,=,True,=
rxn00619,True,=,True,=,True,=,True,=
rxn00620,True,>,True,>,True,>,True,>
rxn00621,True,=,True,=,True,=,True,=
rxn00622,False,,False,,False,,False,
rxn00623,True,<,True,<,True,<,True,<
rxn00624,False,,False,,True,=,True,>
rxn00625,True,<,True,<,False,,True,<
rxn00626,False,,False,,False,,False,
rxn00627,True,=,True,>,True,=,True,=
rxn00629,True,=,True,=,True,=,True,>
rxn00630,True,=,True,=,True,=,True,>
rxn00631,True,=,True,=,True,=,True,>
rxn00632,True,>,True,=,True,>,True,>
rxn00633,True,=,True,=,True,=,True,=
rxn00634,True,=,True,=,True,=,True,>
rxn00635,True,=,True,>,True,=,True,=
rxn00636,True,=,True,=,True,=,True,=
rxn00638,True,=,True,=,True,=,True,=
rxn00639,True,>,True,>,True,>,True,>
rxn00640,True,=,True,=,True,=,True,=
rxn00641,True,>,True,=,True,>,True,=
rxn00642,True,>,True,>,True,>,True,>
rxn00643,True,=,True,=,True,=,True,=
rxn00644,True,=,True,<,True,=,True,=
rxn00645,False,,False,,True,=,True,>
rxn00646,True,>,True,>,True,>,True,>
rxn00647,True,=,True,=,True,=,True,=
rxn00649,True,>,True,>,True,>,True,>
