cpd_id,has_modelseed,has_group_contribution,has_equilibrator,has_dgpredictor
cpd00422,True,True,True,False
cpd00423,False,False,False,False
cpd00424,True,True,True,False
cpd00425,True,True,True,False
cpd00426,True,True,True,False
cpd00427,True,True,True,False
cpd00428,True,True,True,False
cpd00429,True,True,True,False
cpd00430,True,True,False,False
cpd00431,False,False,False,False
cpd00432,True,True,True,False
cpd00433,True,True,True,False
cpd00434,True,True,True,False
cpd00435,True,True,True,False
cpd00436,True,True,True,False
cpd00437,True,True,True,False
cpd00438,True,True,True,False
cpd00439,True,True,False,False
cpd00440,True,True,False,False
cpd00441,True,True,True,False
cpd00442,True,True,False,False
cpd00443,True,True,True,False
cpd00444,True,True,True,False
cpd00445,True,True,True,False
cpd00446,True,True,True,False
cpd00447,True,True,True,False
cpd00448,True,True,True,False
cpd00449,True,True,True,False
cpd00450,True,True,True,False
cpd00451,True,True,True,False
cpd00452,True,True,True,False
cpd00453,True,True,True,False
cpd00454,True,True,True,False
cpd00455,True,True,True,False
cpd00456,True,True,True,False
cpd00457,True,True,True,False
cpd00458,True,True,True,False
cpd00459,False,False,False,False
cpd00460,True,True,True,False
cpd00461,True,True,True,False
cpd00463,True,True,True,False
cpd00464,True,True,True,False
cpd00465,True,True,True,False
cpd00466,True,True,True,False
cpd00467,False,False,True,False
cpd00468,False,False,False,False
cpd00469,True,True,True,False
cpd00470,True,True,True,False
cpd00471,True,True,True,False
cpd00472,True,True,True,False
cpd00473,True,True,True,False
cpd00474,True,True,True,False
cpd00475,True,True,True,False
cpd00477,True,True,True,False
cpd00478,True,True,True,False
cpd00479,True,True,True,False
cpd00480,True,True,True,False
cpd00481,True,True,True,False
cpd00482,True,True,True,False
cpd00483,True,True,True,False
cpd00484,True,True,True,False
cpd00485,True,True,True,False
cpd00486,True,True,True,False
cpd00487,False,False,False,False
cpd00488,True,True,True,False
cpd00489,True,True,True,False
cpd00490,True,True,True,False
cpd00491,True,True,True,False
cpd00492,True,True,False,False
cpd00493,True,True,True,False
cpd00494,True,True,False,False
cpd00495,True,True,True,False
cpd00496,True,True,True,False
cpd00497,True,True,True,False
cpd00498,True,True,True,False
cpd00499,True,True,True,False
cpd00501,True,True,True,False
cpd00502,True,True,True,False
cpd00503,True,True,True,False
cpd00504,True,True,True,False
cpd00506,True,True,True,False
cpd00507,True,True,True,False
cpd00508,True,True,True,False
cpd00509,True,True,True,False
cpd00510,True,True,False,False
cpd00511,True,True,True,False
cpd00512,False,False,False,False
cpd00513,False,False,False,False
cpd00514,False,False,False,False
cpd00515,True,True,True,False
cpd00516,True,True,True,False
cpd00517,True,True,True,False
cpd00518,True,True,False,False
cpd00519,True,True,True,False
cpd00520,True,True,True,False
cpd00521,True,True,True,False
cpd00522,True,True,True,False
cpd00523,True,True,True,False
cpd00524,True,True,True,False
cpd00525,True,True,True,False
cpd00526,True,True,True,False
cpd00527,True,True,True,False
cpd00528,True,True,False,False
cpd00530,True,True,True,False
cpd00531,False,False,False,False
cpd00532,True,True,False,False
cpd00533,True,True,True,False
cpd00534,False,False,False,False
cpd00536,True,True,True,False
cpd00537,True,True,False,False
cpd00538,True,True,True,False
cpd00540,True,True,True,False
cpd00541,True,True,False,False
cpd00542,False,False,False,False
cpd00543,True,True,True,False
cpd00544,False,False,False,False
cpd00545,True,True,True,False
cpd00546,True,True,True,False
cpd00547,True,True,False,False
cpd00548,True,True,False,False
cpd00549,True,True,True,False
cpd00550,True,True,True,False
cpd00551,True,True,True,False
cpd00552,False,False,False,False
cpd00553,False,False,True,False
cpd00554,True,True,True,False
cpd00555,True,True,True,False
cpd00556,True,True,True,False
cpd00557,False,False,False,False
cpd00558,True,True,True,False
cpd00559,True,True,True,False
cpd00560,False,False,False,False
cpd00561,True,True,True,False
cpd00562,True,True,True,False
cpd00563,True,True,True,False
cpd00564,True,True,True,False
cpd00565,True,True,True,False
cpd00566,True,True,True,False
cpd00567,True,True,True,False
cpd00568,True,True,True,False
cpd00569,True,True,True,False
cpd00570,True,True,True,False
cpd00571,True,True,True,False
cpd00572,True,True,False,False
cpd00573,True,True,True,False
cpd00574,True,True,False,False
cpd00575,True,True,True,False
cpd00576,True,True,True,False
cpd00577,True,True,True,False
cpd00578,True,True,False,False
cpd00579,True,True,True,False
cpd00580,False,False,True,False
cpd00581,True,True,True,False
cpd00582,True,True,True,False
cpd00583,True,True,True,False
cpd00584,True,True,True,False
cpd00585,True,True,True,False
cpd00586,True,True,True,False
cpd00587,True,True,True,False
cpd00588,True,True,True,False
cpd00589,True,True,False,False
cpd00590,True,True,True,False
cpd00591,True,True,True,False
cpd00592,True,True,True,False
cpd00593,True,True,False,False
cpd00594,True,True,True,False
cpd00595,False,False,False,False
cpd00596,True,True,True,False
cpd00597,True,True,True,False
cpd00598,True,True,False,False
cpd00599,True,True,True,False
cpd00601,True,True,True,False
cpd00602,True,True,False,False
cpd00604,True,True,True,False
cpd00605,True,False,False,False
cpd00606,True,True,True,False
cpd00607,True,True,True,False
cpd00608,True,True,True,False
cpd00609,False,False,False,False
cpd00610,True,True,True,False
cpd00611,True,True,True,False
cpd00612,True,True,True,False
cpd00613,True,True,True,False
cpd00614,False,False,False,False
cpd00615,True,True,True,False
cpd00616,True,True,True,False
cpd00617,True,True,True,False
cpd00618,True,True,True,False
cpd00619,True,True,True,False
cpd00620,True,True,True,False
cpd00621,True,True,True,False
cpd00622,True,True,False,False
cpd00623,True,True,True,False
cpd00624,True,True,True,False
cpd00625,True,True,True,False
cpd00626,True,True,True,False
cpd00627,True,True,True,False
cpd00628,True,True,False,False
cpd00629,True,True,True,False
cpd00630,True,True,True,False
cpd00631,True,True,True,False
cpd00632,False,False,False,False
cpd00633,True,True,True,False
cpd00634,True,True,True,False
cpd00635,False,False,False,False
cpd00636,True,True,True,False
cpd00637,True,True,True,False
cpd00638,True,True,True,False
cpd00639,True,True,True,False
cpd00640,False,False,False,False
cpd00641,True,True,True,False
cpd00642,True,True,True,False
cpd00643,True,True,True,False
cpd00644,True,True,True,False
cpd00645,True,True,True,False
cpd00646,False,False,False,False
cpd00647,True,True,True,False
cpd00648,True,True,True,False
cpd00649,True,True,False,False
cpd00650,True,True,True,False
cpd00651,True,True,True,False
cpd00652,True,True,True,False
cpd00653,True,True,True,False
cpd00654,True,True,True,False
cpd00655,True,True,True,False
cpd00656,True,True,False,False
cpd00657,True,True,False,False
cpd00658,True,True,True,False
cpd00659,True,True,False,False
cpd00660,True,True,True,False
cpd00661,True,True,False,False
cpd00662,True,True,False,False
cpd00663,True,True,True,False
cpd00664,False,False,True,False
cpd00665,True,True,False,False
cpd00666,True,True,True,False
cpd00667,True,True,True,False
cpd00668,True,True,True,False
cpd00669,True,True,True,False
cpd00670,True,True,True,False
cpd00671,True,True,True,False
cpd00672,True,True,True,False
cpd00673,True,True,True,False
cpd00674,True,True,True,False
cpd00675,True,True,True,False
cpd00676,False,False,False,False
cpd00677,True,True,True,False
cpd00678,True,True,True,False
cpd00679,True,True,True,False
cpd00680,False,False,True,False
cpd00681,True,True,False,False
cpd00682,True,True,True,False
cpd00683,True,True,True,False
cpd00684,True,True,True,False
cpd00685,False,False,False,False
cpd00686,False,False,False,False
cpd00687,True,True,False,False
cpd00688,True,True,True,False
cpd00689,True,True,True,False
cpd00690,True,True,True,False
cpd00691,True,True,True,False
cpd00693,True,True,True,False
cpd00694,True,True,True,False
cpd00695,True,True,True,False
cpd00696,True,True,True,False
cpd00697,True,True,True,False
cpd00698,True,True,True,False
cpd00699,True,True,True,False
cpd00700,True,True,True,False
cpd00701,True,True,True,False
cpd00702,True,True,True,False
cpd00703,True,True,True,False
