rxn_id,has_modelseed_current,op_modelseed_current,via
rxn35271,False,,undefined
rxn35272,False,,undefined
rxn35273,True,>,GC_fallback
rxn35274,True,>,eQuilibrator
rxn35281,True,>,eQuilibrator
rxn35282,True,>,eQuilibrator
rxn35283,False,,undefined
rxn35284,True,>,eQuilibrator
rxn35285,False,,undefined
rxn35286,False,,undefined
rxn35288,False,,undefined
rxn35289,False,,undefined
rxn35290,False,,undefined
rxn35291,False,,undefined
rxn35292,False,,undefined
rxn35293,False,,undefined
rxn35294,False,,undefined
rxn35295,False,,undefined
rxn35296,False,,undefined
rxn35297,False,,undefined
rxn35298,False,,undefined
rxn35299,False,,undefined
rxn35300,False,,undefined
rxn35301,False,,undefined
rxn35302,False,,undefined
rxn35303,False,,undefined
rxn35304,False,,undefined
rxn35305,False,,undefined
rxn35306,False,,undefined
rxn35307,False,,undefined
rxn35308,False,,undefined
rxn35310,True,>,eQuilibrator
rxn35311,True,=,eQuilibrator
rxn35314,True,=,eQuilibrator
rxn35315,True,>,eQuilibrator
rxn35316,False,,undefined
rxn35317,False,,undefined
rxn35318,True,=,eQuilibrator
rxn35319,True,>,eQuilibrator
rxn35320,True,=,GC_fallback
rxn35321,False,,undefined
rxn35322,False,,undefined
rxn35323,False,,undefined
rxn35324,False,,undefined
rxn35325,False,,undefined
rxn35326,False,,undefined
rxn35327,False,,undefined
rxn35328,False,,undefined
rxn35330,False,,undefined
rxn35331,False,,undefined
rxn35332,False,,undefined
rxn35333,False,,undefined
rxn35334,False,,undefined
rxn35335,False,,undefined
rxn35336,False,,undefined
rxn35337,False,,undefined
rxn35338,False,,undefined
rxn35339,False,,undefined
rxn35340,False,,undefined
rxn35341,False,,undefined
rxn35342,False,,undefined
rxn35343,True,=,GC_fallback
rxn35344,True,=,eQuilibrator
rxn35345,True,=,eQuilibrator
rxn35346,True,=,eQuilibrator
rxn35347,False,,undefined
rxn35348,False,,undefined
rxn35349,False,,undefined
rxn35351,True,=,eQuilibrator
rxn35352,True,>,eQuilibrator
rxn35353,True,=,eQuilibrator
rxn35355,True,=,eQuilibrator
rxn35356,True,=,eQuilibrator
rxn35359,True,>,eQuilibrator
rxn35360,False,,undefined
rxn35361,False,,undefined
rxn35362,False,,undefined
rxn35363,False,,undefined
rxn35365,False,,undefined
rxn35366,False,,undefined
rxn35367,False,,undefined
rxn35368,False,,undefined
rxn35369,True,>,eQuilibrator
rxn35370,True,>,eQuilibrator
rxn35371,True,>,eQuilibrator
rxn35372,True,>,eQuilibrator
rxn35373,True,>,eQuilibrator
rxn35374,True,>,eQuilibrator
rxn35375,False,,undefined
rxn35376,True,=,eQuilibrator
rxn35377,False,,undefined
rxn35380,False,,undefined
rxn35382,False,,undefined
rxn35385,False,,undefined
rxn35386,False,,undefined
rxn35387,False,,undefined
rxn35388,True,>,eQuilibrator
rxn35390,False,,undefined
rxn35391,False,,undefined
rxn35393,False,,undefined
rxn35394,False,,undefined
rxn35395,False,,undefined
rxn35396,False,,undefined
rxn35397,False,,undefined
rxn35398,False,,undefined
rxn35399,False,,undefined
rxn35400,False,,undefined
rxn35403,False,,undefined
rxn35404,False,,undefined
rxn35405,False,,undefined
rxn35406,False,,undefined
rxn35407,False,,undefined
rxn35408,False,,undefined
rxn35409,True,>,eQuilibrator
rxn35410,False,,undefined
