rxn	name	ec	status	definition	dg_gc	dg_eq	dg_dgp	max_abs_pairdiff	cofactors	n_participants	max_carbon	elements	kegg_ids_staged	kegg_ids_alias	kegg_vouched	kegg_max_reuse	is_transport	total_rings	n_groups_changed	dg_scale	absdiff_gc_eq	absdiff_gc_dgp	absdiff_eq_dgp
rxn07750	R07960	1.13.12.-	CI:-1	(1) NADPH[0] + (1) O2[0] + (2) H+[0] + (1) Paraxanthine[0] => (1) H2O[0] + (1) NADP[0] + (1) Formaldehyde[0] + (1) 1-Methylxanthine[0]	-90.290	-116.580	-74.020	42.560	h;h2o;nadp;nadph;o2	8	21	C;H;N;O;P	R07960	R07960	1	1	0	14	4	116.580	26.290	16.270	42.560
rxn07749	R07959	1.13.12.-	CI:-1	(1) NADH[0] + (1) O2[0] + (2) H+[0] + (1) Paraxanthine[0] => (1) H2O[0] + (1) NAD[0] + (1) Formaldehyde[0] + (1) 1-Methylxanthine[0]	-90.290	-116.570	-74.600	41.970	h;h2o;nad;nadh;o2	8	21	C;H;N;O;P	R07959	R07959	1	1	0	14	4	116.570	26.280	15.690	41.970
rxn01375	R01885	3.6.1.21	OK	(1) H2O[0] + (1) ADPribose[0] <=> (1) AMP[0] + (2) H+[0] + (1) Ribose 1-phosphate[0]	-28.370	-2.110	-11.030	26.260	amp;h;h2o	5	15	C;H;N;O;P	R01885	R01885	1	2	0	8	1	28.370	26.260	17.340	8.920
rxn28163	RXN-10763.d	3.6.1.21	OK	(1) H2O[0] + (1) ADPribose[0] <=> (1) AMP[0] + (2) H+[0] + (1) Ribose 1-phosphate[0]	-28.370	-2.110	-11.030	26.260	amp;h;h2o	5	15	C;H;N;O;P	R01885	R01885	1	2	0	8	1	28.370	26.260	17.340	8.920
rxn07766	R07976	1.13.12.-	CI:-1	(1) NADPH[0] + (1) O2[0] + (2) H+[0] + (1) Theophylline[0] => (1) H2O[0] + (1) NADP[0] + (1) Formaldehyde[0] + (1) 1-Methylxanthine[0]	-90.290	-116.540	-75.970	40.570	h;h2o;nadp;nadph;o2	8	21	C;H;N;O;P	R07976	R07976	1	1	0	14	4	116.540	26.250	14.320	40.570
rxn07765	R07975	1.13.12.-	CI:-1	(1) NADH[0] + (1) O2[0] + (2) H+[0] + (1) Theophylline[0] => (1) H2O[0] + (1) NAD[0] + (1) Formaldehyde[0] + (1) 1-Methylxanthine[0]	-90.290	-116.530	-76.550	39.980	h;h2o;nad;nadh;o2	8	21	C;H;N;O;P	R07975	R07975	1	1	0	14	4	116.530	26.240	13.740	39.980
rxn04682	S-Adenosyl-L-methionine:phosphodimethylethanolamine N-methyltransferase	2.1.1.103	OK	(1) S-Adenosyl-L-methionine[0] + (1) Phosphodimethylethanolamine[0] <= (1) S-Adenosyl-homocysteine[0] + (1) H+[0] + (1) Phosphocholine[0]	23.240	-2.960	0.990	26.200	h;sah;sam	5	15	C;H;N;O;P;S	R06869	R06869	1	4	0	6	0	23.240	26.200	22.250	3.950
rxn31984	S-Adenosyl-L-methionine:phosphodimethylethanolamine N-methyltransferase	2.1.1.103	OK	(1) S-Adenosyl-L-methionine[0] + (1) Phosphodimethylethanolamine[0] <= (1) S-Adenosyl-homocysteine[0] + (1) H+[0] + (1) Phosphocholine[0]	23.240	-2.960	0.990	26.200	h;sah;sam	5	15	C;H;N;O;P;S	R06869	R06869	1	4	0	6	0	23.240	26.200	22.250	3.950
rxn02937	2-(Formamido)-N1-(5-phosphoribosyl)acetamidine cyclo-ligase (ADP-forming)	6.3.3.1	CI:-1	(1) ATP[0] + (1) 5'-Phosphoribosylformylglycinamidine[0] <=> (1) ADP[0] + (1) Phosphate[0] + (1) AIR[0]	30.190	4.020	-20.440	50.630	adp;atp;pi	5	10	C;H;N;O;P	R04208	R04208	1	6	0	9	5	30.190	26.170	50.630	24.460
rxn32851	Phosphoribosylformylglycinamidine cyclo-ligase	6.3.3.1	CI:-1	(1) ATP[0] + (1) 5'-Phosphoribosylformylglycinamidine[0] <=> (1) ADP[0] + (1) Phosphate[0] + (1) AIR[0]	30.190	4.020	-20.440	50.630	adp;atp;pi	5	10	C;H;N;O;P	R04208	R04208	1	6	0	9	5	30.190	26.170	50.630	24.460
rxn27693	AIRS-RXN.d	6.3.3.1	CI:-1	(1) ATP[0] + (1) 5'-Phosphoribosylformylglycinamidine[0] <=> (1) ADP[0] + (1) Phosphate[0] + (1) AIR[0]	30.190	4.020	-20.440	50.630	adp;atp;pi	5	10	C;H;N;O;P	R04208	R04208	1	6	0	9	5	30.190	26.170	50.630	24.460
rxn03637	Isovaleryl-CoA:malonyl-CoA acyltransferase	2.3.1.156	OK	(3) H+[0] + (3) Malonyl-CoA[0] + (1) Isovaleryl-CoA[0] => (4) CoA[0] + (3) CO2[0] + (1) 3-Methyl-1-(2,4,6-trihydroxyphenyl)butan-1-one[0]	0.220	-25.790	21.600	47.390	co2;coa;h	6	26	C;H;N;O;P;S	R05331	R05331	1	1	0	10	6	25.790	26.010	21.380	47.390
rxn04646	R06831	1.14.12.-	OK	(1) NADH[0] + (1) O2[0] + (1) H+[0] + (1) Trichlorobenzene A[0] => (1) NAD[0] + (1) 3,4,6-Trichloro-cis-1,2-dihydroxycyclohexa-3,5-diene[0]	-69.880	-95.880	-90.930	26.000	h;nad;nadh;o2	6	21	C;Cl;H;N;O;P	R06831	R06831	1	1	0	12	3	95.880	26.000	21.050	4.950
rxn04280	(+)-cis-Isopulegone isomerase		OK	(1) (+)-cis-Isopulegone[0] => (1) Pulegone[0]	15.190	-10.800	-3.670	25.990		2	10	C;H;O	R06418	R06418	1	1	0	2	0	15.190	25.990	18.860	7.130
rxn07760	R07970	1.13.12.-	CI:1	(1) NADPH[0] + (1) O2[0] + (1) 1-Methylxanthine[0] => (1) H2O[0] + (1) NADP[0] + (1) Formaldehyde[0] + (1) XAN[0]	-109.350	-83.410	-129.650	46.240	h2o;nadp;nadph;o2	7	21	C;H;N;O;P	R07970	R07970	1	1	0	14	4	129.650	25.940	20.300	46.240
rxn07759	R07969	1.13.12.-	CI:1	(1) NADH[0] + (1) O2[0] + (1) 1-Methylxanthine[0] => (1) H2O[0] + (1) NAD[0] + (1) Formaldehyde[0] + (1) XAN[0]	-109.350	-83.410	-130.230	46.820	h2o;nad;nadh;o2	7	21	C;H;N;O;P	R07969	R07969	1	1	0	14	4	130.230	25.940	20.880	46.820
rxn02154	Deamino-NAD+ nucleotidohydrolase	3.6.1.22;3.6.1.9	OK	(1) H2O[0] + (1) Deamido-NAD[0] <=> (1) AMP[0] + (2) H+[0] + (1) Nicotinate ribonucleotide[0]	-28.370	-2.540	-8.040	25.830	amp;h;h2o	5	21	C;H;N;O;P	R03004	R03004	1	1	0	10	1	28.370	25.830	20.330	5.500
rxn24915	beta-chamigrene synthase	4.2.3.78	OK	(1) Farnesyldiphosphate[0] => (1) PPi[0] + (1) H+[0] + (1) (+)-beta-Chamigrene[0]	-33.240	-59.040	-25.440	33.600	h;ppi	4	15	C;H;O;P	R10598	R10598	1	24	0	2	1	59.040	25.800	7.800	33.600
rxn02323	1,2,3-Trihydroxybenzene:oxygen 1,2-oxidoreductase (decyclizing)	1.13.11.35	OK	(1) O2[0] + (1) Pyrogallol[0] => (2) H+[0] + (1) 4-Oxalocrotonate[0]	-100.590	-74.830	-146.300	71.470	h;o2	4	6	C;H;O	R03246	R03246	1	1	0	1	5	146.300	25.760	45.710	71.470
rxn35447	urate oxidase	1.7.3.3	CI:-1	(1) H2O[0] + (1) O2[0] + (1) H+[0] + (1) Urate[0] => (1) H2O2[0] + (1) 5-Hydroxyisourate[0]	-18.000	-43.650	-29.160	25.650	h;h2o;h2o2;o2	6	5	C;H;N;O	R02106	R02106	1	8	0	4	5	43.650	25.650	11.160	14.490
rxn27425	factor-independent urate hydroxylase	1.7.3.3	CI:-1	(1) H2O[0] + (1) O2[0] + (1) H+[0] + (1) Urate[0] => (1) H2O2[0] + (1) 5-Hydroxyisourate[0]	-18.000	-43.650	-29.160	25.650	h;h2o;h2o2;o2	6	5	C;H;N;O	R02106	R02106	1	8	0	4	5	43.650	25.650	11.160	14.490
rxn01523	Urate:oxygen oxidoreductase	1.7.3.3	CI:-1	(1) H2O[0] + (1) O2[0] + (1) H+[0] + (1) Urate[0] => (1) H2O2[0] + (1) 5-Hydroxyisourate[0]	-18.000	-43.650	-29.160	25.650	h;h2o;h2o2;o2	6	5	C;H;N;O	R02106	R02106	1	8	0	4	5	43.650	25.650	11.160	14.490
rxn27426	factor-independent urate hydroxylase	1.7.3.3	CI:-1	(1) H2O[0] + (1) O2[0] + (1) H+[0] + (1) Urate[0] => (1) H2O2[0] + (1) 5-Hydroxyisourate[0]	-18.000	-43.650	-29.160	25.650	h;h2o;h2o2;o2	6	5	C;H;N;O	R02106	R02106	1	8	0	4	5	43.650	25.650	11.160	14.490
rxn31100	URATE-OXIDASE-RXN	1.7.3.3	CI:-1	(1) H2O[0] + (1) O2[0] + (1) H+[0] + (1) Urate[0] => (1) H2O2[0] + (1) 5-Hydroxyisourate[0]	-18.000	-43.650	-29.160	25.650	h;h2o;h2o2;o2	6	5	C;H;N;O	R02106	R02106	1	8	0	4	5	43.650	25.650	11.160	14.490
rxn16226	(S)-limonene,NADPH:oxygen oxidoreductase	1.14.13.107	OK	(1) NADPH[0] + (1) O2[0] + (1) H+[0] + (1) Limonene[0] => (1) H2O[0] + (1) NADP[0] + (1) (4S)-Limonene-1,2-epoxide[0]	-103.680	-129.260	-78.570	50.690	h;h2o;nadp;nadph;o2	7	21	C;H;N;O;P	R09389	R09389	1	1	0	13	5	129.260	25.580	25.110	50.690
