rxn	name	ec	status	definition	dg_gc	dg_eq	dg_dgp	max_abs_pairdiff	cofactors	n_participants	max_carbon	elements	kegg_ids_staged	kegg_ids_alias	kegg_vouched	kegg_max_reuse	is_transport	total_rings	n_groups_changed	dg_scale	absdiff_gc_eq	absdiff_gc_dgp	absdiff_eq_dgp
rxn03334	S-Adenosyl-L-methionine:catechol O-methyltransferase	2.1.1.6	OK	(1) S-Adenosyl-L-methionine[0] + (1) 3,4-Dihydroxyphenylethyleneglycol[0] <=> (1) S-Adenosyl-homocysteine[0] + (1) H+[0] + (1) 3-Methoxy-4-hydroxyphenylethyleneglycol[0]	-4.360	-1.830	-23.120	21.290	h;sah;sam	5	15	C;H;N;O;S	R04881	R04881	1	1	0	8	2	23.120	2.530	18.760	21.290
rxn02857	S-Adenosyl-L-methionine:5,8,13,13a-tetrahydrocolumbamine 2-O-methyltransferase	2.1.1.89	OK	(1) S-Adenosyl-L-methionine[0] + (1) Isocorypalmine[0] <=> (1) S-Adenosyl-homocysteine[0] + (1) H+[0] + (1) Tetrahydropalmatine[0]	-4.360	-1.840	-23.130	21.290	h;sah;sam	5	21	C;H;N;O;S	R04077	R04077	1	1	0	14	2	23.130	2.520	18.770	21.290
rxn04432	S-adenosyl-L-methionine:caffeoyl-CoA 3-O-methyltransferase	2.1.1.104	OK	(1) S-Adenosyl-L-methionine[0] + (1) 5-Hydroxyferuloyl-CoA[0] <=> (1) S-Adenosyl-homocysteine[0] + (1) H+[0] + (1) Sinapoyl-CoA[0]	-4.360	-1.860	-23.150	21.290	h;sah;sam	5	32	C;H;N;O;P;S	R06578	R06578	1	4	0	14	2	23.150	2.500	18.790	21.290
rxn29978	UDPglucose pyrophosphohydrolase	3.6.1.45;3.6.1.8;3.6.1.9	OK	(1) H2O[0] + (1) UDP-glucose[0] => (2) H+[0] + (1) Glucose-1-phosphate[0] + (1) UMP[0]	-28.370	-7.080	-7.930	21.290	h;h2o	5	15	C;H;N;O;P	R00287	R00287	1	2	0	6	1	28.370	21.290	20.440	0.850
rxn02472	S-Adenosyl-L-methionine:3',4',5-trihydroxy-3,7-dimethoxyflavone 4'-O-methyltransferase	2.1.1.83	OK	(1) S-Adenosyl-L-methionine[0] + (1) 3,7-Di-O-methylquercetin[0] <=> (1) S-Adenosyl-homocysteine[0] + (1) H+[0] + (1) 3,7,4'-Tri-O-methylquercetin[0]	-4.360	-1.800	-23.090	21.290	h;sah;sam	5	18	C;H;N;O;S	R03456	R03456	1	1	0	12	2	23.090	2.560	18.730	21.290
rxn00212	UDP-glucose glucophosphohydrolase	3.6.1.45;3.6.1.8;3.6.1.9	OK	(1) H2O[0] + (1) UDP-glucose[0] => (2) H+[0] + (1) Glucose-1-phosphate[0] + (1) UMP[0]	-28.370	-7.080	-7.930	21.290	h;h2o	5	15	C;H;N;O;P	R00287	R00287	1	2	0	6	1	28.370	21.290	20.440	0.850
rxn14258	S-adenosyl-L-methionine:(S)-reticuline methyltransferase 7-O-methyltransferase	2.1.1.-;2.1.1.291	OK	(1) S-Adenosyl-L-methionine[0] + (1) (+)-Reticuline[0] <=> (1) S-Adenosyl-homocysteine[0] + (1) H+[0] + (1) Laudanine[0]	-4.360	-1.800	-23.090	21.290	h;sah;sam	5	20	C;H;N;O;S	R08787;R10605	R08787;R10605	1	2	0	12	2	23.090	2.560	18.730	21.290
rxn14387	S-adenosyl-L-methionine:1-(3,4-dihydroxyphenyl)-1-decene-3,5-dione O-methyltransferase	2.1.1.-	OK	(1) S-Adenosyl-L-methionine[0] + (1) 1-(3,4-Dihydroxyphenyl)-1-decene-3,5-dione[0] <=> (1) S-Adenosyl-homocysteine[0] + (1) H+[0] + (1) 1-Dehydro-[6]-gingerdione[0]	-4.360	-1.830	-23.120	21.290	h;sah;sam	5	17	C;H;N;O;S	R08803	R08803	1	1	0	8	2	23.120	2.530	18.760	21.290
rxn03260	R04764	2.1.1.6	OK	(1) S-Adenosyl-L-methionine[0] + (1) 2-OH-Estradiol[0] <=> (1) S-Adenosyl-homocysteine[0] + (1) H+[0] + (1) 2-Methoxyestradiol-17beta[0]	-4.360	-1.840	-23.120	21.280	h;sah;sam	5	19	C;H;N;O;S	R04764	R04764	1	1	0	14	2	23.120	2.520	18.760	21.280
rxn15524	S-Adenosyl-L-methionine:(RS)-norcoclaurine 6-O-methyltransferase	2.1.1.128	OK	(1) S-Adenosyl-L-methionine[0] + (1) (R)-Norcoclaurine[0] <=> (1) S-Adenosyl-homocysteine[0] + (1) H+[0] + (1) Machiline[0]	-4.360	-1.840	-23.120	21.280	h;sah;sam	5	17	C;H;N;O;S	R05162	R05162	1	2	0	12	2	23.120	2.520	18.760	21.280
