rxn	name	ec	status	definition	dg_gc	dg_eq	dg_dgp	max_abs_pairdiff	cofactors	n_participants	max_carbon	elements	kegg_ids_staged	kegg_ids_alias	kegg_vouched	kegg_max_reuse	is_transport	total_rings	n_groups_changed	is_redox	dg_scale	absdiff_gc_eq	absdiff_gc_dgp	absdiff_eq_dgp
rxn00507	Acetaldehyde:NADP+ oxidoreductase	1.2.1.3;1.2.1.4;1.2.1.5	OK	(1) H2O[0] + (1) NADP[0] + (1) Acetaldehyde[0] => (1) NADPH[0] + (1) Acetate[0] + (2) H+[0]	-11.990	-11.480	-11.600	0.510	h;h2o;nadp;nadph	6	21	C;H;N;O;P	R00711	R00711	1	3	0	10	5	1	11.990	0.510	0.390	0.120
rxn05928	D-Ribose:NADP+ 1-oxidoreductase	1.1.1.115	OK	(1) H2O[0] + (1) NADP[0] + (1) D-Ribose[0] => (1) NADPH[0] + (2) H+[0] + (1) D-Ribonate[0]	-7.720	-11.970	-9.300	4.250	h;h2o;nadp;nadph	6	21	C;H;N;O;P	R01079	R01079	1	2	0	11	6	1	11.970	4.250	1.580	2.670
rxn16689	farnesal reductase		CI:-2	(2) H+[0] + (1) 2-trans,6-trans-Farnesal[0] <= (1) 2-trans,6-trans-Farnesol[0]	11.130	10.370	11.960	1.590	h	3	15	C;H;O	R09848	R09848	1	1	0	0	2	0	11.960	0.760	0.830	1.590
rxn01633	2-Dehydro-3-deoxy-L-arabinonate hydro-lyase	4.2.1.141;4.2.1.43	OK	(1) 2-dehydro-3-deoxy-L-arabinonate[0] => (1) H2O[0] + (1) 2,5-Dioxopentanoate[0]	-9.170	-9.560	-11.890	2.720	h2o	3	5	C;H;O	R02278	R02278	1	22	0	0	2	0	11.890	0.390	2.720	2.330
rxn18934	2-dehydro-3-deoxy-L-arabinonate dehydratase	4.2.1.141;4.2.1.43	OK	(1) 2-dehydro-3-deoxy-L-arabinonate[0] => (1) H2O[0] + (1) 2,5-Dioxopentanoate[0]	-9.170	-8.400	-11.890	3.490	h2o	3	5	C;H;O	R02278	R02278	1	22	0	0	2	0	11.890	0.770	2.720	3.490
rxn01284	D-Glycerate:NADP+ oxidoreductase (carboxylating)	1.1.1.92	OK	(1) NADP[0] + (1) CO2[0] + (1) Glycerate[0] <= (1) NADPH[0] + (2) H+[0] + (1) Oxaloglycolate[0]	9.310	9.690	11.810	2.500	co2;h;nadp;nadph	6	21	C;H;N;O;P	R01750	R01750	1	1	0	10	6	1	11.810	0.380	2.500	2.120
rxn15093	propanoyl-CoA:glyoxylate C-propanoyltransferase (thioester-hydrolysing, 2-carboxyethyl-forming)	2.3.3.11	OK	(1) CoA[0] + (1) H+[0] + (1) (S)-2-Hydroxyglutarate[0] <= (1) H2O[0] + (1) Glyoxalate[0] + (1) Propionyl-CoA[0]	8.960	11.790	10.430	2.830	coa;h;h2o	6	24	C;H;N;O;P;S	R00932	R00932	1	4	0	6	5	0	11.790	2.830	1.470	1.360
rxn39448	geranylgeranyl diphosphate:sn-glyceryl phosphate geranylgeranyltransferase		OK	(1) Geranylgeranyl diphosphate[0] + (1) DL-Glyceryl 1-phosphate[0] => (1) PPi[0] + (1) H+[0] + (1) sn-3-O-(Geranylgeranyl)glycerol 1-phosphate[0]	-10.160	-7.890	-11.790	3.900	h;ppi	5	23	C;H;O;P	R04158	R04158	1	2	0	0	2	0	11.790	2.270	1.630	3.900
rxn02652	(2S,3S)-2-Hydroxytridecane-1,2,3-tricarboxylate oxaloacetate-lyase (CoA-acylating)	2.3.3.2	OK	(1) CoA[0] + (1) H+[0] + (1) (2S,3S)-2-Hydroxytridecane-1,2,3-tricarboxylate[0] <= (1) H2O[0] + (1) Oxaloacetate[0] + (1) Lauroyl-CoA[0]	10.730	8.840	11.730	2.890	coa;h;h2o	6	33	C;H;N;O;P;S	R03735	R03735	1	1	0	6	5	0	11.730	1.890	1.000	2.890
rxn00314	N2-(D-1-carboxylethyl)-L-lysine:NADP+ oxidoreductase (L-lysine-forming)	1.5.1.16	OK	(1) H2O[0] + (1) NADP[0] + (1) Lysopine[0] <=> (1) NADPH[0] + (1) Pyruvate[0] + (1) L-Lysine[0] + (1) H+[0]	9.210	9.660	11.700	2.490	h;h2o;nadp;nadph	7	21	C;H;N;O;P	R00452	R00452	1	1	0	10	4	1	11.700	0.450	2.490	2.040
rxn03601	p-Methylbenzaldehyde:NADP+ oxidoreductase	1.2.1.28;1.2.1.7	OK	(1) H2O[0] + (1) NADP[0] + (1) p-Tolualdehyde[0] <=> (1) NADPH[0] + (2) H+[0] + (1) Toluate[0]	-9.800	-8.670	-11.680	3.010	h;h2o;nadp;nadph	6	21	C;H;N;O;P	R05289	R05289	1	1	0	12	5	1	11.680	1.130	1.880	3.010
rxn03935	R05664	1.2.1.28;1.2.1.7	OK	(1) H2O[0] + (1) NADP[0] + (1) m-Tolualdehyde[0] <=> (1) NADPH[0] + (2) H+[0] + (1) m-toluate[0]	-9.800	-8.670	-11.680	3.010	h;h2o;nadp;nadph	6	21	C;H;N;O;P	R05664	R05664	1	1	0	12	5	1	11.680	1.130	1.880	3.010
rxn01033	benzaldehyde:NADP+ oxidoreductase	1.2.1.7	OK	(1) H2O[0] + (1) NADP[0] + (1) Benzaldehyde[0] <=> (1) NADPH[0] + (2) H+[0] + (1) Benzoate[0]	-9.800	-8.660	-11.680	3.020	h;h2o;nadp;nadph	6	21	C;H;N;O;P	R01420	R01420	1	1	0	12	5	1	11.680	1.140	1.880	3.020
rxn33114	3-hydroxybenzaldehyde:NADP+ oxidoreductase	1.2.1.7	OK	(1) H2O[0] + (1) NADP[0] + (1) 3-Hydroxybenzaldehyde[0] <=> (1) NADPH[0] + (2) H+[0] + (1) 3-Hydroxybenzoate[0]	-9.800	-7.280	-11.670	4.390	h;h2o;nadp;nadph	6	21	C;H;N;O;P	R07666	R07666	1	7	0	12	5	1	11.670	2.520	1.870	4.390
rxn33116	3-hydroxybenzaldehyde:NADP+ oxidoreductase	1.2.1.7	OK	(1) H2O[0] + (1) NADP[0] + (1) 3-Hydroxybenzaldehyde[0] <=> (1) NADPH[0] + (2) H+[0] + (1) 3-Hydroxybenzoate[0]	-9.800	-7.280	-11.670	4.390	h;h2o;nadp;nadph	6	21	C;H;N;O;P	R07666	R07666	1	7	0	12	5	1	11.670	2.520	1.870	4.390
