radius	group	coef_kJ_per_mol	n_heavy_atoms	n_training_compounds	n_modelseed_compounds
2	[NH3+][C@H](CO)C(=O)[O-]	-1.7829	7	1	7
2	[NH3+]C(CO)(CO)C(=O)[O-]	1.7829	9	1	1
2	CC[C@H](O)CO	-1.7793	6	1	9
2	C[C@@H](O)[C@@H](O)[C@H](C)O	1.7669	8	1	37
2	CS[C@@H]1[C@H](N)CN1C	1.7614	8	2	47
2	CS[C@@H]1[C@H]([NH3+])CN1C	-1.7614	8	1	1
2	C[C@@H](O)C(=O)[O-]	1.7436	6	13	189
2	cnc(c(=O)[nH])c(n)n	-1.7422	9	15	177
2	C[C@@H](C(=O)[O-])C(=O)S	1.7185	8	1	1
2	C[C@H](C)C(=O)SC	1.7185	7	1	3
2	[N+]CCOP	-1.7040	5	2	195
2	C[C@@H](O)[C@@H](O)[C@@H](O)C	1.6836	8	66	988
2	CO[C@H](O)[C@H](O)C	-1.6424	7	1	71
2	CCCC(C)=O	1.6300	6	4	315
2	C[C@](O)(C(=O)[O-])C	-1.6229	7	1	19
2	CC[C@](O)(C(=O)[O-])CC	-1.6229	9	1	9
2	CC(=O)[C@@H](O)[C@H](O)C	1.6229	8	2	18
2	C[C@@H]([NH3+])COP	-1.6100	6	3	81
2	C[C@H](O)CO	-1.5986	5	23	636
2	cc(N[C@H](C)C)c	-1.5934	7	1	9
2	cN(C)[C@H](C)[C@@H](C)N	1.5934	8	1	1
2	cc(N(CN)[C@H](C)C)c	1.5934	9	1	1
2	cc(c)N(CN)[C@H](C)C	1.5934	9	1	1
2	cN[C@@H]([C@@H](C)N)[C@H](C)N	-1.5934	9	1	4
2	cN[C@H](C)[C@@H](C)N	-1.5934	7	1	7
2	cN(C)[C@H]([C@H](C)N)[C@@H](C)N	1.5934	10	1	1
2	cnc(CC)c[nH]	-1.5835	7	2	101
2	C[C@H](O)C=O	-1.5834	5	2	42
2	CCC=O	-1.5795	4	7	178
2	C[C@@H](O[C@H](C)O)C	1.5774	7	2	564
2	CCCC=O	-1.5719	5	3	100
2	CC(C)CO	1.5676	5	1	68
2	CC(C)C=O	-1.5676	5	1	29
2	CC(C=O)C(=O)[O-]	-1.5676	7	1	2
2	CC(CO)C(=O)[O-]	1.5676	7	1	1
2	CCC[C@H](C)C	-1.5572	6	4	1871
2	CC(=O)[C@@H](O)CO	-1.5445	7	2	12
2	COCC[N+]	-1.5272	5	1	14
2	C[C@H](O)[C@@H](O)[C@H](C)O	-1.5266	8	4	108
2	NCCO	-1.5199	4	2	54
2	CNCCO	-1.5199	5	4	87
2	CNC(N)=[NH2+]	-1.5083	5	5	242
2	C[C@H](O)C(=O)CO	1.5047	7	9	44
2	CC(=O)CCC	1.4932	6	7	684
2	C[C@@H](O)[C@@H](O)[C@H](O)C	-1.4758	8	48	2964
2	CC[C@H]([NH3+])C(=O)[O-]	1.4732	7	26	445
2	CN[C@@H](C(=O)[O-])CC	-1.4720	8	1	3
2	CCC[C@H](C)N	-1.4720	6	1	156
2	C[C@H](C(=O)[O-])N	-1.4720	6	4	71
2	C[C@@H](C)NC(=O)C	-1.4720	7	1	78
2	CCCC(=O)N	-1.4720	6	1	149
2	CO[C@H](CO)[C@H](C)O	-1.4274	8	1	133
2	C[C@H](C)OP(=O)([O-])O	-1.4274	8	5	130
2	COP(=O)([O-])OC	-1.4274	7	7	999
2	C[C@H]([NH3+])C	1.4124	4	2	241
1	C[C@H]([NH3+])C	1.4124	4	2	241
2	O=CCO	-1.4095	4	1	3
2	CO[C@@H](C=C)[C@@H](O)C	-1.4044	8	1	4
2	CC=C(C(=O)[O-])[C@H](O)C	-1.4044	9	1	3
2	CC(=C)[C@H](O)[C@@H](O)C	-1.4044	8	1	4
2	[NH3+]CCC(=O)[O-]	-1.3901	6	1	1
1	c[N+](=C)C	1.3762	4	1	6
1	cc([N+])c	1.3762	4	1	357
2	cc([N+](=CN)CC)c	1.3762	8	1	3
1	NC=[N+]	1.3762	3	1	5
2	cN(C)[C@H](CN)C[N+]	1.3762	8	1	3
2	cN(C)C=[N+](c)C	1.3762	7	1	5
2	cc(c)N(C=[N+])[C@@H](C)C	1.3762	9	1	4
1	CC[N+]	1.3762	3	12	430
2	c[N+](=C)C[C@@H](C)N	1.3762	7	1	3
2	C=[N+](c(cc)cc)C	1.3762	8	1	5
2	cc(c)N=C(C)C	1.3570	7	2	74
2	C[C@H](O)[C@H](O)[C@@H](O)O	-1.3541	8	2	271
2	CCCSS	-1.3439	5	2	17
2	C[C@H](C)S	1.3439	4	2	3
2	CC[C@@H](S)CC	1.3439	6	2	2
2	CCCC(=O)C	1.3308	6	1	191
2	CCCC(O)C	-1.3308	6	1	57
2	[NH3+][C@@H](CS)C(=O)[O-]	1.3263	7	1	83
2	C[C@@H]([NH3+])CSS	1.3263	6	1	8
2	C[C@H](O)COP	1.2983	6	22	328
1	[N+][O-]	-1.2913	2	3	502
2	c[nH]cc(C)n	-1.2614	6	3	117
2	C[C@@H]([NH3+])Cc(c)n	-1.2614	7	1	16
2	cc(C)nc[nH]	-1.2614	6	3	110
2	CCC(=O)SC	-1.2567	6	5	495
2	cc(CC(N)=O)c	1.2480	7	2	60
2	cc(CC(=O)[O-])c	-1.2480	7	1	76
2	Cc([nH+])c(N)n(C)c	-1.2445	8	1	1
2	cn(C)c(N)c[nH+]	1.2445	7	1	2
1	cc[nH+]	1.2445	3	1	19
2	Cc(c)[nH+]cn	-1.2445	6	1	1
2	c[nH+]c(C(=O)[O-])c(N)n	-1.2445	9	1	1
2	cc(C(=O)[O-])[nH+]	-1.2445	6	1	1
1	Cc(c)[nH+]	-1.2445	4	1	6
2	cc[nH+]cn	1.2445	5	1	2
2	c[nH+]cc(N)n	1.2445	6	1	2
2	CC(O)[C@H](O)CO	1.2279	7	1	2
2	CCOC(C)=O	-1.2222	6	4	612
2	CO[C@H](OC)[C@H](O)C	-1.2191	8	7	1569
2	O=C[C@H](O)CO	1.2168	6	2	2
2	CC[C@H](NC)C(=O)[O-]	-1.1995	8	2	40
2	CSS[C@H](C)C	-1.1764	6	1	6
2	CC[C@H](CC)SS	-1.1764	7	1	6
2	C[C@@H](O)[C@@H](C)O	-1.1654	6	2	39
1	CC(n)=O	1.1472	4	1	3
2	cnccn	1.1472	5	1	50
2	c[nH]ccn	-1.1472	5	1	5
1	Cn(c)c	1.1472	4	1	25
2	ccn(C(C)=O)cn	1.1472	8	1	2
2	cncc[nH]	-1.1472	5	1	3
2	ccncn	1.1472	5	1	62
2	Cn(c)cnc	1.1472	6	1	9
2	ccnc[nH]	-1.1472	5	1	2
2	Cn(c)ccn	1.1472	6	1	9
2	cn(C(C)=O)c	1.1472	6	1	1
2	CC(=O)C[C@@H](C)O	-1.1452	7	3	30
2	CNC(=O)N=C	-1.1329	6	6	45
1	CN=C	-1.1329	3	6	182
2	C[C@@H](C)C(=O)[O-]	1.1327	6	4	54
1	C[C@@H](C)C	1.1327	4	6	4262
1	cc(=O)n	-1.0997	4	8	334
2	cc(=O)[nH]c(N)n	1.0997	7	14	212
2	cc(=O)n	-1.0997	4	8	334
2	cc(=O)nc(N)[nH]	-1.0997	7	8	124
2	cnc(nc)c(c)n	1.0981	8	1	52
2	ccnc(c)n	1.0981	6	1	38
2	cCNc(c)c	1.0981	6	1	11
2	cNCc(c)n	1.0981	6	1	6
2	cnc(CN)cn	1.0981	7	1	10
2	cc(C)nc(c)c	1.0981	7	1	37
2	cncc(C)n	1.0981	6	1	38
1	cCN	1.0981	3	1	221
2	COP(=O)([O-])[O-]	-1.0973	6	106	2285
2	CNC(=O)C(C)N	-1.0884	7	3	113
1	c[nH]c	-1.0822	3	66	2095
2	CC(=O)Cc(c)c	-1.0776	7	5	18
2	cCC(=O)C(=O)[O-]	-1.0776	7	5	19
2	C[C@H](C)[NH2+]CC	1.0734	6	4	67
2	O=P([O-])(O)OP	1.0636	6	20	244
2	CC([NH3+])(CO)C(=O)[O-]	1.0420	8	1	1
2	C[C@@H]([NH3+])CO	-1.0262	5	1	45
2	CN1C[C@H](N)C1=O	1.0147	7	3	122
2	CN[C@@H]1C(=O)N[C@@H]1S	1.0147	8	3	106
2	CN1C[C@H]([NH3+])C1=O	-1.0147	7	2	2
2	C[C@@H](NC(C)=O)C	1.0147	7	3	184
2	[NH3+][C@@H]1C(=O)N[C@@H]1S	-1.0147	7	2	2
2	ccc(nc)c(c)n	-1.0068	8	2	76
2	ccc(c(c)N)NC	1.0068	8	2	11
2	c-c(c)nc(c)c	-1.0068	7	2	61
2	cnc(c(=O)[nH])-c(n)n	-1.0068	9	2	16
2	cNC(C(=N)N)C(=O)N	1.0068	9	2	3
2	ccc(c(c)n)n(C)c	-1.0068	9	2	43
2	CC(C)Nc(c)c	1.0068	7	2	19
2	cnc(n(C)c)-c(c)n	-1.0068	9	2	23
2	c-c(n)c(=O)[nH]c	-1.0068	7	2	19
2	cN(C[C@@H](C)O)C	1.0068	7	2	6
2	CN=C(C(C)N)N(C)c	1.0068	9	2	3
2	CN(C)c(cc)c(c)N	1.0068	9	2	6
2	CC(C)C(O)C(=O)[O-]	-0.9992	8	1	16
2	CC(C)CC(=O)[O-]	-0.9992	7	1	39
2	CCC(C(=O)[O-])C(C)O	-0.9992	9	1	4
2	C[C@H](C)[NH3+]	0.9949	4	44	1123
2	cccc(C)c	0.9629	6	14	3172
2	[NH2+]	-0.9560	1	1	2
2	cc[nH]cn	0.9480	5	5	122
1	cc(n)N	0.9215	4	3	50
2	c[nH]c(=O)c(c)N	0.9215	7	3	38
1	cN=C	0.9215	3	3	109
2	CCNc(c)n	0.9215	6	3	50
2	C=Nc(c(n)N)c(=O)[nH]	0.9215	9	3	30
2	cnc(c(c)N)NC	0.9215	8	3	33
2	cc(nc(N)[nH])N	0.9215	7	3	34
2	cNCC(C)=N	0.9215	6	3	22
2	cN=C(CN)CN	0.9215	7	1	10
2	CCNc(c)c	0.9215	6	1	15
2	cNCC(=N)C	0.9215	6	1	8
1	cc(N)[nH]	0.9199	4	1	27
2	cN[C@H](OC)[C@H](O)C	0.9199	8	1	5
2	CNc(c(N)[nH])c(=O)n	0.9199	9	1	5
2	cc(NC=O)c	0.9199	6	1	61
2	cc(N)[nH]c(N)n	0.9199	7	1	10
2	cc(N[C@@H](C)O)[nH]	0.9199	7	1	4
2	c[nH]c(NC)c(N)c	0.9199	8	1	6
2	cnc(=O)c(N)c	0.9199	7	1	9
2	CCCC[NH2+]	0.9169	5	3	165
1	CC[NH2+]	0.9169	3	5	594
2	CCC[NH2+]C	0.9169	5	3	221
1	cc(=O)[n-]	-0.8985	4	1	18
2	cc(=O)[nH]c(c)c	-0.8985	7	1	23
2	c-c(c)nc(C)n	0.8985	7	1	2
2	c-c(n)c(O)nc	0.8985	7	1	4
2	c[nH]c(=O)c(=O)[n-]	-0.8985	7	1	2
2	Cc(n)nc([nH])-c	0.8985	7	1	1
1	nc(O)[nH]	0.8985	4	1	2
2	cnc(O)[nH]c	0.8985	6	1	2
2	cnc([nH]c)-c(c)n	0.8985	8	1	7
1	c-c(n)[nH]	0.8985	4	1	18
2	cnc(c(O)n)-c(n)[nH]	0.8985	9	1	1
2	nc(C(=O)[O-])n	0.8985	6	1	1
2	nc(O)[nH]	0.8985	4	1	2
2	c[n-]c(=O)c(=O)[nH]	-0.8985	7	1	2
2	cc(=O)[n-]	-0.8985	4	1	18
2	cc(O)nc(O)[nH]	0.8985	7	1	1
2	c-c(n)[nH]c(O)n	0.8985	7	1	1
2	cc(=O)[n-]c(c)n	-0.8985	7	1	1
1	Cc(n)n	0.8985	4	3	127
2	cnc(C(=O)[O-])nc	0.8985	8	1	1
2	cc([nH])nc(N)[nH]	0.8666	7	1	6
2	C[C@H](O)[C@H](O)C(O)O	0.8547	8	3	57
2	CCN(C)C(N)=[NH+]	-0.8516	7	1	1
2	CN(C)C(N)=[NH+]P	-0.8516	7	1	1
2	CC(C)C(=O)[O-]	-0.8401	6	5	139
2	C=C(Cl)Cl	-0.8351	4	3	25
2	CCCC(=O)S	-0.8257	6	2	277
2	cN(C)C[C@@H](C)N	0.8187	7	1	6
2	cc(c)N(CN)[C@@H](C)C	0.8187	9	1	7
2	cc(N(CC)CN)c	0.8187	8	1	8
2	C[C@@H](C)C	-0.8034	4	5	1378
2	CSCCN	-0.7876	5	19	1071
2	C[C@@H](O)[C@H](O)C(C)(O)O	0.7756	9	1	1
2	CC=C[C@@H](O)C	-0.7755	6	1	20
2	CO[C@H](C=C)[C@H](O)C	-0.7755	8	1	3
2	C[C@@H](O)[C@H](O)C=C	-0.7755	7	1	8
1	CCc	-0.7555	3	11	513
2	cc(CC(=O)[O-])s	0.7467	7	1	2
2	cc(CC(N)=O)s	-0.7467	7	1	7
2	CN1C[C@@H](N)[C@H]1SC	-0.7467	8	1	61
2	CN1C[C@@H]([NH3+])[C@H]1SC	0.7467	8	1	1
2	CC(=O)C(O)C(=O)[O-]	-0.7388	8	2	3
2	CC(O)C(=O)C(=O)[O-]	-0.7388	8	2	2
2	C[C@@H](C)[NH3+]	-0.7145	4	12	264
2	C[C@H](O)C(=O)[O-]	-0.7078	6	10	104
2	C=C\CCO	-0.6984	5	1	22
2	CC/C=C\C	0.6984	5	4	826
2	C=C\CC=O	0.6984	5	1	9
2	C/C=C\CC	-0.6984	5	5	1544
2	CC=NC(=O)N	-0.6965	6	2	11
2	C[C@H](O)C[C@H](O)C	0.6960	7	1	70
2	C[C@@H](O)C[C@H](O)C	-0.6960	7	1	46
2	CC[C@H](O)[C@@H](O)O	-0.6960	7	1	15
2	C[C@@H](O)[C@@H](OP)OC	0.6960	8	1	13
2	C[C@H](O)[C@@H](OP)OC	-0.6960	8	1	7
2	CC[C@@H](O)[C@@H](O)O	0.6960	7	1	13
2	cc(n)nc(N)[nH]	-0.6884	7	10	166
1	CCC	-0.6691	3	200	16995
2	CCC(O)CC	-0.6654	6	1	121
2	C[C@@H](O)[C@@H](O)[C@H](n)O	0.6602	8	75	1840
2	C[C@@H](N)[C@@H](O)[C@H](O)C	-0.6395	8	4	67
2	C[C@H]([NH3+])[C@@H](O)[C@H](O)C	-0.6239	8	2	99
2	C[C@@H](O)C(O)[C@@H](C)O	0.6139	8	1	6
2	C=C(C)CCC	0.6114	6	3	829
1	CC(=N)C	0.5936	4	5	248
1	C[C@@H](N)C	0.5712	4	10	1348
2	CCC(C)=O	0.5666	5	2	137
2	cccn(C)c	0.5397	6	22	341
2	N=CCC(=O)N	-0.5397	6	1	2
2	ccc(C(=O)[O-])c(Cl)c	0.5352	9	2	4
2	Cc(c)c(Cl)cc	0.5352	7	2	40
2	C[C@@H](O)C(=O)[C@@H](C)O	-0.5107	8	1	8
2	C[C@@H](O)[C@@H](O)C(C)=O	-0.5107	8	1	1
2	cnc(N)c(c)n	-0.5065	7	42	1396
2	CCC[C@@H](C)[NH3+]	0.5017	6	7	237
2	cCC(=O)NC	0.5013	6	3	53
2	cCC(=O)[O-]	-0.5013	5	2	88
2	C[C@H](O)[C@@H](O)C(=O)O	0.5001	8	3	40
2	COC(=O)[C@H](O)C	0.5001	7	3	63
1	cc(N)c	-0.4564	4	9	1241
1	C[C@H](N)C	0.4436	4	2	552
2	COC(O)[C@H](N)C	0.4436	7	2	78
2	CN[C@@H](C(O)O)[C@@H](O)C	0.4436	9	2	85
2	CC(=O)N[C@H](C)C	-0.4436	7	7	1058
2	CC(=O)N[C@@H](C)C	0.4436	7	2	679
2	CC(=O)O[C@H](C)C	-0.4430	7	2	1577
2	CC[C@H](C[N+])OC	-0.4430	7	2	27
2	cN=C([C@H](C)O)CN	0.4355	8	1	1
2	CC(C(=O)[C@H](C)O)=N	-0.4355	8	1	1
2	C[C@@H](O)[C@H](C)O	0.4355	6	1	18
2	CC([C@@H](O)[C@H](C)O)=N	0.4355	8	1	1
2	CC(=O)[C@H](C)O	-0.4355	6	1	13
2	CC(=Nc(c)c)C	-0.4355	7	1	13
2	cN=C(C(C)=O)CN	-0.4355	8	1	2
1	CC(C)=N	0.4355	4	1	54
2	CC[S-]	0.4338	3	2	34
1	CC[S-]	0.4338	3	2	34
2	CC(=C)O[C@@H](C)C	0.4283	7	2	6
2	C=CC=CC	0.4283	5	2	75
2	CC(=C)O[C@H](C)C	-0.4283	7	2	5
2	CC(C(=O)[O-])=C	-0.4283	6	2	27
2	CC=C[C@H](O)C	0.4283	6	2	67
2	C=CC(C(=O)[O-])=CC	-0.4283	8	2	9
2	CC(=C[C@@H](O)C)C	-0.4283	7	4	69
2	CC(=CC=C)C	0.4283	6	2	38
2	cc(C)cc(O)c	-0.4277	7	1	957
2	Cc(c)cc(O)c	0.4277	7	5	697
2	C[C@H](O)[C@@H]([NH3+])C(O)O	-0.4204	8	1	15
2	COC(O)[C@H]([NH3+])C	-0.4204	7	1	15
2	C[C@@H]([NH3+])CCC	-0.3820	6	11	145
2	C[C@H](O)[C@@H](O)CO	0.3774	7	9	81
2	C[C@@H](O)[C@H]([NH3+])C(=O)[O-]	0.3718	8	1	13
2	C[C@@H]([NH3+])[C@@H](C)O	0.3718	6	1	6
2	CCCC[NH3+]	0.3592	5	7	214
2	C[C@@H](O)[C@H]([NH3+])C=C	0.3472	7	1	1
2	CO[C@H](C=C)[C@H]([NH3+])C	0.3472	8	1	1
2	CC=C[C@@H]([NH3+])C	0.3472	6	1	1
2	CC[C@@H](O)CC	-0.3238	6	1	464
2	C[C@H]([NH3+])COP	-0.3221	6	1	7
2	CCc(c[nH])nc	0.3221	7	1	4
2	cCC(=O)CO	0.3221	6	1	1
2	cC[C@H]([NH3+])CO	-0.3221	6	1	3
2	cc(C[C@@H](C)[NH3+])n	-0.3221	7	1	2
2	cc(CC(C)=O)n	0.3221	7	1	1
2	CCC(=C(C)C)[C@@](C)(C)C	0.3057	10	1	91
2	C=C(C)[C@H](CC)[C@@](C)(C)C	-0.3057	10	1	152
2	C=CC[C@@H](C)C	-0.3057	6	1	249
2	CCC[C@@](C)(C)C	0.3057	7	3	857
2	C[C@@](C)(C)[C@@H](CC)CC	0.3057	9	1	99
2	CC[C@@H](CC)[C@](C)(C)C	-0.3057	9	1	194
2	CCC[C@@H](C)C	0.3057	6	2	1609
2	C[C@H](C)[C@@](C)(CC)[C@@H](C)C	-0.3057	10	1	101
2	CCC=C(C)C	-0.3057	6	2	1432
2	CC=C([C@H](C)C)[C@H](C)C	-0.3057	9	1	72
2	C[C@@H](C)CCC	-0.3057	6	2	1226
2	CCC(=C(C)C)[C@H](C)C	0.3057	9	1	48
2	C=C(C)[C@@](C)(CC)[C@@H](C)C	0.3057	10	1	110
1	C=C(C)C	0.3057	4	8	4246
2	COCC	0.3050	4	1	168
2	CCC(=O)C[N+]	-0.2550	6	1	7
2	CC(=O)C[N+](C)(C)C	-0.2550	8	1	5
2	C[C@@H](O)[C@H](O)C(C)=O	-0.2377	8	2	7
2	CC(=O)[C@@H](C)O	-0.2137	6	1	3
2	CO[C@](CO)(OC)[C@@H](O)C	-0.2137	10	4	119
1	C[C@](O)(C)O	-0.2137	5	4	247
2	C[C@@](O)(CO)O	-0.2137	6	4	138
2	C[C@@](O)(O)[C@@H](O)[C@H](O)C	-0.2137	9	4	115
2	C[C@H](C)O[C@@](C)(O)C	-0.2137	8	4	131
2	C[C@](O[C@H](C)O)(C)O	-0.2137	8	4	106
2	CO[C@H](OP)[C@H]([NH3+])C	-0.2035	8	1	13
2	C[C@H](O)[C@@H]([NH3+])[C@@H](O)O	-0.2035	8	1	72
2	CC(=O)C=O	-0.1937	5	1	16
2	CC[N+](C)(C)C	-0.1820	6	7	261
2	C[N+](C)(C)CC	0.1820	6	4	35
1	C[C@H](C)S	0.1675	4	3	15
2	CSSC(C)C	-0.1675	6	1	2
1	CC(C)S	-0.1675	4	1	80
2	CCC[C@H](C)S	0.1675	6	3	10
2	CCC(CC)SS	-0.1675	7	1	1
2	CC(S)CCS	-0.1675	6	1	5
2	CCCC(C)S	-0.1675	6	1	16
2	C[C@@H](S)CCS	0.1675	6	3	10
2	CN=CC(C)C	-0.1567	6	1	6
1	cC	0.1567	2	17	1840
2	CC(C=N)C(=O)N	-0.1567	7	1	1
2	cc(C)c	0.1567	4	11	1529
2	cc(C)cn(C)c	0.1567	7	7	170
2	c[nH]c(=O)c(C)c	0.1567	7	7	159
2	Cc(cn)c(=O)[nH]	0.1567	7	7	136
2	C[C@H](C(=O)[O-])[NH2+]	-0.1565	6	1	9
2	C[NH2+][C@H](C(=O)[O-])CC	0.1565	8	1	8
2	C[C@@H](C)[NH2+]CC	-0.1565	6	1	16
2	C[C@H]([NH2+])C[C@@H](O)C	-0.1565	7	1	2
2	C[C@@H]([NH2+])C[C@@H](O)C	0.1565	7	1	1
2	C[NH2+][C@@H](C(=O)[O-])CC	-0.1565	8	1	2
1	c-c(c)n	-0.1082	4	3	196
2	CC(C(=O)[O-])=N	0.1076	6	3	40
2	CCC(C(=O)[O-])=NC	0.1076	8	3	7
2	C[C@H]([NH3+])C[C@H](C)[NH3+]	-0.1054	7	1	1
2	C[C@H]([NH3+])CC	-0.1054	5	1	4
2	CSC(=O)[C@@H](C)O	0.0968	7	1	15
2	CSC[C@@H](C)N	0.0968	6	1	40
2	C[C@@H](O)C(=O)S	0.0968	6	1	3
2	C[C@@H]([NH2+])CCC	0.0754	6	3	38
2	CC(=O)C(C)(C)CO	0.0702	8	1	2
2	C[C@H](O)C(C)(C)CO	-0.0702	8	24	1055
2	CC(C)(C)C(=O)C(=O)[O-]	0.0702	9	1	1
2	cCC(O)C(=O)[O-]	-0.0683	7	2	8
2	CC(O)Cc(c)c	-0.0683	7	2	17
2	C[C@H]([NH3+])CC(C)C	0.0649	7	1	1
2	CC(=O)CC(=O)[O-]	-0.0228	7	6	51
2	cc([nH])n([C@@H](C)O)cn	-0.0142	9	1	11
2	[nH]c(=O)[nH]	-0.0142	4	1	24
1	[nH]c(=O)[nH]	-0.0142	4	1	24
2	c[nH]c(=O)[nH]c	-0.0142	6	1	24
2	c[nH]c(c(c)n)n(C)c	-0.0142	9	1	17
2	cnc(c(O)n)c(n)[nH]	0.0142	9	1	1
2	cnc(O)c(c)n	0.0142	7	1	3
2	cc(n)[nH]c(=O)[nH]	-0.0142	7	1	11
2	cc(=O)[nH]c(=O)[nH]	-0.0142	7	1	12
2	cc([nH])nc(O)n	0.0142	7	1	1
2	ccc(C(=O)[O-])c[n+]	0.0084	8	1	11
2	ccc(C(=O)[O-])cn	-0.0084	8	1	8
2	[Fe]	-0.0000	1	1	5
1	[Fe]	0.0000	1	1	1
1	[Mn]	0.0000	1	1	1
2	[Mn]	-0.0000	1	1	2
