radius	group	coef_kJ_per_mol	n_heavy_atoms	n_training_compounds	n_modelseed_compounds
2	C[C@H]([NH3+])CC(C)=O	11.3800	7	1	2
2	cc(C)c(CO)c(O)c	-11.2879	9	1	6
2	C=C(\C)C(=O)[O-]	11.2716	6	2	35
2	CC(OP(=O)([O-])[O-])O	11.2591	8	2	15
2	ccc(CC)cc	-11.1938	7	5	1064
1	CCCl	-11.1457	3	6	161
2	CSC(=O)C(=O)[O-]	-11.1203	7	1	1
2	O=C([O-])C(=O)S	-11.1203	6	1	1
2	CC[C@H](O)C(=O)[O-]	-11.0708	7	4	14
2	C[C@@H](O)[C@H](O)[C@H](O)C	11.0078	8	17	823
1	C[N+]	10.8741	2	12	415
2	CCSC(C)=O	-10.8725	6	14	802
1	cc(c)c	10.8725	4	6	2627
2	cccc(c)c	10.8725	6	6	1552
1	CC(C)N	10.8091	4	4	514
2	C[C@H](O)CC(=O)[O-]	-10.7702	7	5	42
2	CC(=C)C[C@@H](O)C	10.6872	7	2	10
2	CC=C(C(=O)[O-])CC	10.6872	8	2	21
2	O=S=O	-10.6779	3	1	1
1	cCC	10.6127	3	14	3213
2	CC(OP(=O)([O-])O)O	-10.5917	8	1	29
2	cc(=O)[nH]	-10.5633	4	44	745
1	cc(=O)[nH]	-10.5633	4	44	745
1	[N+]=O	-10.4742	2	1	471
1	O=[N+]([O-])[O-]	-10.4742	4	1	9
2	CCNC(N)=[NH2+]	10.3892	6	6	203
2	cccc(F)c	-10.3797	6	3	117
2	C[C@@H](O)[C@H](O)C(O)O	-10.3066	8	4	30
1	CC	-10.2651	2	140	16478
1	ccn	-10.2240	3	39	1311
2	C[C@@H](OP(=O)([O-])[O-])C	10.0820	8	21	1240
2	cC(N)=O	-10.0713	4	15	445
1	C[C@H](C)[NH3+]	9.9469	4	44	1123
2	C[C@@H](O)O	-9.8814	4	2	253
2	Cc(c)ccc	9.8792	6	25	2415
2	CCC[C@@H](C)N	9.8785	6	12	255
1	CS(C)=O	9.7951	4	1	39
1	CCN	9.7399	3	60	3602
2	CCCCO	9.7323	5	3	532
2	C[C@H](O)[C@@H](O)C(=O)[O-]	-9.7300	8	3	46
2	C/C=C(/CC)C(=O)[O-]	9.5397	8	1	14
2	C/C(=C)CC(=O)[O-]	9.5397	7	1	13
2	cC[NH3+]	9.4802	3	1	28
2	cc(C[NH3+])c	9.4802	5	1	13
2	cc(C)c(C[NH3+])c(O)c	9.4802	9	1	2
1	cC[NH3+]	9.4802	3	1	28
2	COC(O)[C@@H](O)C	-9.4519	7	7	63
2	C[C@@H](O)[C@H](O)C=O	-9.3919	7	1	16
2	C=CCl	9.3468	3	2	4
2	C[C@@H](O)[C@H](O)CO	9.2831	7	10	235
2	CCC(=O)NC	-9.2814	6	34	2384
2	CC(O)O[C@H](C)C	-9.2576	7	1	29
2	CCC(O)OC	-9.2576	6	1	26
2	C[C@@H](O)CC(O)O	-9.2576	7	1	15
1	NC=O	-9.2569	3	3	174
2	NC=O	-9.2569	3	3	174
1	CC(C)(C)O	-9.2386	5	2	819
2	CC(C)(O)C(=O)[O-]	-9.2386	7	2	85
2	C=C(C)C(=O)[O-]	9.2291	6	2	21
2	CC(=C)C	9.2291	4	2	291
2	[N+]	9.1829	1	3	20
1	CC(=O)C	-9.1759	4	10	2380
2	CC(=O)C	-9.1759	4	10	2380
2	CC(Cl)CCl	-9.1514	5	2	2
2	CO[C@@H](C)[C@H](O)C	9.1427	7	1	55
2	ccc[nH]c	9.1111	5	1	56
2	ccc(cc)c(c)[nH]	9.1111	8	1	28
2	cc(c)cc[nH]	9.1111	6	1	13
2	C[C@@H](O[C@@H](C)O)C	9.1055	7	5	1043
2	CC(O)(CO)O	-9.0757	6	11	34
2	CC(O)CO	-8.9819	5	2	149
2	cN(C)[C@@H](CN)CN	8.9591	8	2	13
2	C[C@H](C)NC(=O)N	-8.7985	7	2	19
1	C=C(Cl)Cl	8.7399	4	3	25
2	CCc(c[nH])c(c)c	-8.6803	8	1	66
2	C[C@@H](O)[C@@H](OP)[C@@H](O)C	8.6547	9	22	1111
2	C[C@](O)(C)C[C@@H](O)C	-8.6359	8	2	18
2	O=CC(=O)[O-]	-8.6304	5	1	1
2	CC[C@H](O)[C@@H](C)O	-8.6235	7	3	40
1	CC(O)C	-8.6045	4	2	492
2	CC(O)C	-8.6045	4	2	389
2	C=[NH+]P(=O)([O-])[O-]	-8.5922	6	4	7
2	NC(N)=[NH+]	-8.5922	4	4	14
2	NC(N)=[NH+]P(=O)([O-])[O-]	-8.5922	8	4	7
1	NC(N)=[NH+]	-8.5922	4	4	14
1	[NH+]P(=O)([O-])[O-]	-8.5922	5	4	8
1	C=[NH+]P	-8.5922	3	4	7
2	CC(O)(C)OCC	-8.4920	7	7	18
1	cc(O)c	-8.4908	4	19	6298
2	ccc(O)cc	-8.4908	6	10	1881
2	cc(O)c	-8.4908	4	19	4604
2	P	8.4687	1	1	19
1	CC(Cl)(Cl)Cl	8.4414	5	4	35
1	C[C@H](n)O	8.4228	4	93	2170
2	C[C@H](C)O[C@@H](n)C	8.4228	7	93	2114
2	C=C\C(=O)[O-]	8.4148	5	2	65
2	CCCCC	8.3890	5	29	5702
2	C=C/c(cc)cc	8.3867	7	5	501
2	C[C@H](O)[C@H](O)CO	8.3417	7	31	382
2	C[C@H](O)[C@H](O)[C@@H](O)C	-8.3301	8	10	736
2	ccc(=O)[nH]c	-8.2408	6	12	223
2	CN[C@H]([C@@H](O)O)[C@@H](O)C	-8.2390	9	1	11
2	CO[C@H](O)[C@@H](N)C	-8.2390	7	1	11
2	C[C@](C)(O)C(=O)[O-]	-8.2010	7	1	26
2	C[C@](C)(O)CC(=O)[O-]	-8.2010	8	3	17
2	CC[C@@](C)(O)C(=O)[O-]	-8.2010	8	1	5
1	C[C@@](C)(C)O	-8.2010	5	3	476
2	COC(O)(CO)[C@@H](O)C	-8.2001	9	10	29
2	C=C/C(=O)SC	8.1583	6	2	129
2	C/C=C/C(=O)S	8.1583	6	2	111
2	cc(c)N(C)[C@@H](C)C	8.1404	8	1	9
2	cN(C)C	8.1404	4	1	162
2	OCC(O)CO	-8.0935	6	1	73
2	c[nH]c(=O)n(C)c	-8.0841	7	19	385
2	C[C@@H]([NH3+])CC(N)=O	-8.0665	7	1	11
2	C[C@@H](CO)O	-8.0661	5	54	3076
2	CCOP(=O)([O-])O	-8.0447	7	74	3072
2	C/C(=C)C	8.0223	4	3	181
1	C[C@@H](C)[NH3+]	7.9589	4	12	264
2	C[C@@H]([NH3+])Cc(c)c	7.9580	7	3	111
2	[NH3+]CC(=O)[O-]	-7.9436	5	1	2
2	C=CCCC	-7.9391	5	3	353
2	CC(O)CCC	-7.9391	6	1	116
2	C=C(C(=O)SC)C	-7.9391	7	1	12
2	CC=C(C(=O)S)C(O)C	-7.9391	9	1	1
2	CC(C(=O)SC)=C	7.9391	7	1	9
2	CC(=C)C(O)CC	-7.9391	7	1	2
2	C=CC(C(=O)S)=CC	7.9391	8	1	4
2	CC=CCC	7.9391	5	1	123
2	CC(=O)C(N)=O	7.9385	6	1	9
2	CCC(=O)C(N)=O	7.9385	7	1	3
2	O=C([O-])[C@@H](CO)OP	7.9016	8	1	3
2	C[C@@H](C)OP(=O)([O-])[O-]	7.9016	8	1	16
1	c[n+](C)c	7.8792	4	6	134
2	CC(=O)CC(C)O	-7.8453	7	1	13
2	CCC(O)C(=O)[O-]	-7.8453	7	1	31
2	CC[C@H]([NH2+]C)C(=O)[O-]	7.8425	8	2	34
2	C[C@H]([NH2+])C(=O)[O-]	7.8425	6	2	50
2	CC[C@H](C)C	7.8123	5	1	179
2	C[C@H](C)[C@H]([NH3+])C(=O)[O-]	7.8123	8	1	3
2	C[C@@H]([NH3+])[C@@H](C)CC	7.8123	7	1	15
2	nc(=O)[nH]	-7.7934	4	21	415
1	nc(=O)[nH]	-7.7934	4	21	415
2	CCNC(C)=O	-7.7692	6	30	1708
