radius	group	feature_index	coefficient_kJ_per_mol	used_in_training	n_training_compounds	n_all_modelseed_compounds
1	CC(Cl)O	370	0	0	0	3
1	CC(F)(F)C	371	0	0	0	8
1	CC(F)(F)F	372	0	0	0	36
1	CC(F)(F)S	373	0	0	0	3
1	CC(F)=C	374	0	0	0	4
1	CC(F)C	375	0	0	0	3
1	CC(F)Cl	376	0	0	0	2
1	CC(F)F	377	0	0	0	7
1	CC(F)O	378	0	0	0	1
1	CC(N)(C)C	379	0	0	0	12
1	CC(N)(N)N	380	0	0	0	4
1	CC(N)(O)C	381	0	0	0	2
1	CC(N)=C	382	0	0	0	19
1	CC(N)=N	383	0	0	0	14
1	CC(N)=O	384	-11.95857544	1	57	4778
1	CC(N)=S	385	0	0	0	10
1	CC(N)=[NH+]	386	0	0	0	1
1	CC(N)=[NH2+]	387	0	0	0	18
1	CC(N)=[OH+]	388	0	0	0	4
1	CC(N)=[O]	389	0	0	0	1
1	CC(N)C	390	0	0	0	122
1	CC(N)N	391	6.669643551	1	1	40
1	CC(N)O	392	0	0	0	23
1	CC(N)S	393	0	0	0	11
1	CC(N)[NH+]	394	0	0	0	3
1	CC(O)(C)C	395	0	0	0	53
1	CC(O)(C)N	396	0	0	0	10
1	CC(O)(C)O	397	-16.94521505	1	15	93
1	CC(O)(C)[NH+]	398	0	0	0	1
1	CC(O)(C)[NH2+]	399	0	0	0	3
1	CC(O)(C)c	400	0	0	0	1
1	CC(O)(F)F	401	0	0	0	8
1	CC(O)(O)C	402	0	0	0	19
1	CC(O)(O)O	403	0	0	0	18
1	CC(O)(P)P	404	0	0	0	6
1	CC(O)(c)c	405	0	0	0	1
1	CC(O)=C	406	0	0	0	183
1	CC(O)=N	407	0	0	0	5
1	CC(O)=c	408	0	0	0	2
1	CC(O)Br	409	0	0	0	1
1	CC(O)C	410	-8.604544761	1	2	492
1	CC(O)Cl	411	0	0	0	4
1	CC(O)F	412	0	0	0	2
1	CC(O)N	413	0	0	0	37
1	CC(O)O	414	-23.10962129	1	35	721
1	CC(O)P	415	0	0	0	5
1	CC(O)S	416	0	0	0	4
1	CC(O)[NH+]	417	0	0	0	5
1	CC(O)[O]	418	0	0	0	1
1	CC(O)c	419	0	0	0	2
1	CC(P)C	420	0	0	0	2
1	CC(P)P	421	0	0	0	1
1	CC(P)S	422	0	0	0	5
1	CC(S)(Cl)Cl	423	0	0	0	1
1	CC(S)=C	424	0	0	0	9
1	CC(S)=N	425	0	0	0	1
1	CC(S)C	426	0	0	0	18
1	CC(S)Cl	427	0	0	0	1
1	CC(S)N	428	0	0	0	2
1	CC(S)O	429	0	0	0	3
1	CC(S)S	430	0	0	0	6
1	CC([CH+])=N	431	0	0	0	1
1	CC([N+])=C	432	0	0	0	2
1	CC([N+])=N	433	0	0	0	1
1	CC([N+])C	434	0	0	0	5
1	CC([N-])=C	435	0	0	0	2
1	CC([N-])=O	436	0	0	0	13
1	CC([N-])=S	437	0	0	0	6
1	CC([NH+])C	438	0	0	0	17
1	CC([NH+])O	439	0	0	0	8
1	CC([NH2+])(C)C	440	0	0	0	1
1	CC([NH2+])C	441	0	0	0	5
1	CC([NH2+])O	442	0	0	0	2
1	CC([NH3+])(C)C	443	0	0	0	8
1	CC([NH3+])(O)C	444	0	0	0	1
1	CC([NH3+])=C	445	0	0	0	2
1	CC([NH3+])C	446	0	0	0	27
1	CC([NH3+])O	447	0	0	0	1
1	CC([NH3+])P	448	0	0	0	3
1	CC([O-])=C	449	0	0	0	53
1	CC([O-])=N	450	0	0	0	3
1	CC([O-])=[NH+]	451	0	0	0	2
1	CC([O])C	452	0	0	0	2
1	CC([S-])C	453	0	0	0	5
1	CC([n+])O	454	0	0	0	1
1	CC(c)(C)C	455	0	0	0	42
1	CC(c)(C)O	456	0	0	0	3
1	CC(c)(c)C	457	0	0	0	12
1	CC(c)(c)N	458	0	0	0	1
1	CC(c)(c)O	459	0	0	0	8
1	CC(c)=C	460	0	0	0	23
1	CC(c)=N	461	0	0	0	4
1	CC(c)=O	462	0	0	0	84
1	CC(c)C	463	0	0	0	81
1	CC(c)N	464	0	0	0	16
1	CC(c)O	465	0	0	0	40
1	CC(c)S	466	0	0	0	5
1	CC(c)[NH2+]	467	0	0	0	1
1	CC(c)[NH3+]	468	0	0	0	3
1	CC(c)c	469	0	0	0	10
1	CC(n)=O	470	1.147162934	1	1	3
1	CC(n)C	471	0	0	0	16
1	CC(n)O	472	0	0	0	30
1	CC(n)S	473	0	0	0	1
1	CC=C	474	15.38047413	1	9	1845
1	CC=N	475	12.96438989	1	3	53
1	CC=O	476	-25.55448707	1	21	778
1	CC=S	477	0	0	0	8
1	CC=[N+]	478	0	0	0	17
1	CC=[NH+]	479	0	0	0	7
1	CC=[NH2+]	480	0	0	0	7
1	CC=c	481	0	0	0	20
1	CCBr	482	0	0	0	29
1	CCC	483	-0.6691074915	1	200	16995
1	CCCl	484	-11.14573063	1	6	161
1	CCF	485	0	0	0	31
1	CCI	486	0	0	0	9
1	CCN	487	9.739861865	1	60	3602
1	CCO	488	-48.72474244	1	262	11237
1	CCP	489	-24.85426626	1	3	84
1	CCS	490	7.623849324	1	39	2166
1	CC[131I]	491	0	0	0	1
1	CC[As+]	492	0	0	0	2
1	CC[AsH]	493	0	0	0	1
1	CC[As]	494	0	0	0	10
