rxn	name	ec	dg_eq	dg_dgp	diff	absdiff	definition	cofactors	net_proton	d_charge_sq	n_participants	max_carbon
rxn04727	R06918	1.2.1.-	-8.680	-10.400	1.720	1.720	(1) H2O[0] + (1) NAD[0] + (1) 1-Naphthaldehyde[0] <=> (1) NADH[0] + (2) H+[0] + (1) 1-Naphthoic acid[0]	h;h2o;nad;nadh	2.000	6.000	6	21
rxn32344	L-histidine carboxy-lyase (histamine-forming)	4.1.1.22;4.1.1.28	-6.960	-8.690	1.730	1.730	(1) H+[0] + (1) L-Histidine[0] => (1) CO2[0] + (1) Histamine[0]	co2;h	-1.000	0.000	4	6
rxn32347	L-histidine carboxy-lyase (histamine-forming)	4.1.1.22;4.1.1.28	-6.960	-8.690	1.730	1.730	(1) H+[0] + (1) L-Histidine[0] => (1) CO2[0] + (1) Histamine[0]	co2;h	-1.000	0.000	4	6
rxn00866	L-histidine carboxy-lyase (histamine-forming)	4.1.1.22;4.1.1.28	-6.960	-8.690	1.730	1.730	(1) H+[0] + (1) L-Histidine[0] => (1) CO2[0] + (1) Histamine[0]	co2;h	-1.000	0.000	4	6
rxn34273	transketolase	2.2.1.1	-0.350	1.380	-1.730	1.730	(1) D-Xylulose5-phosphate[0] + (1) alpha-D-Ribose 5-phosphate[0] <=> (1) Glyceraldehyde3-phosphate[0] + (1) Sedoheptulose7-phosphate[0]		0.000	0.000	4	7
rxn05072	1D-myo-inositol-3-phosphate lyase (isomerizing)	5.5.1.4	-14.370	-16.100	1.730	1.730	(1) D-glucose-6-phosphate[0] => (1) Inositol 3-phosphate[0]		0.000	0.000	2	6
rxn38173	MYO-INOSITOL-1-PHOSPHATE-SYNTHASE-RXN.e	5.5.1.4	-14.370	-16.100	1.730	1.730	(1) D-glucose-6-phosphate[0] => (1) Inositol 3-phosphate[0]		0.000	0.000	2	6
rxn20219	inositol-3-phosphate synthase	5.5.1.4	-14.370	-16.100	1.730	1.730	(1) D-glucose-6-phosphate[0] => (1) Inositol 3-phosphate[0]		0.000	0.000	2	6
rxn00942	N-ribosylnicotinamide ribohydrolase	3.2.2.1	-6.800	-8.540	1.740	1.740	(1) H2O[0] + (1) N-Ribosylnicotinamide[0] => (1) H+[0] + (1) D-Ribose[0] + (1) Nicotinamide[0]	h;h2o	1.000	0.000	5	11
rxn02557	geraniol:NADP+ oxidoreductase	1.1.1.183	4.890	3.150	1.740	1.740	(1) NADP[0] + (1) Geraniol[0] <=> (1) NADPH[0] + (1) H+[0] + (1) Geranial[0]	h;nadp;nadph	1.000	8.000	5	21
rxn02337	2-trans,6-trans-farnesol:NADP+ 1-oxidoreductase	1.1.1.216	4.890	3.150	1.740	1.740	(1) NADP[0] + (1) 2-trans,6-trans-Farnesol[0] <=> (1) NADPH[0] + (1) H+[0] + (1) 2-trans,6-trans-Farnesal[0]	h;nadp;nadph	1.000	8.000	5	21
rxn16766	(6E)-8-hydroxygeraniol:NADP+ oxidoreductase	1.1.1.-;1.1.1.324	4.890	3.150	1.740	1.740	(1) NADP[0] + (1) 8-Hydroxygeraniol[0] <=> (1) NADPH[0] + (1) H+[0] + (1) (6E)-8-Hydroxygeranial[0]	h;nadp;nadph	1.000	8.000	5	21
rxn15018	AMP phosphoribohydrolase	3.2.2.4	-4.780	-3.040	-1.740	1.740	(1) H2O[0] + (1) AMP[0] => (1) Adenine[0] + (1) alpha-D-Ribose 5-phosphate[0]	amp;h2o	0.000	0.000	4	10
rxn00131	AMP phosphoribohydrolase	3.2.2.4	-4.780	-3.040	-1.740	1.740	(1) H2O[0] + (1) AMP[0] => (1) ribose-5-phosphate[0] + (1) Adenine[0]	amp;h2o	0.000	0.000	4	10
rxn15899	D-allulose-6-phosphate 3-epimerase	5.1.3.-	-0.690	-2.430	1.740	1.740	(1) Allulose 6-phosphate[0] <=> (1) beta-D-Fructose 6-phosphate[0]		0.000	0.000	2	6
rxn08118	D-allulose-6-phosphate 3-epimerase	5.1.3.-	-0.690	-2.430	1.740	1.740	(1) Allulose 6-phosphate[0] <=> (1) D-fructose-6-phosphate[0]		0.000	0.000	2	6
rxn15833	2-dehydro-L-idonate:NADP+ 5-oxidoreductase	1.1.1.274	5.830	7.580	-1.750	1.750	(1) NADP[0] + (1) 2-Dehydro-D-galactonate[0] <=> (1) NADPH[0] + (1) H+[0] + (1) 2,5-diketo-D-gluconate[0]	h;nadp;nadph	1.000	8.000	5	21
rxn16337	L-saccharopine:oxygen oxidoreductase (L-glutamate forming)	1.5.3.18	-23.050	-21.300	-1.750	1.750	(1) H2O[0] + (1) O2[0] + (1) Saccharopine[0] => (1) L-Glutamate[0] + (1) H2O2[0] + (1) Allysine[0]	glu;h2o;h2o2;o2	0.000	0.000	6	11
rxn33515	-		4.730	6.490	-1.760	1.760	(1) CO2[0] + (1) Aminoacetone[0] <= (1) H+[0] + (1) L-2-Amino-acetoacetate[0]	co2;h	1.000	0.000	4	4
rxn02666	R03758		4.730	6.490	-1.760	1.760	(1) CO2[0] + (1) Aminoacetone[0] <= (1) H+[0] + (1) L-2-Amino-acetoacetate[0]	co2;h	1.000	0.000	4	4
rxn33517	-		4.730	6.490	-1.760	1.760	(1) CO2[0] + (1) Aminoacetone[0] <= (1) H+[0] + (1) L-2-Amino-acetoacetate[0]	co2;h	1.000	0.000	4	4
rxn15826	R08861		-5.230	-3.470	-1.760	1.760	(1) NADPH[0] + (1) H+[0] + (1) Phosphonoacetaldehyde[0] <=> (1) NADP[0] + (1) 2-Hydroxyethylphosphonate[0]	h;nadp;nadph	-1.000	-8.000	5	21
