compound	name	formula	charge	n_reactions	offset_eq_minus_dgp
cpd00010	CoA	C21H32N7O16P3S	-4	447	-6.729
cpd00156	L-Valine	C5H11NO2	0	12	-6.692
cpd01733	Ferulaldehyde	C10H10O3	0	9	6.647
cpd03161	Phenethylamine	C8H12N	1	6	6.625
cpd00371	Propanal	C3H6O	0	7	6.560
cpd00382	Melitose	C18H32O16	0	19	6.522
cpd00239	H2S	HS	-1	10	-6.513
cpd19042	L-erythro-4-Hydroxyglutamate	C5H8NO5	-1	11	-6.494
cpd00464	alpha-Tolualdehyde	C8H8O	0	15	6.487
cpd00550	D-Serine	C3H7NO3	0	7	-6.386
cpd00579	Serotonin	C10H13N2O	1	6	-6.356
cpd02160	N2-Succinyl-L-ornithine	C9H15N2O5	-1	9	-6.238
cpd00604	4-Coumarate	C9H7O3	-1	8	-6.190
cpd00117	D-Alanine	C3H7NO2	0	17	-6.132
cpd00869	4-methylthio 2-oxobutyrate	C5H7O3S	-1	10	6.119
cpd00032	Oxaloacetate	C4H2O5	-2	66	-6.071
cpd14659	L-Galactonate	C6H11O7	-1	5	-6.054
cpd01504	3-Aminopropanal	C3H8NO	1	16	6.031
cpd00693	D-Lactaldehyde	C3H6O2	0	8	5.900
cpd00119	L-Histidine	C6H9N3O2	0	11	-5.872
cpd00187	Methanamine	CH6N	1	14	-5.858
cpd00100	Glycerol	C3H8O3	0	23	5.836
cpd19047	(S)-2-Acetolactate	C5H7O4	-1	10	-5.829
cpd00652	D-Mucic acid	C6H8O8	-2	10	-5.807
cpd01157	Chitobiose	C16H28N2O11	0	6	5.783
cpd04385	Acetophenone	C8H8O	0	8	-5.761
cpd04386	Benzoyl acetate	C9H7O3	-1	5	5.761
cpd00918	2-Acetamido-5-oxopentanoate	C7H10NO4	-1	6	-5.733
cpd00400	Acrylate	C3H3O2	-1	7	5.699
cpd02693	3-Isopropylmalate	C7H10O5	-2	7	5.687
cpd00292	HMG-CoA	C27H39N7O20P3S	-5	21	5.676
cpd01150	Acrylamide	C3H5NO	0	5	5.639
cpd00668	ALCTT	C5H7O4	-1	8	-5.609
cpd00448	D-Glyceraldehyde	C3H6O3	0	17	5.597
cpd00540	BET	C5H11NO2	0	10	-5.563
cpd30321	beta-D-Fructose	C6H12O6	0	6	-5.548
cpd00123	3-Methyl-2-oxobutanoate	C5H7O3	-1	26	-5.525
cpd00523	Trehalose 6-phosphate	C12H21O14P	-2	8	5.502
cpd00334	L-Lactaldehyde	C3H6O2	0	12	5.479
cpd00251	ADPribose	C15H21N5O14P2	-2	10	-5.477
