rxn	name	ec	dg_eq	dg_dgp	diff	absdiff	definition	cofactors	net_proton	d_charge_sq	n_participants	max_carbon
rxn14083	flaviolin,NADPH:oxygen oxidoreductase	1.14.21.7	-106.120	-124.330	18.210	18.210	(1) NADPH[0] + (1) O2[0] + (1) H+[0] + (2) Flaviolin[0] => (2) H2O[0] + (1) NADP[0] + (1) 3,8'-Biflaviolin[0]	h;h2o;nadp;nadph;o2	-1.000	-6.000	7	21
rxn40069	zeaxanthin:oxygen 15,15'-oxidoreductase (bond-cleaving, cis-isomerizing)	1.13.11.65	-87.620	-69.440	-18.180	18.180	(1) O2[0] + (1) Zeaxanthin[0] => (1) 11-cis-3-Hydroxyretinal[0] + (1) all-trans-3-Hydroxyretinal[0]	o2	0.000	0.000	4	40
rxn28324	RXN-6384.m	3.1.2.4	-8.910	9.260	-18.170	18.170	(1) H2O[0] + (1) 3-Hydroxypropanoyl-CoA[0] => (1) CoA[0] + (1) H+[0] + (1) Hydracrylic acid[0]	coa;h;h2o	1.000	2.000	5	24
rxn28325	RXN-6384.x	3.1.2.4	-8.910	9.260	-18.170	18.170	(1) H2O[0] + (1) 3-Hydroxypropanoyl-CoA[0] => (1) CoA[0] + (1) H+[0] + (1) Hydracrylic acid[0]	coa;h;h2o	1.000	2.000	5	24
rxn04901	trichloroethene, NADPH:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing)	1.14.14.1	-100.020	-81.890	-18.130	18.130	(1) NADPH[0] + (1) O2[0] + (1) H+[0] + (1) TCE[0] => (1) H2O[0] + (1) NADP[0] + (1) TCE epoxide[0]	h;h2o;nadp;nadph;o2	-1.000	-8.000	7	21
rxn02303	Coproporphyrinogen:oxygen oxidoreductase(decarboxylating)	1.3.3.3	-86.180	-104.190	18.010	18.010	(1) O2[0] + (2) H+[0] + (1) CoproporphyrinogenIII[0] => (2) H2O[0] + (2) CO2[0] + (1) ProtoporphyrinogenIX[0]	co2;h;h2o;o2	-2.000	-14.000	6	36
rxn25989	coproporphyrinogen III oxidase	1.3.3.3	-86.180	-104.190	18.010	18.010	(1) O2[0] + (2) H+[0] + (1) CoproporphyrinogenIII[0] => (2) H2O[0] + (2) CO2[0] + (1) ProtoporphyrinogenIX[0]	co2;h;h2o;o2	-2.000	-14.000	6	36
rxn11534	R08148	1.14.13.-	-99.410	-81.580	-17.830	17.830	(1) NADPH[0] + (1) O2[0] + (1) H+[0] + (1) Methyl farnesoate[0] => (1) H2O[0] + (1) NADP[0] + (1) Juvenile hormone III[0]	h;h2o;nadp;nadph;o2	-1.000	-8.000	7	21
rxn37706	RXN-11209.d	1.3.1.2	1.010	18.810	-17.800	17.800	(1) NADP[0] + (1) Dihydrothymine[0] <=> (1) NADPH[0] + (1) H+[0] + (1) Thymine[0]	h;nadp;nadph	1.000	8.000	5	21
rxn01028	5,6-Dihydrothymine:NADP+ oxidoreductase	1.3.1.2	1.010	18.810	-17.800	17.800	(1) NADP[0] + (1) Dihydrothymine[0] <=> (1) NADPH[0] + (1) H+[0] + (1) Thymine[0]	h;nadp;nadph	1.000	8.000	5	21
