compound	name	formula	charge	n_reactions	offset	abs_offset	mass	eq_uncertainty	heavy_atoms	n_rings	n_arom_atoms	n_conj_bonds	frac_conj	n_stereo	n_rotatable	logp	n_distinct_r1_frags	frag_failures
cpd03121	3-Oxooctanoyl-CoA	C29H44N7O18P3S	-4	6	12.4820	12.4820	904.0000	2.0679	58	3	9	15	0.2500	7	25	-2.3238	32	0
cpd00073	Urea	CH4N2O	0	29	-12.4090	12.4090	60.0000		4	0	0	3	1.0000	0	0	-0.9762	3	0
cpd00183	Sarcosine	C3H7NO2	0	5	-12.4010	12.4010	89.0000	1.0631	6	0	0	2	0.4000	0	2	-3.0705	6	0
cpd08984	5-Hydroxyconiferaldehyde	C10H10O4	0	5	-12.2770	12.2770	194.0000	1.4529	14	1	6	13	0.9286	0	3	1.3185	10	0
cpd00304	Retinal	C20H28O	0	17	-12.2380	12.2380	284.0000	2.7614	21	1	0	11	0.5238	0	5	5.7169	15	8
cpd00132	L-Asparagine	C4H8N2O3	0	10	-12.2270	12.2270	132.0000		9	0	0	4	0.5000	1	3	-3.7778	8	0
cpd03529	N4-Acetylaminobutanal	C6H11NO2	0	8	12.1220	12.1220	129.0000	0.5000	9	0	0	2	0.2500	0	4	0.1016	7	0
cpd01420	beta-Carotene	C40H56	0	10	-12.0800	12.0800	536.0000	5.3550	40	2	0	21	0.5122	0	10	12.6058	23	18
cpd00695	2-Oxoglutaramate	C5H6NO4	-1	12	-12.0370	12.0370	144.0000		10	0	0	6	0.6667	0	4	-2.4291	7	0
cpd00489	4-Hydroxyphenylacetate	C8H7O3	-1	11	-12.0310	12.0310	151.0000	0.6497	11	1	6	9	0.8182	0	2	-0.3154	8	0
cpd03332	p-Coumaraldehyde	C9H8O2	0	5	11.9620	11.9620	148.0000		11	1	6	11	1.0000	0	2	1.6043	8	0
cpd00307	Cytosine	C4H5N3O	0	7	-11.7250	11.7250	111.0000		8	1	6	8	1.0000	0	0	-0.6479	8	0
cpd03187	Oxalosuccinate	C6H3O7	-3	11	-11.7020	11.7020	187.0000	0.5602	13	0	0	8	0.6667	1	5	-5.1885	6	0
cpd00137	Citrate	C6H5O7	-3	19	-11.6980	11.6980	189.0000	0.2781	13	0	0	6	0.5000	0	5	-5.2526	6	0
cpd00186	D-Glutamate	C5H8NO4	-1	11	-11.6950	11.6950	146.0000	0.6032	10	0	0	4	0.4444	1	4	-4.1231	6	0
cpd00663	Acrylyl-CoA	C24H34N7O17P3S	-4	12	11.6750	11.6750	818.0000		52	3	9	18	0.3333	7	20	-3.6773	33	0
