family	n	r_gc_eq	rho_gc_eq	mad_gc_eq	n_gc_eq	null_r_gc_eq	excess_gc_eq	p_gc_eq	r_gc_dgp	rho_gc_dgp	mad_gc_dgp	n_gc_dgp	null_r_gc_dgp	excess_gc_dgp	p_gc_dgp	r_eq_dgp	rho_eq_dgp	mad_eq_dgp	n_eq_dgp	null_r_eq_dgp	excess_eq_dgp	p_eq_dgp	median_abs_dg_gc	iqr_dg_gc
group present: epoxide	147	0.8517	0.7901	26.9200	147	0.8962	-0.0445	0.2150	0.8177	0.7326	13.8800	147	0.8760	-0.0583	0.3450	0.6116	0.7518	10.1300	147	0.7880	-0.1764	0.0375	70.8700	91.5850
group changes: epoxide	141	0.8512	0.7945	26.9200	141	0.8826	-0.0313	0.3850	0.8133	0.7288	14.1300	141	0.8868	-0.0735	0.0925	0.6091	0.7544	10.1300	141	0.7698	-0.1607	0.0525	71.0600	91.7600
C/H/O only	1258	0.8493	0.7710	2.5850	1258	0.8363	0.0130	0.7100	0.8003	0.6304	5.4450	1258	0.8006	-0.0002	1.0000	0.6296	0.7220	3.8300	1258	0.7034	-0.0737	0.2550	6.2100	19.8375
group present: aldehyde	1033	0.9143	0.8357	1.3800	1033	0.8195	0.0948	0.0325	0.7926	0.7521	3.6100	1033	0.7217	0.0709	0.5800	0.7670	0.7750	2.4800	1033	0.6344	0.1327	0.1650	8.9500	15.2700
participants 5-6	3690	0.7158	0.7106	2.9600	3690	0.7797	-0.0639	0.0325	0.7839	0.5941	6.0050	3690	0.7180	0.0659	0.7025	0.6604	0.6075	3.3300	3690	0.6238	0.0366	0.4500	9.5300	16.3300
group present: quaternary_n	2246	0.8307	0.5944	2.8700	2246	0.8101	0.0206	0.5450	0.7813	0.5426	4.8950	2246	0.7294	0.0519	0.6875	0.7503	0.6259	3.3750	2246	0.6534	0.0969	0.1575	5.6800	14.0300
group present: amide	3863	0.8986	0.7946	2.4000	3863	0.8591	0.0395	0.0050	0.7738	0.6642	4.3900	3863	0.7963	-0.0225	0.9250	0.8164	0.6943	3.4500	3863	0.7236	0.0928	0.0150	6.3300	18.2900
cofactor: h2o	3154	0.8963	0.8085	3.2750	3154	0.8645	0.0317	0.0350	0.7714	0.7651	5.7350	3154	0.7902	-0.0188	0.9575	0.8046	0.7769	3.3500	3154	0.7210	0.0836	0.0200	9.6500	27.8700
cofactor: nh3	519	0.6708	0.6440	2.2600	519	0.7342	-0.0634	0.5350	0.7712	0.7206	3.0800	519	0.7173	0.0539	0.8200	0.6869	0.7813	1.8000	519	0.5822	0.1047	0.3600	7.6200	17.9400
group present: primary_amine	4508	0.8351	0.7305	2.8100	4508	0.8456	-0.0106	0.5125	0.7691	0.6233	5.6300	4508	0.7744	-0.0052	0.9950	0.7712	0.6624	3.2500	4508	0.7067	0.0644	0.0850	8.0650	16.1900
group present: sulfonate	169	0.3641	0.4322	10.5300	169	0.7919	-0.4278	0.0000	0.7686	0.5712	9.5700	169	0.8070	-0.0383	0.7725	-0.0351	-0.0177	52.6600	169	0.6851	-0.7203	0.0000	13.1500	15.8500
group present: aromatic_c	5791	0.8297	0.7242	3.1800	5791	0.8441	-0.0144	0.2850	0.7617	0.6252	6.3300	5791	0.7751	-0.0134	0.9525	0.7516	0.6778	3.5400	5791	0.6987	0.0528	0.1425	7.6800	17.6400
has aromatic ring	5791	0.8297	0.7242	3.1800	5791	0.8449	-0.0152	0.2850	0.7617	0.6252	6.3300	5791	0.7694	-0.0077	0.9625	0.7516	0.6778	3.5400	5791	0.7041	0.0475	0.1250	7.6800	17.6400
group present: ether	5820	0.8292	0.6855	2.9300	5820	0.8457	-0.0165	0.2500	0.7582	0.5842	6.1100	5820	0.7684	-0.0102	0.9500	0.7439	0.6631	3.0700	5820	0.7034	0.0405	0.3050	7.0600	15.1400
group present: hydroxyl	6996	0.8354	0.7043	2.8900	6996	0.8416	-0.0063	0.6475	0.7580	0.6062	5.7400	6996	0.7639	-0.0059	0.9425	0.7279	0.6835	3.0700	6996	0.6901	0.0379	0.2600	7.2200	15.4900
contains N	6353	0.8314	0.7021	2.7200	6353	0.8391	-0.0076	0.6025	0.7546	0.6117	5.3500	6353	0.7618	-0.0072	0.9725	0.7564	0.6715	3.0100	6353	0.6970	0.0595	0.0800	6.9000	15.1000
group changes: aromatic_n	2343	0.9430	0.8654	2.2800	2343	0.8950	0.0480	0.0000	0.7505	0.7233	4.4500	2343	0.8257	-0.0752	0.3450	0.8344	0.7484	3.8700	2343	0.7590	0.0754	0.0800	9.8000	80.5450
group changes: aromatic_c	2535	0.9359	0.8610	2.5800	2535	0.8850	0.0509	0.0000	0.7477	0.7392	5.0700	2535	0.8194	-0.0717	0.4100	0.8175	0.7498	4.3100	2535	0.7476	0.0699	0.0800	9.8000	84.4900
group present: aromatic_n	5103	0.8340	0.7157	2.8900	5103	0.8431	-0.0091	0.5550	0.7477	0.6025	5.8800	5103	0.7769	-0.0292	0.8925	0.7558	0.6628	3.1000	5103	0.7010	0.0548	0.1500	7.2200	15.9600
