rxn	name	kegg_ids_staged	kegg_ids_alias	kegg_max_reuse	vouched	participant_overlap	dg_dgpredictor	keep	reason
rxn13639	formate dehydrogenase (quinone-8) (periplasm)	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13640	Formate Dehydrogenase (menaquinone-8) (periplasm)	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13641	Glucose-6-phosphate transport via phosphate antiport (periplasm)	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13642	D-Glucosamine 6-phosphate transport via phosphate antiport (periplasm)	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13643	glycogen synthase (ADPGlc)	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13644	Mannose-6-phosphate transport via phosphate antiport (periplasm)	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13645	murein polymerizing transglycosylase	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13646	sodium proton antiporter (H:NA is 1.5) (periplasm)	R09245		861	0		-67.33	0	unvouched_and_unverifiable
rxn13647	nitrite Reductase (Ubiquinole-8, periplasm)	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13648	nitrite Reductase (Menaquinole-8, periplasm)	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13650	acyl-[acyl-carrier-protein] synthetase (n-C14:0)	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13651	acyl-[acyl-carrier-protein] synthetase (n-C15:0)	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13652	acyl-[acyl-carrier-protein] synthetase	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13653	acyl-[acyl-carrier-protein] synthetase (n-C17:0)	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13654	acyl-[acyl-carrier-protein] synthetase (n-C15:1)	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13655	acyl-[acyl-carrier-protein] synthetase (n-C17:1)	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13656	acyl-[acyl-carrier-protein] synthetase (n-C15:0)	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13657	acyl-[acyl-carrier-protein] synthetase (n-C17:0)	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13658	acyl-[acyl-carrier-protein] synthetase (n-C13:0)	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13659	acyl-CoA dehydrogenase (isovaleryl-CoA)	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13660	D-Alanine-Sodium symp or ter	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13661	S-adenosylmethione:2-demthylmenaquinone methyltransferase (menaquinone 7)	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13662	S-adenosylmethione:menaquinone methyltransferase (methylmenaquinone 7)	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13664	L-aspartate oxidase	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13666	b-ketoacyl synthetase (Iso-C13:0)	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13667	b-ketoacyl synthetase (Iso-C14:0)	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13668	b-ketoacyl synthetase (Iso-C15:0)	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13669	b-ketoacyl synthetase (C15:0)	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13670	Fatty acid biosynthesis (n-C15:1)	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13671	b-ketoacyl synthetase (Iso-C16:0)	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13672	b-ketoacyl synthetase (Iso-C17:0)	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13673	b-ketoacyl synthetase (C17:0)	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13674	b-ketoacyl synthetase (C17:1)	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13675	Fatty acid biosynthesis (n-C5:0)	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13676	b-ketoacyl synthetase (Iso-C6:0)	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13677	b-ketoacyl synthetase (Iso-C7:0)	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13678	Co(III) Reductase: S. oneidensis	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13679	Co(III) Reductase: S. oneidensis	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13680	CMP-8-amino-3,8-dideoxy-D-manno-oct-2-ulosonic acid synthase	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13681	TRANS-RXNBWI-115525.ce.maizeexp.CO+2_CO+2	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13682	Oxygen Independent coprop or phyrinogen-III oxidase	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13683	Chromium (VI) Reductase	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13684	Chromium (VI) Reductase	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13685	Chromium (VI) Reductase	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13686	chromate transp or t in/out via proton symp or t	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13687	cytochrome-c peroxidase	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13688	cytochrome-c oxidase (2 protons translocated)	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13689	cytochrome-c reductase (ubiquinol8: 4 protons translocated)	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13690	dihydro or otate dehydrogenase	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13691	dihydro or otate dehydrogenase	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13692	Dimethyl sulfoxide reductase (Menaquinol 7)	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13693	Dimethyl sulfoxide reductase (methylmenaquinol 7)	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13694	DNA replication, Shewanella Oneidensis	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13695	Endotoxin Synthesis (lauroyl transferase)	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13696	Endotoxin Synthesis (myristoyl transferase)	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13697	Fatty acid oxidation (tetradecanoate:ubiquinone)	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13698	Fatty acid oxidation (hexadecanoate:ubiquinone)	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13699	Fatty acid oxidation (octadecanoate:ubiquinone)	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13700	F or mate Dehydrogenase (methylmenaquinone-7: 1 protons)	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13701	F or mate Dehydrogenase (menaquinone-7: 1 protons)	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13702	Fe (III) Reductase (menaquinone 7: 2H per 2 e-)	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13703	Fe (III) Reductase (methylmenaquinone 7: 2H per 2 e-)	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13705	ferredoxin-NADP reductase	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13706	succinate dehydrogenase (menaquinol 7:0 proton)	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13707	succinate dehydrogenase (methylmenaquinol 7: 0proton)	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13708	F or mamide efflux	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13709	glycerol-3-phosphate dehydrogenase (methylmenaquinone 7)	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13710	1,4-alpha-glucan branching enzyme	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13711	D-glycerate transp or t (proton symp or t)	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13712	Glutathione export via ABC system	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13713	4-hydroxybutyrate CoA transferase	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13714	4a-hydroxytetrahydrobiopterin dehydratase	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13715	Hydrogenase (menaquinone-7)	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13716	Hydrogenase (methylmenaquinone-7)	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13717	D-lactate dehydrogenase	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13718	D-lactate dehydrogenase	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13719	L-Lactate dehydrogenase (menaquinone-7)	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13720	L-Lactate dehydrogenase (methylmenaquinone-7)	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13721	LPS synthesis	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13722	TRANS-RXNBWI-115525.ce.maizeexp.MG+2_MG+2	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13723	Manganese oxide reductase	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13724	Manganese oxide reductase	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13725	8-amino 3,8-dideoxy-D-manno-octulosonic acid transferase	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13726	NADH-DEHYDROG-A-RXN.ce.cornexp.CPD-9956_UBIQUINONE-8	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13727	NADH dehydrogenase (menaquinone-7 & 4 protons)	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13728	NADH dehydrogenase (methylmenaquinone7 & no proton)	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13729	NADH dehydrogenase (methylmenaquinone-7 & 4 protons)	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13730	nickel transp or t in/out via proton antip or ter	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13731	nicotinate-nucleotide-dimethylbenzimidazole phosph or ibosyltransferase	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13732	nitrate reductase	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13733	nitrate reductase (methylmenaquinone-7)	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13734	Nitrite Reductase	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13735	Nitrite Reductase	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13736	Phosphatidic acid synthase (S. oneidensis)	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13737	Peptidoglyan subunit crosslinking reaction	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13738	Phospholipase PE (S. oneidensis)	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13739	Phospholipase PG (S. oneidensis)	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13740	Peptidoglycan subunit synthesis	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13741	proline oxidase	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13742	Protein Synthesis, S. oneidensis	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13743	RNA replication, Shewanella oneidensis	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13745	Sulfite Reductase (menaquinone)	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13746	Sulfite Reductase (methylmenaquinone)	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13747	L-threonine transp or t out via proton antip or t	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13748	Trimethylamine N-oxide reductase (ubiquinol 8)	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13749	Thiosulfate Reductase	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13750	Thiosulfate Reductase	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13751	Tetrathionate Reductase	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13752	Tetrathionate Reductase	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13753	NADH-Ubiquinone Oxid or eductase (Na+ translocating)	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13754	Uranyl Reductase	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13755	Uranyl Reductase	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13756	tungstate transp or ter	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13758	L-ascorbate transport via PEP:Pyr PTS	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13759	Arsenite transp or ter	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13760	L-aspartate oxidase	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13761	L-aspartate oxidase	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13765	Isoprene diffusion	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13766	ATP synthase (three protons for one ATP)	R09245		861	0		-67.33	0	unvouched_and_unverifiable
rxn13767	F420-Reducing Hydrogenase	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13768	Ech Hydrogenase	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13770	rxn13770	R09245		861	0	0.000	-67.33	0	unvouched_and_no_shared_participant
rxn13771	rxn13771	R10517	R10517	27	1		-110.95	1	kegg_id_is_modelseed_alias
rxn13772	5-diphosphomevalonate carboxylyase	R10517		27	0	0.000	-110.95	0	unvouched_and_no_shared_participant
rxn13773	Isopentenyl phosphate isomerase	R10517		27	0	0.000	-110.95	0	unvouched_and_no_shared_participant
rxn13774	Isoprene synthase	R10517		27	0	0.000	-110.95	0	unvouched_and_no_shared_participant
rxn13775	Formate oxidoreductase	R10517		27	0	0.000	-110.95	0	unvouched_and_no_shared_participant
rxn13778	S-Adenosyl-L-homocysteine transporter	R10517		27	0	0.000	-110.95	0	unvouched_and_no_shared_participant
rxn13779	3,4-Dihydroxy-2-butanone 4-phosphate transporter	R10517		27	0	0.000	-110.95	0	unvouched_and_no_shared_participant
rxn13781	Dephospho-CoA transporter	R10517		27	0	0.000	-110.95	0	unvouched_and_no_shared_participant
rxn13782	Protein biosynthesis	R10517		27	0	0.000	-110.95	0	unvouched_and_no_shared_participant
rxn13783	DNA replication	R10517		27	0	0.000	-110.95	0	unvouched_and_no_shared_participant
rxn13784	RNA transcription	R10517		27	0	0.000	-110.95	0	unvouched_and_no_shared_participant
rxn13785	1,2-diacyl-sn-glycerol 3-phosphate synthesis	R10517		27	0	0.000	-110.95	0	unvouched_and_no_shared_participant
rxn13786	1,3-diaminopropane oxidase	R10517		27	0	0.000	-110.95	0	unvouched_and_no_shared_participant
rxn13787	1-hydroxyphenazine synthase	R10517		27	0	0.000	-110.95	0	unvouched_and_no_shared_participant
rxn13788	1-pyrroline dehydrogenase	R10517		27	0	0.000	-110.95	0	unvouched_and_no_shared_participant
rxn13789	delta-aminovalerate aminotransferase	R10517		27	0	0.000	-110.95	0	unvouched_and_no_shared_participant
rxn13790	2-dehydro-D-gluconate reductase extracellular (NADPH) (irreversible)	R10517		27	0	0.000	-110.95	0	unvouched_and_no_shared_participant
rxn13791	2-dehydro-D-gluconate transport (irreversible)	R10517		27	0	0.000	-110.95	0	unvouched_and_no_shared_participant
rxn13792	S-2-hydroxylauroyl-ACP synthase	R10517		27	0	0.000	-110.95	0	unvouched_and_no_shared_participant
rxn13793	S-2-hydroxymyristoyl-ACP synthase	R10517		27	0	0.000	-110.95	0	unvouched_and_no_shared_participant
rxn13794	4-Aminobutyrate transport via ABC system	R10517		27	0	0.000	-110.95	0	unvouched_and_no_shared_participant
rxn13795	3-aminopropanaldehyde dehydrogenase	R10517		27	0	0.000	-110.95	0	unvouched_and_no_shared_participant
rxn13796	unknown enzyme	R10517		27	0	0.000	-110.95	0	unvouched_and_no_shared_participant
rxn13797	Acyl-homoserine-lactone acylase	R10517		27	0	0.000	-110.95	0	unvouched_and_no_shared_participant
rxn13798	probable phenazine-specific methyltransferase	R10517		27	0	0.000	-110.95	0	unvouched_and_no_shared_participant
rxn13799	5mta transport irreversible, extracellular	R10517		27	0	0.000	-110.95	0	unvouched_and_no_shared_participant
rxn13800	Aerobactin transport via ABC system	R10517		27	0	0.000	-110.95	0	unvouched_and_no_shared_participant
rxn13801	(2S)-2-amino-4-deoxychorismate:L-glutamate aminotransferase	R08956	R08956	1	1	0.750	3.97	1	kegg_id_is_modelseed_alias
rxn13802	D-alanine-D-alanine ligase (reversible)	R01150	R01150	10	1	0.500	-1.45	1	kegg_id_is_modelseed_alias
rxn13803	Glutamine transaminase	R01150		10	0	0.000	-1.45	0	unvouched_and_no_shared_participant
rxn13804	alcohol dehydrogenase (ethanol, ubq8)	R01150		10	0	0.000	-1.45	0	unvouched_and_no_shared_participant
rxn13805	Poly(beta-d-mannuronate) lyase precursor	R01150		10	0	0.000	-1.45	0	unvouched_and_no_shared_participant
rxn13806	alginate o-acetyltransferase	R01150		10	0	0.000	-1.45	0	unvouched_and_no_shared_participant
rxn13807	alginate-c5-mannuronan-epimerase	R01150		10	0	0.000	-1.45	0	unvouched_and_no_shared_participant
rxn13808	ammonium-hydroxide:NADP+ oxidoreductase	R00787	R00787	54	1	0.500	96.12	1	kegg_id_is_modelseed_alias
rxn13809	Arginine:Agmatine antiporter	R00787		54	0	0.000	96.12	0	unvouched_and_no_shared_participant
rxn13810	arsenate reductase	R00787		54	0	0.000	96.12	0	unvouched_and_no_shared_participant
rxn13811	ascorbate transport	R00787		54	0	0.000	96.12	0	unvouched_and_no_shared_participant
rxn13812	L-aspartate oxidase	R00787		54	0	0.000	96.12	0	unvouched_and_no_shared_participant
rxn13813	Acyl-homoserine-lactone acylase	R00787		54	0	0.000	96.12	0	unvouched_and_no_shared_participant
rxn13814	TRANS-RXNAVI-26352.ce.brachyexp.CD+2_CD+2	R00787		54	0	0.000	96.12	0	unvouched_and_no_shared_participant
rxn13815	CDPdiacylglycerol:sn-glycerol-3-phosphate 3-phosphatidyltransferase reversible	R00787		54	0	0.000	96.12	0	unvouched_and_no_shared_participant
rxn13816	CDPdiacylglycerol-serine O-phosphatidyltransferase reversible	R00787		54	0	0.000	96.12	0	unvouched_and_no_shared_participant
rxn13817	cardiolipin synthetase	R00787		54	0	0.000	96.12	0	unvouched_and_no_shared_participant
rxn13818	cardiolipin synthase reversible	R00787		54	0	0.000	96.12	0	unvouched_and_no_shared_participant
rxn13819	carboxyphosphonoenolpyruvate phosphonomutase	R00787		54	0	0.333	96.12	0	unvouched
rxn13820	cytochrome-c reductase (ubiquinone)	R00787		54	0	0.000	96.12	0	unvouched_and_no_shared_participant
rxn13821	cytochrome oxidase bo3 (ubiquinol-8: 2.5 protons)	R00787		54	0	0.000	96.12	0	unvouched_and_no_shared_participant
rxn13822	deoxyadenosine transport	R00787		54	0	0.000	96.12	0	unvouched_and_no_shared_participant
rxn13823	RXN-9030.c	R00787		54	0	0.000	96.12	0	unvouched_and_no_shared_participant
rxn13824	dihydoorotic acid dehydrogenase (quinone8)	R00787		54	0	0.000	96.12	0	unvouched_and_no_shared_participant
rxn13825	Diamine oxidase	R00787		54	0	0.000	96.12	0	unvouched_and_no_shared_participant
rxn13826	dimethylallyltranstransferase	R00787		54	0	0.000	96.12	0	unvouched_and_no_shared_participant
rxn13827	enterochelin synthase	R00787		54	0	0.000	96.12	0	unvouched_and_no_shared_participant
rxn13828	fatty-acid--CoA ligase (n-C14:0) transport	R00787		54	0	0.000	96.12	0	unvouched_and_no_shared_participant
rxn13829	fatty-acid--CoA ligase (hexadecanoate) transport	R00787		54	0	0.000	96.12	0	unvouched_and_no_shared_participant
rxn13830	formate dehydrogenase (quinone-8: 2 protons)	R00787		54	0	0.000	96.12	0	unvouched_and_no_shared_participant
rxn13831	iron (II) transport via ABC system	R00787		54	0	0.000	96.12	0	unvouched_and_no_shared_participant
rxn13832	N-formyl-L-methionine transport via ABC system	R00787		54	0	0.000	96.12	0	unvouched_and_no_shared_participant
rxn13833	Fuc2NAc-PP-undecap synthesis	R00787		54	0	0.000	96.12	0	unvouched_and_no_shared_participant
rxn13834	glucose 1-dehydrogenase (NADP) extracellular	R00787		54	0	0.000	96.12	0	unvouched_and_no_shared_participant
rxn13835	glycerol-3-phosphate dehydrogenase (ubiquinone-8)	R00787		54	0	0.000	96.12	0	unvouched_and_no_shared_participant
rxn13836	Gluconolactonase	R00787		54	0	0.000	96.12	0	unvouched_and_no_shared_participant
rxn13837	glutarate transport via h+ symport	R00787		54	0	0.000	96.12	0	unvouched_and_no_shared_participant
rxn13838	Hexadecanoyl-[acyl-carrier protein]:malonyl-CoA  C-acyltransferase	R00787		54	0	0.000	96.12	0	unvouched_and_no_shared_participant
rxn13839	hydrogenobyrinic acid a,c-diamide cobaltochelatase	R00787		54	0	0.000	96.12	0	unvouched_and_no_shared_participant
rxn13840	(3R)-3-Hydroxypalmitoyl-[acyl-carrier-protein] hydro-lyase	R00787		54	0	0.000	96.12	0	unvouched_and_no_shared_participant
rxn13841	HHQ synthesis	R00787		54	0	0.000	96.12	0	unvouched_and_no_shared_participant
rxn13842	H+/K+-exchanging ATPase	R00787		54	0	0.000	96.12	0	unvouched_and_no_shared_participant
rxn13843	(3R)-3-Hydroxyoctadecanoyl-[acyl-carrier-protein] hydro-lyase	R00787		54	0	0.000	96.12	0	unvouched_and_no_shared_participant
rxn13844	(3R)-3-Hydroxyoctadecanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase	R00787		54	0	0.000	96.12	0	unvouched_and_no_shared_participant
rxn13845	homoserine lactonase	R00787		54	0	0.000	96.12	0	unvouched_and_no_shared_participant
rxn13846	(3R)-3-Hydroxypalmitoyl-[acyl-carrier-protein] hydro-lyase	R00787		54	0	0.000	96.12	0	unvouched_and_no_shared_participant
rxn13847	Threonine dehydrogenase	R00787		54	0	0.250	96.12	0	unvouched
rxn13848	L-Lactate dehydrogenase (ubiquinone)	R00787		54	0	0.000	96.12	0	unvouched_and_no_shared_participant
rxn13849	D-mannose transport via ABC system	R00787		54	0	0.000	96.12	0	unvouched_and_no_shared_participant
rxn13850	Myristoyl-[acyl-carrier protein] synthase	R00787		54	0	0.000	96.12	0	unvouched_and_no_shared_participant
rxn13851	Hexadecanoyl-[acyl-carrier-protein]:malonyl-[acyl-carrier-protein]  C-acyltransferase	R00787		54	0	0.000	96.12	0	unvouched_and_no_shared_participant
rxn13852	Malate dehydrogenase (ubiquinone 8 as acceptor)	R00787		54	0	0.000	96.12	0	unvouched_and_no_shared_participant
rxn13853	TRANS-RXNAVI-26732.ce.brachyexp.MANNITOL_MANNITOL	R00787		54	0	0.000	96.12	0	unvouched_and_no_shared_participant
rxn13854	muconate transport in via proton symport	R00787		54	0	0.000	96.12	0	unvouched_and_no_shared_participant
rxn13855	Acyl-homoserine-lactone synthase	R00787		54	0	0.000	96.12	0	unvouched_and_no_shared_participant
rxn13856	NADH dehydrogenase (ubiquinone-8 & 2 protons)	R00787		54	0	0.000	96.12	0	unvouched_and_no_shared_participant
rxn13857	NADH dehydrogenase (ubiquinone-8 )	R00787		54	0	0.000	96.12	0	unvouched_and_no_shared_participant
rxn13858	NADPH quinone oxidoreductase	R00787		54	0	0.000	96.12	0	unvouched_and_no_shared_participant
rxn13859	NAPRTase	R00787		54	0	0.000	96.12	0	unvouched_and_no_shared_participant
rxn13914	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine synthetase	R04617	R04617	18	1	0.000	-12.94	1	kegg_id_is_modelseed_alias
rxn13915	2-keto-4-methylthiobutyrate transamination	R04617		18	0	0.000	-12.94	0	unvouched_and_no_shared_participant
rxn13916	2-keto-4-methylthiobutyrate transamination	R04617		18	0	0.000	-12.94	0	unvouched_and_no_shared_participant
rxn13917	2-keto-4-methylthiobutyrate transamination	R04617		18	0	0.000	-12.94	0	unvouched_and_no_shared_participant
rxn13918	RXN0-5205.ce	R04617		18	0	0.000	-12.94	0	unvouched_and_no_shared_participant
rxn13919	TRANS-RXNBWI-115525.ce.maizeexp.ZN+2_ZN+2	R04617		18	0	0.000	-12.94	0	unvouched_and_no_shared_participant
rxn13920	Alginate production outer membrane protein	R04617		18	0	0.000	-12.94	0	unvouched_and_no_shared_participant
rxn13921	delta-aminovalerate synthesis	R04617		18	0	0.000	-12.94	0	unvouched_and_no_shared_participant
rxn13922	Man(2NAc3NAc)A-(beta1,3)-Fuc2NAc-PP-undecap synthesis	R04617		18	0	0.000	-12.94	0	unvouched_and_no_shared_participant
rxn13923	Man(2NAc3N)(3,-CH3C=NH)A-(beta1,4)-Man(2NAc3NAc)A-(beta1,3)-Fuc2NAc-PP-undecap synthesis	R04617		18	0	0.000	-12.94	0	unvouched_and_no_shared_participant
rxn13924	PQS release	R04617		18	0	0.000	-12.94	0	unvouched_and_no_shared_participant
rxn13925	probable FAD-dependent monooxygenase	R04617		18	0	0.000	-12.94	0	unvouched_and_no_shared_participant
rxn13926	UDP-N-acetyl-mannosamine (2NAc3N) acid (CH3C=NH) addase	R04617		18	0	0.000	-12.94	0	unvouched_and_no_shared_participant
rxn13927	NADH dehydrogenase (ubiquinone-8 & 3.5 protons)	R04617		18	0	0.000	-12.94	0	unvouched_and_no_shared_participant
rxn13928	NADH dehydrogenase (ubiquinone-8 & 3.5 protons)	R04617		18	0	0.000	-12.94	0	unvouched_and_no_shared_participant
rxn13929	Cardiolipin Synthase (E.coli)	R04617		18	0	0.000	-12.94	0	unvouched_and_no_shared_participant
rxn13930	FMN reductase	R05706	R05706	3	1	0.500	4.96	1	kegg_id_is_modelseed_alias
rxn13931	D-glycero-D-manno-heptose 7-phosphate kinase	R05646	R05646	3	1	0.000	-3.92	1	kegg_id_is_modelseed_alias
rxn13932	Heme O synthase	R07411	R07411	51	1	0.333	-14.8	1	kegg_id_is_modelseed_alias
rxn13933	mannitol-1-phosphate 5-dehydrogenase	R00758	R00758	9	1	0.000	2.75	1	kegg_id_is_modelseed_alias
rxn13934	mannitol transport via PEP:Pyr PTS	R00758		9	0	0.250	2.75	0	unvouched
