rxn	name	kegg_ids_staged	kegg_ids_alias	kegg_max_reuse	vouched	participant_overlap	dg_dgpredictor	keep	reason
rxn15707	7-methylxanthosine ribohydrolase	R07918	R07918	2	1	0.667	35.91	1	kegg_id_is_modelseed_alias
rxn15710	R07981	R07981	R07981	1	1		-74.27	1	kegg_id_is_modelseed_alias
rxn15711	R07982	R07982	R07982	1	1		-5.05	1	kegg_id_is_modelseed_alias
rxn15717	R08072	R08072	R08072	3	1		-7.31	1	kegg_id_is_modelseed_alias
rxn15718	R08073	R08073	R08073	3	1		-7.31	1	kegg_id_is_modelseed_alias
rxn15719	R08074	R08074	R08074	2	1		-8.8	1	kegg_id_is_modelseed_alias
rxn15720	R08080	R08080	R08080	2	1		-7.31	1	kegg_id_is_modelseed_alias
rxn15721	R08125	R08125	R08125	5	1		6.6	1	kegg_id_is_modelseed_alias
rxn15722	R08125	R08125	R08125	5	1		6.6	1	kegg_id_is_modelseed_alias
rxn15723	R08125	R08125	R08125	5	1		6.6	1	kegg_id_is_modelseed_alias
rxn15724	R08125	R08125	R08125	5	1		6.6	1	kegg_id_is_modelseed_alias
rxn15725	beta-D-glucuronoside glucuronosohydrolase	R08127	R08127	2	1	0.000	11.18	1	kegg_id_is_modelseed_alias
rxn15726	R08198	R08198	R08198	4	1		6.74	1	kegg_id_is_modelseed_alias
rxn15727	SN38 glucuronide glucuronosohydrolase	R08260	R08260	2	1	0.333	9.78	1	kegg_id_is_modelseed_alias
rxn15736	R08430	R08430	R08430	1	1		12.88	1	kegg_id_is_modelseed_alias
rxn15738	R08451	R08451	R08451	1	1		-2.53	1	kegg_id_is_modelseed_alias
rxn15740	phosphoramidate:hexose 1-phosphotransferase	R08514	R08514	3	1	0.333	-122.12	1	kegg_id_is_modelseed_alias
rxn15741	phosphoramidate:hexose 1-phosphotransferase	R08514	R08514	3	1	0.333	-122.12	1	kegg_id_is_modelseed_alias
rxn15742	D-Galactose:NAD+ 1-oxidoreductase	R08544	R08544	3	1	0.500	-0.2	1	kegg_id_is_modelseed_alias
rxn15743	D-Galactose:NAD+ 1-oxidoreductase	R08544	R08544	3	1	0.500	-0.2	1	kegg_id_is_modelseed_alias
rxn15744	S-Adenosyl-L-methionine:L-tryptophan 2-C-methyltransferase	R08547	R08547	1	1	0.750	-13.67	1	kegg_id_is_modelseed_alias
rxn15745	N-acetylmuramate 6-phosphate hydro-lyase (N-acetyl-D-glucosamine 6-phosphate forming)	R08555	R08555	42	1	0.333	-6.72	1	kegg_id_is_modelseed_alias
rxn15747	R08564	R08564	R08564	1	1		-15.74	1	kegg_id_is_modelseed_alias
rxn15748	R08568	R08568	R08568	1	1	0.750	-11.33	1	kegg_id_is_modelseed_alias
rxn15749	R08569	R08569	R08569	17	1	0.500	3.97	1	kegg_id_is_modelseed_alias
rxn15750	R08570	R08570	R08570	4	1	0.667	4.38	1	kegg_id_is_modelseed_alias
rxn15751	sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glyceronetransferase	R01827;R08575	R01827;R08575	10	1	0.000	3.24	1	kegg_id_is_modelseed_alias
rxn15754	R08588	R08588	R08588	2	1	0.500	-12.68	1	kegg_id_is_modelseed_alias
rxn15756	R08591	R08591	R08591	1	1		0.39	1	kegg_id_is_modelseed_alias
rxn15758	R08598	R08598	R08598	1	1		11.39	1	kegg_id_is_modelseed_alias
rxn15759	N-Acetyl-4-O-acetylneuraminate 4-O-acetylhydrolase	R08600	R08600	4	1	0.667	-14.33	1	kegg_id_is_modelseed_alias
rxn15760	N-Acetyl-4-O-acetylneuraminate 4-O-acetylhydrolase	R08600	R08600	4	1	0.667	-14.33	1	kegg_id_is_modelseed_alias
rxn15761	N-Acetyl-9-O-acetylneuraminate 9-O-acetylhydrolase	R08601	R08601	5	1	0.667	-13.72	1	kegg_id_is_modelseed_alias
rxn15762	N-Acetyl-9-O-acetylneuraminate 9-O-acetylhydrolase	R08601	R08601	5	1	0.667	-13.72	1	kegg_id_is_modelseed_alias
rxn15764	R08608	R08608	R08608	1	1		-55.0	1	kegg_id_is_modelseed_alias
rxn15770	UDP-glucuronate glucuronohydrolase	R08615	R08615	2	1	0.333	-4.33	1	kegg_id_is_modelseed_alias
rxn15771	D-glucose-6-phosphate phosphate-lyase (2-deoxy-scyllo-inosose-forming)	R08617	R08617	6	1	0.000	-27.27	1	kegg_id_is_modelseed_alias
rxn15772	D-glucose-6-phosphate phosphate-lyase (2-deoxy-scyllo-inosose-forming)	R08617	R08617	6	1	0.000	-27.27	1	kegg_id_is_modelseed_alias
rxn15773	alpha-D-glucose 1,6-phosphomutase	R00959;R08639	R00959;R08639	17	1	0.000	0.89	1	kegg_id_is_modelseed_alias
rxn15774	R08650	R08650	R08650	1	1		-49.45	1	kegg_id_is_modelseed_alias
rxn15775	D-fructose:NADP+ 5-oxidoreductase	R00871;R01201;R01207;R01408;R01410;R01811;R07779;R08651	R00871;R01201;R01206;R01207;R01408;R01410;R01811;R01966;R07779;R08511;R08651	35	1	1.000	-12.01	1	kegg_id_is_modelseed_alias
rxn15776	R08677	R08677	R08677	6	1		4.1	1	kegg_id_is_modelseed_alias
rxn15777	R08758	R08758	R08758	1	1		-10.98	1	kegg_id_is_modelseed_alias
rxn15778	R08759	R08759	R08759	1	1		-10.98	1	kegg_id_is_modelseed_alias
rxn15779	3-(4-hydroxyphenyl)lactate hydro-lyase (4-coumarate-forming)	R08766	R08766	76	1	0.500	-2.25	1	kegg_id_is_modelseed_alias
rxn15780	R08767	R08767	R08767	1	1		12.38	1	kegg_id_is_modelseed_alias
rxn15786	R08783	R08783	R08783	1	1		-32.49	1	kegg_id_is_modelseed_alias
rxn15787	R08784	R08784	R08784	2	1	1.000	-93.88	1	kegg_id_is_modelseed_alias
rxn15789	S-adenosyl-L-methionine:(S)-reticuline methyltransferase 7-O-methyltransferase	R08787	R08787	2	1	0.250	-23.08	1	kegg_id_is_modelseed_alias
rxn15790	S-adenosyl-L-methionine:(R)-reticuline methyltransferase 7-O-methyltransferase	R08788;R10606	R08788;R10606	2	1	0.750	-23.08	1	kegg_id_is_modelseed_alias
rxn15791	R08794	R08794	R08794	1	1		0.99	1	kegg_id_is_modelseed_alias
rxn15792	R08796	R08796	R08796	1	1		-8.49	1	kegg_id_is_modelseed_alias
rxn15793	R08797	R08797	R08797	1	1		-8.51	1	kegg_id_is_modelseed_alias
rxn15794	R08798	R08798	R08798	1	1		8.22	1	kegg_id_is_modelseed_alias
rxn15795	R08799	R08799	R08799	1	1		10.13	1	kegg_id_is_modelseed_alias
rxn15796	R08800	R08800	R08800	1	1		10.29	1	kegg_id_is_modelseed_alias
rxn15801	R08818	R08818	R08818	1	1		-24.29	1	kegg_id_is_modelseed_alias
rxn15802	1-O-feruloyl-beta-D-glucose:amaranthin feruloyltransferase	R08819	R08819	3	1	0.750	-10.39	1	kegg_id_is_modelseed_alias
rxn15803	1-O-feruloyl-beta-D-glucose:amaranthin feruloyltransferase	R08819	R08819	3	1	0.500	-10.39	1	kegg_id_is_modelseed_alias
rxn15804	R08820	R08820	R08820	1	1		-24.26	1	kegg_id_is_modelseed_alias
rxn15805	R08821	R08821	R08821	1	1		-24.32	1	kegg_id_is_modelseed_alias
rxn15806	1-O-feruloyl-beta-D-glucose:betanin feruloyltransferase	R08823	R08823	3	1	0.750	-12.4	1	kegg_id_is_modelseed_alias
rxn15807	1-O-feruloyl-beta-D-glucose:betanin feruloyltransferase	R08823	R08823	3	1	0.500	-12.4	1	kegg_id_is_modelseed_alias
rxn15808	R08825	R08825	R08825	1	1		-19.58	1	kegg_id_is_modelseed_alias
rxn15809	R08827	R08827	R08827	1	1		-19.61	1	kegg_id_is_modelseed_alias
rxn15810	R08829	R08829	R08829	1	1		8.83	1	kegg_id_is_modelseed_alias
rxn15811	R08831	R08831	R08831	1	1		-22.35	1	kegg_id_is_modelseed_alias
rxn15812	R08833	R08833	R08833	1	1		14.45	1	kegg_id_is_modelseed_alias
rxn15813	R08834	R08834	R08834	1	1		-18.39	1	kegg_id_is_modelseed_alias
rxn15814	R08835	R08835	R08835	1	1		-27.84	1	kegg_id_is_modelseed_alias
rxn15815	R08837	R08837	R08837	1	1		-5.7	1	kegg_id_is_modelseed_alias
rxn15816	R08842	R08842	R08842	1	1		-0.77	1	kegg_id_is_modelseed_alias
rxn15817	R08843	R08843	R08843	1	1		-10.73	1	kegg_id_is_modelseed_alias
rxn15819	R08848	R08848	R08848	1	1		13.4	1	kegg_id_is_modelseed_alias
rxn15821	(+)-epi-isozizaene,NADPH:oxygen oxidoreductase (5S-hydroxylating)	R08851	R08851	1	1	1.000	-94.06	1	kegg_id_is_modelseed_alias
rxn15822	(5S)-albaflavenol,NADPH:oxygen 5-oxidoreductase	R08852	R08852	1	1	1.000	-104.53	1	kegg_id_is_modelseed_alias
rxn15823	(+)-epi-isozizaene,NADPH:oxygen oxidoreductase (5R-hydroxylating)	R08853	R08853	1	1	1.000	-94.89	1	kegg_id_is_modelseed_alias
rxn15824	(5R)-albaflavenol,NADPH:oxygen 5-oxidoreductase	R08854	R08854	1	1	1.000	-103.7	1	kegg_id_is_modelseed_alias
rxn15826	R08861	R08861	R08861	1	1		-3.47	1	kegg_id_is_modelseed_alias
rxn15827	(S)-2-hydroxypropylphosphonate,NADH:oxygen epoxidase	R08863	R08863	2	1	1.000	-50.99	1	kegg_id_is_modelseed_alias
rxn15828	R08864	R08864	R08864	13	1	1.000	-73.4	1	kegg_id_is_modelseed_alias
rxn15829	R08865	R08865	R08865	1	1		5.98	1	kegg_id_is_modelseed_alias
rxn15831	N-acetylphosphinothricin amidohydrolase	R08874	R08874	2	1	0.333	-0.28	1	kegg_id_is_modelseed_alias
rxn15833	2-dehydro-L-idonate:NADP+ 5-oxidoreductase	R08878	R08878	4	1	0.000	7.58	1	kegg_id_is_modelseed_alias
rxn15834	L-idonate:NADP+ 2-oxidoreductase	R08880	R08880	23	1	0.500	2.42	1	kegg_id_is_modelseed_alias
