rxn	name	ec	status	equation	definition	dg_gc	dg_eq	dg_dgp	max_abs_pairdiff	dg_range3	n_participants	sum_abs_coeff	max_mass	max_carbon	elements	cofactors	n_kegg_with_dg	kegg_spread_kcal	all_have_smiles	n_generic_formula	total_rings	total_arom_rings	n_groups_changed	is_transport
rxn16156	R09307		OK	(1) cpd19619[0] <= (1) cpd19621[0]	(1) (S)-Chiral alcohol[0] <= (1) (S)-Hemiketal[0]	11.840	-73.120	9.840	84.960	84.960	2	2.000	304.000	16	C;H;O		1	0.000	1	0	5	2	2	0
rxn01916	Glycerol 1,2-cyclic phosphate 2-glycerophosphohydrolase	3.1.4.42	OK	(1) cpd00001[0] + (1) cpd02451[0] => (1) cpd00067[0] + (1) cpd00080[0]	(1) H2O[0] + (1) Glycerol 1,2-cyclic phosphate[0] => (1) H+[0] + (1) Glycerol-3-phosphate[0]	-23.060	-94.880	-10.480	84.400	84.400	4	4.000	171.000	3	C;H;O;P	h;h2o	1	0.000	1	0	1	0	1	0
rxn16536	4,4'-diapophytoene:FAD oxidoreductase	1.3.8.2	OK	(4) cpd00015[0] + (1) cpd14865[0] <= (4) cpd00982[0] + (1) cpd21041[0]	(4) FAD[0] + (1) Dehydrosqualene[0] <= (4) FADH2[0] + (1) 4,4'-Diapolycopene[0]	-41.560	42.650	25.160	84.210	84.210	4	10.000	785.000	30	C;H;N;O;P	fad;fadh2	1	0.000	1	0	12	8	5	0
rxn04393	flavonoid,NADPH:oxygen oxidoreductase (3'-hydroxylating)	1.14.13.21	CI:-1	(1) cpd00005[0] + (1) cpd00007[0] + (2) cpd00067[0] + (1) cpd01071[0] => (1) cpd00001[0] + (1) cpd00006[0] + (1) cpd00313[0]	(1) NADPH[0] + (1) O2[0] + (2) H+[0] + (1) Luteolin[0] => (1) H2O[0] + (1) NADP[0] + (1) Quercetin[0]	-85.080	-161.540	-77.430	84.110	84.110	7	8.000	742.000	21	C;H;N;O;P	h;h2o;nadp;nadph;o2	1	0.000	1	0	16	11	4	0
rxn19830	GLUTAMIDOTRANS-RXN.d	2.4.2.-;4.1.3.-;4.3.2.10	OK	(1) cpd00053[0] + (1) cpd02991[0] => (1) cpd00023[0] + (1) cpd00067[0] + (1) cpd02843[0] + (1) cpd02851[0]	(1) L-Glutamine[0] + (1) phosphoribulosylformimino-AICAR-phosphate[0] => (1) L-Glutamate[0] + (1) H+[0] + (1) D-erythro-imidazol-glycerol-phosphate[0] + (1) AICAR[0]	-25.530	58.350	-3.010	83.880	83.880	6	6.000	575.000	15	C;H;N;O;P	gln;glu;h	1	0.000	1	0	5	3	7	0
rxn03135	R04558	2.4.2.-;4.1.3.-;4.3.2.10	OK	(1) cpd00023[0] + (1) cpd00067[0] + (1) cpd02843[0] + (1) cpd02851[0] <= (1) cpd00053[0] + (1) cpd02991[0]	(1) L-Glutamate[0] + (1) H+[0] + (1) D-erythro-imidazol-glycerol-phosphate[0] + (1) AICAR[0] <= (1) L-Glutamine[0] + (1) phosphoribulosylformimino-AICAR-phosphate[0]	25.530	-58.350	-3.010	83.880	83.880	6	6.000	575.000	15	C;H;N;O;P	gln;glu;h	1	0.000	1	0	5	3	7	0
rxn16525	ent-copalyl-diphosphate diphosphate-lyase [ent-pimara-9(11),15-diene-forming]	4.2.3.31	OK	(1) cpd03629[0] => (1) cpd00012[0] + (1) cpd00067[0] + (1) cpd21053[0]	(1) Copalyl diphosphate[0] => (1) PPi[0] + (1) H+[0] + (1) ent-Pimara-9(11),15-diene[0]	-40.990	-106.930	-23.210	83.720	83.720	4	4.000	448.000	20	C;H;O;P	h;ppi	1	0.000	1	0	5	0	0	0
rxn15982	9alpha-Copalyl-diphosphate diphosphate-lyase (9beta-pimara-7,15-diene-forming)	4.2.3.35	OK	(1) cpd08700[0] => (1) cpd00012[0] + (1) cpd00067[0] + (1) cpd19493[0]	(1) syn-Copalyl diphosphate[0] => (1) PPi[0] + (1) H+[0] + (1) 9beta-Pimara-7,15-diene[0]	-40.990	-106.930	-24.010	82.920	82.920	4	4.000	448.000	20	C;H;O;P	h;ppi	1	0.000	1	0	5	0	0	0
rxn24024	9beta-pimara-7,15-diene synthase	4.2.3.35	OK	(1) cpd08700[0] => (1) cpd00012[0] + (1) cpd00067[0] + (1) cpd19493[0]	(1) syn-Copalyl diphosphate[0] => (1) PPi[0] + (1) H+[0] + (1) 9beta-Pimara-7,15-diene[0]	-40.990	-106.930	-24.010	82.920	82.920	4	4.000	448.000	20	C;H;O;P	h;ppi	1	0.000	1	0	5	0	0	0
rxn02609	R03672		CI:-1	(1) cpd00067[0] + (1) cpd00291[0] + (1) cpd01169[0] <=> (1) cpd00612[0] + (1) cpd03330[0]	(1) H+[0] + (1) L-Dopa[0] + (1) L-Dopachrome[0] <=> (1) Dopaquinone[0] + (1) Leucodopachrome[0]	-2.050	80.430	5.660	82.480	82.480	5	5.000	197.000	9	C;H;N;O	h	1	0.000	1	0	6	2	1	0
rxn15985	ent-Copalyl-diphosphate diphosphate-lyase [ent-pimara-8(14),15-diene-forming]	4.2.3.30	OK	(1) cpd03629[0] => (1) cpd00012[0] + (1) cpd00067[0] + (1) cpd19495[0]	(1) Copalyl diphosphate[0] => (1) PPi[0] + (1) H+[0] + (1) ent-Pimara-8(14),15-diene[0]	-40.990	-106.930	-24.460	82.470	82.470	4	4.000	448.000	20	C;H;O;P	h;ppi	1	0.000	1	0	5	0	0	0
rxn11961	Glycerol 1,2-cyclic phosphate 2-glycerophosphohydrolase	3.1.4.42	OK	(1) cpd00001[0] + (1) cpd02451[0] => (1) cpd00067[0] + (1) cpd16494[0]	(1) H2O[0] + (1) Glycerol 1,2-cyclic phosphate[0] => (1) H+[0] + (1) DL-Glyceryl 1-phosphate[0]	-23.060	-92.870	-10.480	82.390	82.390	4	4.000	171.000	3	C;H;O;P	h;h2o	1	0.000	1	0	1	0	1	0
rxn22126	copal-8-ol diphosphate hydratase	4.2.1.133	OK	(1) cpd23558[0] <= (1) cpd00001[0] + (1) cpd00289[0]	(1) (13E)-8alpha-hydroxylabda-13-en-15-yl diphosphate[0] <= (1) H2O[0] + (1) Geranylgeranyl diphosphate[0]	43.000	75.190	-7.110	82.300	82.300	3	3.000	468.000	20	C;H;O;P	h2o	1	0.000	1	0	2	0	2	0
rxn15976	Copalyl diphosphate-lyase (isopimara-7,15-diene-forming)	4.2.3.44	OK	(1) cpd19111[0] => (1) cpd00012[0] + (1) cpd00067[0] + (1) cpd19479[0]	(1) Copalyl diphosphate[0] => (1) PPi[0] + (1) H+[0] + (1) Isopimara-7,15-diene[0]	-40.990	-106.930	-24.700	82.230	82.230	4	4.000	450.000	20	C;H;O;P	h;ppi	1	0.000	1	0	5	0	0	0
rxn24971	copalyl diphosphate-lyase (isopimara-7,15-diene-forming)	4.2.3.44	OK	(1) cpd19111[0] => (1) cpd00012[0] + (1) cpd00067[0] + (1) cpd19479[0]	(1) Copalyl diphosphate[0] => (1) PPi[0] + (1) H+[0] + (1) Isopimara-7,15-diene[0]	-40.990	-106.930	-24.700	82.230	82.230	4	4.000	450.000	20	C;H;O;P	h;ppi	1	0.000	1	0	5	0	0	0
rxn04174	ent-Copalyl-diphosphate diphosphate-lyase [ent-sandaracopimara-8(14),15-diene-forming]	4.2.3.18;4.2.3.29	OK	(1) cpd03629[0] => (1) cpd00012[0] + (1) cpd00067[0] + (1) cpd08675[0]	(1) Copalyl diphosphate[0] => (1) PPi[0] + (1) H+[0] + (1) (+)-Sandaracopimaradiene[0]	-40.990	-106.930	-24.890	82.040	82.040	4	4.000	448.000	20	C;H;O;P	h;ppi	1	0.000	1	0	5	0	0	0
rxn16714	geranylgeranyl-diphosphate diphosphohydrolase [(13E)-labda-7,13-dien-15-ol-forming]	3.1.7.10	OK	(1) cpd00001[0] + (1) cpd00289[0] => (1) cpd00012[0] + (1) cpd00067[0] + (1) cpd21391[0]	(1) H2O[0] + (1) Geranylgeranyl diphosphate[0] => (1) PPi[0] + (1) H+[0] + (1) (13E)-Labda-7,13-dien-15-ol[0]	-61.650	-92.900	-10.910	81.990	81.990	5	5.000	448.000	20	C;H;O;P	h;h2o;ppi	1	0.000	1	0	2	0	2	0
rxn04173	Copalyl-diphosphate diphosphate-lyase (cyclizing)		OK	(1) cpd03629[0] => (1) cpd00012[0] + (1) cpd00067[0] + (1) cpd03626[0]	(1) Copalyl diphosphate[0] => (1) PPi[0] + (1) H+[0] + (1) Pimaradiene[0]	-40.990	-106.930	-25.140	81.790	81.790	4	4.000	448.000	20	C;H;O;P	h;ppi	1	0.000	1	0	5	0	0	0
rxn39681	Copalyl-diphosphate diphosphate-lyase (cyclizing)	4.2.3.147	OK	(1) cpd19111[0] => (1) cpd00012[0] + (1) cpd00067[0] + (1) cpd03626[0]	(1) Copalyl diphosphate[0] => (1) PPi[0] + (1) H+[0] + (1) Pimaradiene[0]	-40.990	-106.930	-25.140	81.790	81.790	4	4.000	450.000	20	C;H;O;P	h;ppi	1	0.000	1	0	5	0	0	0
rxn12036	R08308		OK	(1) cpd00067[0] + (1) cpd16396[0] => (1) cpd00011[0] + (1) cpd00013[0] + (1) cpd16400[0]	(1) H+[0] + (1) 3-Carbamoyl-2-phenylpropionaldehyde[0] => (1) CO2[0] + (1) NH3[0] + (1) Atropaldehyde[0]	-4.640	-86.330	-26.080	81.690	81.690	5	5.000	193.000	10	C;H;N;O	co2;h;nh3	1	0.000	1	0	2	2	4	0
