rxn	name	ec	status	equation	definition	dg_gc	dg_eq	dg_dgp	max_abs_pairdiff	dg_range3	n_participants	sum_abs_coeff	max_mass	max_carbon	elements	cofactors	n_kegg_with_dg	kegg_spread_kcal	all_have_smiles	n_generic_formula	total_rings	total_arom_rings	n_groups_changed	is_transport
rxn31851	L-Fuculose-1-phosphate lactaldehyde-lyase	4.1.2.17	OK	(1) cpd00806[0] <=> (1) cpd00095[0] + (1) cpd00334[0]	(1) L-Fuculose1-phosphate[0] <=> (1) Glycerone-phosphate[0] + (1) L-Lactaldehyde[0]	2.560	4.730	4.710	2.170	2.170	3	3.000	243.000	6	C;H;O;P		1	0.000	1	0	0	0	2	0
rxn40466	OA-6129-A,2-oxoglutarate:oxygen oxidoreductase (8-hydroxylating)	1.14.20.-	OK	(1) cpd00007[0] + (1) cpd00024[0] + (1) cpd31370[0] => (1) cpd00011[0] + (1) cpd00036[0] + (1) cpd17508[0]	(1) O2[0] + (1) 2-Oxoglutarate[0] + (1) OA-6129 A[0] => (1) CO2[0] + (1) Succinate[0] + (1) OA-6129 B2[0]	-108.280	-107.670	-109.840	2.170	2.170	6	6.000	457.188	20	C;H;N;O;S	co2;o2	1	0.000	1	0	4	0	2	0
rxn02251	D-Ribulose 1,5-bisphosphate oxygenase	4.1.1.-;4.1.1.39	OK	(1) cpd00007[0] + (1) cpd00871[0] => (2) cpd00067[0] + (1) cpd00169[0] + (1) cpd00727[0]	(1) O2[0] + (1) D-Ribulose 1,5-bisphosphate[0] => (2) H+[0] + (1) 3-Phosphoglycerate[0] + (1) 2-Phosphoglycolate[0]	-124.360	-123.410	-125.580	2.170	2.170	5	6.000	308.000	5	C;H;O;P	h;o2	1	0.000	1	0	0	0	3	0
rxn13771	rxn13771	1.6.3.2;1.6.3.4	OK	(2) cpd00004[0] + (1) cpd00007[0] + (2) cpd00067[0] => (2) cpd00001[0] + (2) cpd00003[0]	(2) NADH[0] + (1) O2[0] + (2) H+[0] => (2) H2O[0] + (2) NAD[0]	-108.780	-109.510	-110.950	2.170	2.170	5	9.000	663.000	21	C;H;N;O;P	h;h2o;nad;nadh;o2	1	0.000	1	0	10	5	3	0
rxn25701	RXN-961.d	4.1.1.-;4.1.1.39	OK	(1) cpd00007[0] + (1) cpd00871[0] => (2) cpd00067[0] + (1) cpd00169[0] + (1) cpd00727[0]	(1) O2[0] + (1) D-Ribulose 1,5-bisphosphate[0] => (2) H+[0] + (1) 3-Phosphoglycerate[0] + (1) 2-Phosphoglycolate[0]	-124.360	-123.410	-125.580	2.170	2.170	5	6.000	308.000	5	C;H;O;P	h;o2	1	0.000	1	0	0	0	3	0
rxn00970	R01308		OK	(1) cpd00004[0] + (1) cpd00029[0] + (2) cpd00067[0] + (1) cpd00136[0] <= (2) cpd00001[0] + (1) cpd00003[0] + (1) cpd00604[0]	(1) NADH[0] + (1) Acetate[0] + (2) H+[0] + (1) 4-Hydroxybenzoate[0] <= (2) H2O[0] + (1) NAD[0] + (1) 4-Coumarate[0]	9.480	9.870	7.690	2.180	2.180	7	9.000	663.000	21	C;H;N;O;P	h;h2o;nad;nadh	1	0.000	1	0	12	7	4	0
rxn01195	3,4-Dihydroxyphthalate carboxy-lyase (3,4-dihydroxybenzoate-forming)	4.1.1.69	OK	(1) cpd00067[0] + (1) cpd02061[0] => (1) cpd00011[0] + (1) cpd00197[0]	(1) H+[0] + (1) 3,4-Dihydroxyphthalate[0] => (1) CO2[0] + (1) Protocatechuate[0]	-0.100	-2.280	-0.330	2.180	2.180	4	4.000	196.000	8	C;H;O	co2;h	1	0.000	1	0	2	2	1	0
rxn15756	R08591		OK	(1) cpd08728[0] <=> (1) cpd17374[0]	(1) dTDP 1-ester with (6S)-5,6-dihydro-4-hydroxy-6-methyl-5-oxo-2H-pyran[0] <=> (1) dTDP-3,4-dioxo-2,6-dideoxy-L-glucose[0]	-1.570	0.610	0.390	2.180	2.180	2	2.000	525.000	16	C;H;N;O;P		1	0.000	1	0	6	2	0	0
rxn15641	2,5-Dihydro-5-oxofuran-2-acetate lyase (decyclizing)	5.5.1.1	OK	(1) cpd00067[0] + (1) cpd01630[0] <=> (1) cpd19162[0]	(1) H+[0] + (1) cis,cis-Muconate[0] <=> (1) (S)-5-Oxo-2,5-dihydrofuran-2-acetate[0]	0.180	-0.610	1.570	2.180	2.180	3	3.000	142.000	6	C;H;O	h	1	0.000	1	0	1	0	4	0
rxn01273	(R)-Lactaldehyde:NAD+ 2-oxidoreductase	1.2.1.23	OK	(1) cpd00001[0] + (1) cpd00003[0] + (1) cpd00693[0] <=> (1) cpd00004[0] + (2) cpd00067[0] + (1) cpd00221[0]	(1) H2O[0] + (1) NAD[0] + (1) D-Lactaldehyde[0] <=> (1) NADH[0] + (2) H+[0] + (1) D-Lactate[0]	-9.800	-8.410	-7.620	2.180	2.180	6	7.000	663.000	21	C;H;N;O;P	h;h2o;nad;nadh	1	0.000	1	0	10	5	5	0
