n	rxns	sd_gc	range_gc	sd_eq	range_eq	sd_dgp	range_dgp	empty_dsig
2	rxn04701;rxn17099	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn04700;rxn39498	0.000	0.000	0.080	0.160	0.065	0.130	0
2	rxn04682;rxn31984	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn04678;rxn15640	0.000	0.000	0.000	0.000	0.000	0.000	0
6	rxn04636;rxn07533;rxn07535;rxn07545;rxn07555;rxn07568	0.000	0.000	0.091	0.250	0.392	0.840	0
3	rxn04609;rxn05102;rxn07538	0.000	0.000	8.101	17.190	7.684	16.300	0
5	rxn04585;rxn04592;rxn04593;rxn39770;rxn40247	0.000	0.000	31.942	67.490	3.384	8.960	0
2	rxn04580;rxn07160	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn02141;rxn02142	0.000	0.000	0.000	0.000	0.290	0.580	0
2	rxn04910;rxn31978	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn04521;rxn04524	0.000	0.000	0.000	0.000	0.850	1.700	0
2	rxn04520;rxn04523	0.000	0.000	0.000	0.000	0.750	1.500	0
2	rxn04516;rxn16172	0.000	0.000	0.035	0.070	0.050	0.100	0
2	rxn04510;rxn04514	0.000	0.000	0.000	0.000	1.215	2.430	0
2	rxn04482;rxn07479	0.000	0.000	0.115	0.230	11.835	23.670	0
2	rxn04463;rxn04623	0.000	0.000	0.000	0.000	0.695	1.390	0
5	rxn04456;rxn04457;rxn24134;rxn30865;rxn35436	0.000	0.000	0.000	0.000	0.000	0.000	0
4	rxn04453;rxn18179;rxn31747;rxn35444	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn04443;rxn15630;rxn38499	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn04417;rxn39855	0.000	0.000	0.010	0.020	0.915	1.830	0
2	rxn04535;rxn04545	0.000	0.000	0.000	0.000	0.005	0.010	0
2	rxn04901;rxn16003	0.000	0.000	0.000	0.000	0.290	0.580	0
2	rxn04856;rxn04857	0.000	0.000	0.000	0.000	0.000	0.000	0
4	rxn04854;rxn04858;rxn04861;rxn37427	0.000	0.000	0.685	1.370	0.871	2.110	0
4	rxn04852;rxn25605;rxn25606;rxn40151	0.000	0.000	0.048	0.110	1.120	2.240	0
3	rxn04838;rxn04839;rxn04851	0.000	0.000	0.000	0.000	0.797	1.690	0
7	rxn04820;rxn04821;rxn15643;rxn15644;rxn15645;rxn15646;rxn32737	0.000	0.000	0.000	0.000	1.188	2.400	0
2	rxn04818;rxn04819	0.000	0.000	0.000	0.000	1.200	2.400	0
3	rxn04816;rxn04817;rxn32508	0.000	0.000	0.000	0.000	1.131	2.400	0
2	rxn04809;rxn04811	0.000	0.000	0.000	0.000	1.100	2.200	0
2	rxn04807;rxn04808	0.000	0.000	0.000	0.000	1.200	2.400	0
2	rxn04702;rxn23405	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn04794;rxn27959;rxn35425	0.000	0.000	0.000	0.000	0.000	0.000	0
14	rxn04793;rxn07575;rxn31837;rxn31841;rxn32086;rxn32093;rxn32209;rxn32210	0.000	0.000	0.161	0.470	8.466	18.740	0
7	rxn04792;rxn04938;rxn15991;rxn32312;rxn33296;rxn38969;rxn38970	0.000	0.000	0.000	0.000	0.475	1.410	0
3	rxn04791;rxn24178;rxn32015	0.000	0.000	0.203	0.430	0.000	0.000	0
2	rxn04769;rxn24578	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn04767;rxn16689	0.000	0.000	0.000	0.000	0.810	1.620	0
12	rxn04755;rxn04756;rxn04978;rxn04979;rxn24542;rxn24543;rxn24546;rxn24547	0.000	0.000	0.000	0.000	0.295	0.590	0
3	rxn04742;rxn32001;rxn32002	0.000	0.000	0.005	0.010	1.787	3.790	0
2	rxn04721;rxn04731	0.000	0.000	0.005	0.010	21.825	43.650	0
2	rxn04712;rxn32205	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn04795;rxn33004;rxn33005	0.000	0.000	0.000	0.000	23.495	49.840	0
2	rxn10504;rxn10505	0.000	0.000	0.000	0.000	0.290	0.580	0
2	rxn10468;rxn10469	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn09953;rxn16365	0.000	0.000	0.200	0.400	0.000	0.000	0
7	rxn09037;rxn16111;rxn21865;rxn21866;rxn28413;rxn28414;rxn37386	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn08884;rxn30985	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn08647;rxn27876	0.000	0.000	0.000	0.000	0.000	0.000	0
4	rxn08458;rxn08459;rxn13930;rxn13939	0.000	0.000	0.203	0.410	3.745	8.810	0
2	rxn08118;rxn15899	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn08044;rxn15745	0.000	0.000	0.000	0.000	0.000	0.000	0
5	rxn07277;rxn07282;rxn33074;rxn33075;rxn33077	0.000	0.000	0.000	0.000	0.044	0.110	0
3	rxn07876;rxn07885;rxn16646	0.000	0.000	3.272	6.940	3.367	7.320	0
2	rxn07871;rxn28380	0.000	0.000	0.030	0.060	5.855	11.710	0
2	rxn07856;rxn11695	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn07795;rxn07799;rxn23832	0.000	0.000	0.057	0.120	0.047	0.100	0
5	rxn07780;rxn07781;rxn07782;rxn07814;rxn28345	0.000	0.000	0.036	0.090	1.976	5.080	0
3	rxn07777;rxn07778;rxn07779	0.000	0.000	0.031	0.070	1.490	3.170	0
2	rxn07765;rxn07766	0.000	0.000	0.005	0.010	0.290	0.580	0
2	rxn07763;rxn07764	0.000	0.000	0.000	0.000	0.290	0.580	0
2	rxn07761;rxn07762	0.000	0.000	0.000	0.000	0.295	0.590	0
2	rxn07759;rxn07760	0.000	0.000	0.000	0.000	0.290	0.580	0
4	rxn08043;rxn19030;rxn27667;rxn30333	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn11998;rxn39448	0.000	0.000	1.005	2.010	0.000	0.000	0
2	rxn11946;rxn32357	0.000	0.000	0.000	0.000	0.000	0.000	0
15	rxn11858;rxn11859;rxn14004;rxn14102;rxn14183;rxn14205;rxn14308;rxn14347	0.000	0.000	0.479	1.730	1.326	4.690	0
4	rxn11828;rxn12033;rxn34682;rxn34685	0.000	0.000	0.005	0.010	0.555	1.110	0
2	rxn11799;rxn11802	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn11775;rxn15898	0.000	0.000	0.000	0.000	0.875	1.750	0
2	rxn11742;rxn16836	0.000	0.000	0.000	0.000	4.130	8.260	0
2	rxn11741;rxn24879	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn11703;rxn25492	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn11702;rxn17648	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn10568;rxn15963	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn11684;rxn28800;rxn40063	0.000	0.000	0.000	0.000	1.558	3.600	0
3	rxn11683;rxn37184;rxn37185	0.000	0.000	0.005	0.010	1.433	3.510	0
2	rxn11561;rxn37874	0.000	0.000	0.000	0.000	0.000	0.000	0
7	rxn11551;rxn11552;rxn15122;rxn15123;rxn15126;rxn15127;rxn30433	0.000	0.000	0.679	1.670	4.465	13.030	0
2	rxn11538;rxn11539	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn11526;rxn11527	0.000	0.000	0.000	0.000	0.415	0.830	0
5	rxn11511;rxn15721;rxn15722;rxn15723;rxn15724	0.000	0.000	0.661	1.770	0.000	0.000	0
2	rxn11475;rxn39430	0.000	0.000	0.035	0.070	0.000	0.000	0
6	rxn10770;rxn12191;rxn28318;rxn38396;rxn38397;rxn38398	0.000	0.000	0.000	0.000	0.216	0.580	0
2	rxn10613;rxn15988	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn11687;rxn11688;rxn31531	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn07434;rxn35553	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn07432;rxn35554	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn07430;rxn35549	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn07405;rxn37127	0.000	0.000	0.000	0.000	0.000	0.000	0
6	rxn07399;rxn07400;rxn07403;rxn31342;rxn31343;rxn31344	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn07372;rxn07647;rxn07648	0.000	0.000	0.000	0.000	0.000	0.000	0
4	rxn07352;rxn07355;rxn07358;rxn07360	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn07348;rxn15685	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn07337;rxn15680	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn07757;rxn07758	0.000	0.000	0.000	0.000	0.290	0.580	0
4	rxn07333;rxn07334;rxn23798;rxn23799	0.000	0.000	0.000	0.000	0.000	0.000	0
5	rxn07332;rxn23797;rxn23805;rxn23806;rxn40447	0.000	0.000	0.000	0.000	0.000	0.000	0
5	rxn07331;rxn14085;rxn23796;rxn23804;rxn40446	0.000	0.000	0.000	0.000	1.862	3.800	0
2	rxn07324;rxn33208	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn07323;rxn39813	0.000	0.000	0.000	0.000	1.870	3.740	0
3	rxn07314;rxn26898;rxn37890	0.000	0.000	0.000	0.000	1.556	3.300	0
2	rxn07306;rxn24433	0.000	0.000	0.000	0.000	0.000	0.000	0
12	rxn07298;rxn07301;rxn07304;rxn07305;rxn11523;rxn15702;rxn32022;rxn32023	0.000	0.000	0.000	0.000	10.590	38.880	0
3	rxn07281;rxn32218;rxn32219	0.000	0.000	0.000	0.000	0.000	0.000	0
5	rxn07279;rxn15703;rxn33008;rxn33010;rxn33564	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn07335;rxn23800;rxn40277	0.000	0.000	0.000	0.000	1.688	3.580	0
2	rxn07755;rxn07756	0.000	0.000	0.005	0.010	0.295	0.590	0
2	rxn07753;rxn07754	0.000	0.000	0.000	0.000	0.290	0.580	0
2	rxn07751;rxn07752	0.000	0.000	0.000	0.000	0.290	0.580	0
2	rxn07749;rxn07750	0.000	0.000	0.005	0.010	0.290	0.580	0
2	rxn07747;rxn07748	0.000	0.000	0.000	0.000	0.295	0.590	0
2	rxn07745;rxn07746	0.000	0.000	0.000	0.000	0.295	0.590	0
2	rxn07729;rxn07744	0.000	0.000	0.000	0.000	0.295	0.590	0
2	rxn07708;rxn15707	0.000	0.000	1.805	3.610	0.000	0.000	0
2	rxn07706;rxn31355	0.000	0.000	0.000	0.000	0.000	0.000	0
4	rxn07626;rxn11689;rxn33225;rxn33311	0.000	0.000	0.000	0.000	0.000	0.000	0
8	rxn07447;rxn07448;rxn11885;rxn16460;rxn16670;rxn20915;rxn39845;rxn40098	0.000	0.000	0.000	0.000	2.638	7.370	0
4	rxn07542;rxn07562;rxn07566;rxn23951	0.000	0.000	0.005	0.010	0.046	0.110	0
3	rxn07539;rxn33613;rxn33615	0.000	0.000	0.000	0.000	0.000	0.000	0
5	rxn07529;rxn07591;rxn07592;rxn23848;rxn24350	0.000	0.000	0.000	0.000	0.004	0.010	0
2	rxn07506;rxn15698	0.000	0.000	0.080	0.160	0.050	0.100	0
2	rxn07497;rxn07513	0.000	0.000	0.185	0.370	0.140	0.280	0
2	rxn07496;rxn07512	0.000	0.000	0.185	0.370	0.145	0.290	0
6	rxn07493;rxn16598;rxn32819;rxn32824;rxn32825;rxn32841	0.000	0.000	0.981	2.080	0.038	0.080	0
2	rxn07478;rxn07500	0.000	0.000	0.385	0.770	1.720	3.440	0
4	rxn07466;rxn14121;rxn14346;rxn39923	0.000	0.000	0.188	0.440	2.735	6.520	0
3	rxn07449;rxn15695;rxn15696	0.000	0.000	0.000	0.000	0.000	0.000	0
11	rxn07573;rxn20474;rxn20478;rxn20480;rxn30390;rxn34734;rxn34735;rxn34736	0.000	0.000	0.149	0.520	2.427	8.450	0
2	rxn00539;rxn30017	0.000	0.000	0.000	0.000	0.000	0.000	0
6	rxn00536;rxn00543;rxn27700;rxn30083;rxn38033;rxn38034	0.000	0.000	0.000	0.000	0.216	0.580	0
11	rxn00534;rxn00677;rxn02120;rxn02257;rxn02848;rxn03641;rxn07623;rxn25164	0.000	0.000	2.003	7.860	1.652	6.900	0
4	rxn00533;rxn27668;rxn30331;rxn38011	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn00531;rxn40128;rxn40129	0.000	0.000	4.785	10.150	0.448	0.950	0
4	rxn00525;rxn00526;rxn24109;rxn27772	0.000	0.000	0.000	0.000	0.290	0.580	0
7	rxn00523;rxn16423;rxn16426;rxn22367;rxn27401;rxn29938;rxn33232	0.000	0.000	4.376	10.150	0.000	0.000	0
3	rxn00520;rxn01733;rxn33785	0.000	0.000	0.476	1.010	0.108	0.230	0
4	rxn00510;rxn00511;rxn17246;rxn37893	0.000	0.000	0.000	0.000	0.251	0.580	0
5	rxn02099;rxn02562;rxn04610;rxn07534;rxn07543	0.000	0.000	8.430	17.220	9.685	24.120	0
6	rxn00503;rxn00504;rxn20649;rxn28199;rxn32901;rxn33563	0.000	0.000	0.005	0.010	0.295	0.590	0
4	rxn00501;rxn00502;rxn23817;rxn37807	0.000	0.000	0.000	0.000	0.290	0.580	0
5	rxn00499;rxn00500;rxn34235;rxn34239;rxn34240	0.000	0.000	0.367	0.750	0.358	0.730	0
7	rxn00495;rxn00530;rxn30552;rxn32185;rxn32187;rxn32189;rxn32193	0.000	0.000	3.034	8.670	0.000	0.000	0
5	rxn00491;rxn16114;rxn20881;rxn37938;rxn38670	0.000	0.000	3.543	9.690	4.415	11.110	0
2	rxn00490;rxn19253	0.000	0.000	0.000	0.000	0.000	0.000	0
10	rxn00484;rxn00497;rxn00529;rxn00866;rxn01499;rxn01948;rxn31401;rxn32344	0.000	0.000	4.147	11.780	1.352	2.950	0
15	rxn00483;rxn00493;rxn00527;rxn00862;rxn01156;rxn01496;rxn01947;rxn02294	0.000	0.000	2.933	9.690	4.626	15.190	0
3	rxn00482;rxn21759;rxn40299	0.000	0.000	1.531	3.750	1.394	3.030	0
2	rxn00481;rxn04033	0.000	0.000	2.070	4.140	0.045	0.090	0
6	rxn00506;rxn00507;rxn19123;rxn30086;rxn31362;rxn31363	0.000	0.000	0.000	0.000	0.295	0.590	0
5	rxn00586;rxn01189;rxn02363;rxn03563;rxn39979	0.000	0.000	0.004	0.010	0.289	0.590	0
2	rxn00583;rxn00585	0.000	0.000	0.000	0.000	0.750	1.500	0
2	rxn00581;rxn03159	0.000	0.000	0.280	0.560	6.325	12.650	0
18	rxn00575;rxn01737;rxn02760;rxn15067;rxn15068;rxn15069;rxn28252;rxn28253	0.000	0.000	1.172	4.850	5.419	11.060	0
3	rxn00571;rxn00572;rxn38182	0.000	0.000	0.000	0.000	0.278	0.590	0
2	rxn00568;rxn00569	0.000	0.000	0.005	0.010	0.875	1.750	0
7	rxn00566;rxn01365;rxn29999;rxn30000;rxn32747;rxn32748;rxn33352	0.000	0.000	1.054	2.130	1.559	3.150	0
2	rxn00562;rxn27429	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn00560;rxn35318	0.000	0.000	0.000	0.000	0.000	0.000	0
8	rxn00541;rxn04142;rxn11729;rxn11730;rxn32996;rxn32998;rxn35214;rxn38981	0.000	0.000	1.300	2.600	1.069	2.230	0
5	rxn00555;rxn15064;rxn32367;rxn32369;rxn32371	0.000	0.000	0.000	0.000	0.000	0.000	0
4	rxn00554;rxn02315;rxn15063;rxn32803	0.000	0.000	0.139	0.320	0.000	0.000	0
7	rxn00553;rxn00579;rxn14357;rxn15062;rxn15878;rxn31084;rxn33446	0.000	0.000	1.114	3.100	0.719	1.840	0
5	rxn00552;rxn11877;rxn15061;rxn30021;rxn34560	0.000	0.000	0.036	0.090	0.972	2.430	0
2	rxn00551;rxn15298	0.000	0.000	0.165	0.330	0.605	1.210	0
4	rxn00550;rxn00632;rxn15361;rxn30582	0.000	0.000	0.658	1.520	3.933	8.390	0
8	rxn00549;rxn12188;rxn15494;rxn19684;rxn19685;rxn26130;rxn30665;rxn31218	0.000	0.000	0.250	0.840	0.973	2.340	0
2	rxn00548;rxn15060	0.000	0.000	0.000	0.000	0.000	0.000	0
9	rxn00546;rxn03489;rxn03856;rxn03886;rxn13933;rxn13943;rxn15354;rxn15656	0.000	0.000	0.396	1.090	3.280	8.050	0
12	rxn00545;rxn00627;rxn02314;rxn02436;rxn02673;rxn15493;rxn19015;rxn33087	0.000	0.000	2.149	8.040	0.762	2.340	0
8	rxn00556;rxn00557;rxn02316;rxn02317;rxn15065;rxn15066;rxn32492;rxn32571	0.000	0.000	0.786	1.870	0.110	0.220	0
2	rxn00427;rxn31397	0.000	0.000	0.000	0.000	0.000	0.000	0
4	rxn00424;rxn28985;rxn28986;rxn33134	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn00423;rxn27108;rxn27109	0.000	0.000	0.000	0.000	0.000	0.000	0
4	rxn00422;rxn27104;rxn28984;rxn33642	0.000	0.000	0.000	0.000	0.000	0.000	0
4	rxn00421;rxn00767;rxn17678;rxn39280	0.000	0.000	0.891	2.140	1.364	3.150	0
3	rxn00415;rxn02153;rxn11731	0.000	0.000	2.579	5.830	0.385	0.940	0
5	rxn00414;rxn27743;rxn30627;rxn31216;rxn38060	0.000	0.000	0.000	0.000	0.000	0.000	0
4	rxn00412;rxn11276;rxn27771;rxn33242	0.000	0.000	0.000	0.000	0.000	0.000	0
4	rxn00410;rxn30073;rxn32019;rxn32058	0.000	0.000	0.000	0.000	0.000	0.000	0
4	rxn00479;rxn00489;rxn14316;rxn32630	0.000	0.000	0.909	2.100	4.746	10.960	0
2	rxn00404;rxn19855	0.000	0.000	0.000	0.000	0.000	0.000	0
5	rxn00396;rxn02620;rxn02685;rxn03046;rxn04785	0.000	0.000	1.545	3.920	0.232	0.580	0
12	rxn00395;rxn01029;rxn27690;rxn30071;rxn30602;rxn30617;rxn33434;rxn33439	0.000	0.000	0.247	0.500	0.148	0.300	0
13	rxn00394;rxn00662;rxn00858;rxn01462;rxn01779;rxn03658;rxn19181;rxn22961	0.000	0.000	3.290	9.100	0.457	1.690	0
3	rxn00393;rxn15051;rxn15052	0.000	0.000	0.189	0.400	0.000	0.000	0
26	rxn00392;rxn00615;rxn00780;rxn01102;rxn01123;rxn01275;rxn01344;rxn01411	0.000	0.000	1.178	3.500	1.191	4.540	0
41	rxn00391;rxn00420;rxn00610;rxn01099;rxn01317;rxn01560;rxn02046;rxn02058	0.000	0.000	0.927	3.690	1.220	7.320	0
3	rxn00386;rxn00387;rxn01908	0.000	0.000	0.396	0.840	0.423	1.030	0
4	rxn00385;rxn01690;rxn02941;rxn05946	0.000	0.000	0.545	1.340	0.204	0.470	0
5	rxn00384;rxn01170;rxn02301;rxn02512;rxn15050	0.000	0.000	0.303	0.830	0.145	0.310	0
8	rxn00407;rxn01672;rxn30006;rxn30308;rxn32477;rxn32478;rxn32481;rxn32567	0.000	0.000	0.013	0.030	0.030	0.070	0
2	rxn00478;rxn05090	0.000	0.000	1.875	3.750	1.515	3.030	0
4	rxn00477;rxn00488;rxn00522;rxn38890	0.000	0.000	3.959	9.690	4.790	11.110	0
4	rxn00475;rxn00476;rxn00487;rxn16671	0.000	0.000	4.149	9.700	5.669	11.700	0
3	rxn00474;rxn26013;rxn30979	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn00473;rxn30065	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn00471;rxn20495	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn00468;rxn15055	0.000	0.000	0.000	0.000	0.000	0.000	0
16	rxn00467;rxn00856;rxn01204;rxn01631;rxn01637;rxn02944;rxn03797;rxn19742	0.000	0.000	1.012	2.920	1.655	3.880	0
8	rxn00465;rxn00654;rxn00853;rxn32164;rxn32350;rxn33392;rxn34582;rxn35372	0.000	0.000	3.691	8.010	0.437	1.050	0
2	rxn00460;rxn00517	0.000	0.000	0.775	1.550	0.115	0.230	0
4	rxn00429;rxn33269;rxn33270;rxn33272	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn00456;rxn30078;rxn30731	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn00454;rxn35212	0.000	0.000	1.260	2.520	4.195	8.390	0
2	rxn00453;rxn32345	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn00445;rxn23445	0.000	0.000	0.000	0.000	0.495	0.990	0
2	rxn00441;rxn31217	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn00440;rxn32226	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn00434;rxn23355	0.000	0.000	1.580	3.160	0.000	0.000	0
2	rxn00433;rxn31075	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn00432;rxn20190	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn00430;rxn38171	0.000	0.000	0.000	0.000	0.000	0.000	0
7	rxn00459;rxn17748;rxn30576;rxn33498;rxn35218;rxn37952;rxn37953	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn00766;rxn29963	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn00762;rxn00764	0.000	0.000	0.000	0.000	0.290	0.580	0
4	rxn00758;rxn29958;rxn31410;rxn33398	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn00754;rxn40210	0.000	0.000	0.640	1.280	0.765	1.530	0
3	rxn00753;rxn01303;rxn16473	0.000	0.000	2.416	5.830	0.674	1.430	0
3	rxn00747;rxn27386;rxn33035	0.000	0.000	0.000	0.000	0.000	0.000	0
9	rxn00744;rxn01111;rxn01343;rxn02161;rxn02319;rxn02703;rxn03023;rxn28078	0.000	0.000	1.008	2.690	0.550	1.470	0
6	rxn00742;rxn30306;rxn30633;rxn33426;rxn33428;rxn33507	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn00740;rxn30320;rxn34665	0.000	0.000	0.000	0.000	0.000	0.000	0
7	rxn00589;rxn03906;rxn04724;rxn04745;rxn04748;rxn16659;rxn31404	0.000	0.000	0.005	0.010	1.732	4.630	0
6	rxn00737;rxn29011;rxn30064;rxn30143;rxn30440;rxn35533	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn00731;rxn32329;rxn32330	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn00729;rxn01437;rxn34212	0.000	0.000	0.000	0.000	0.005	0.010	0
3	rxn00728;rxn01930;rxn02767	0.000	0.000	0.005	0.010	0.000	0.000	0
4	rxn00727;rxn27709;rxn38042;rxn38043	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn00726;rxn32242;rxn35359	0.000	0.000	0.000	0.000	0.000	0.000	0
11	rxn00723;rxn00964;rxn01035;rxn02140;rxn02764;rxn03751;rxn04236;rxn05125	0.000	0.000	1.965	7.630	4.341	12.830	0
2	rxn00722;rxn03496	0.000	0.000	0.005	0.010	3.525	7.050	0
3	rxn00719;rxn00720;rxn27484	0.000	0.000	0.000	0.000	0.273	0.580	0
2	rxn00717;rxn29997	0.000	0.000	0.000	0.000	0.000	0.000	0
5	rxn00738;rxn30589;rxn33042;rxn35416;rxn35417	0.000	0.000	0.000	0.000	0.000	0.000	0
4	rxn00814;rxn15132;rxn15133;rxn34771	0.000	0.000	0.681	1.660	0.000	0.000	0
9	rxn00806;rxn02339;rxn15507;rxn19241;rxn27738;rxn32238;rxn32252;rxn32253	0.000	0.000	1.173	2.510	0.785	2.630	0
2	rxn00804;rxn30550	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn00802;rxn27716	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn00800;rxn27708	0.000	0.000	0.000	0.000	0.000	0.000	0
6	rxn00799;rxn01745;rxn19740;rxn33856;rxn33857;rxn33858	0.000	0.000	1.379	3.700	1.368	3.670	0
3	rxn00798;rxn15244;rxn15245	0.000	0.000	0.212	0.450	0.141	0.300	0
2	rxn00797;rxn15118	0.000	0.000	1.805	3.610	0.000	0.000	0
3	rxn00791;rxn28101;rxn38274	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn00790;rxn28100	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn00769;rxn15106;rxn15107	0.000	0.000	0.702	1.490	0.000	0.000	0
3	rxn00785;rxn15271;rxn31366	0.000	0.000	0.000	0.000	3.418	7.250	0
7	rxn00783;rxn03884;rxn15750;rxn21750;rxn32049;rxn32050;rxn40366	0.000	0.000	0.939	3.160	0.818	2.600	0
7	rxn00781;rxn00782;rxn17199;rxn19762;rxn27871;rxn37888;rxn38113	0.000	0.000	0.000	0.000	0.287	0.580	0
7	rxn00779;rxn01286;rxn27899;rxn30330;rxn32139;rxn33493;rxn40365	0.000	0.000	1.592	3.410	6.959	16.190	0
5	rxn00777;rxn15114;rxn28141;rxn34267;rxn38284	0.000	0.000	0.000	0.000	0.000	0.000	0
5	rxn00776;rxn15113;rxn28104;rxn28105;rxn30752	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn00774;rxn15112	0.000	0.000	0.000	0.000	0.000	0.000	0
5	rxn00773;rxn12158;rxn14360;rxn15111;rxn33061	0.000	0.000	0.064	0.160	2.008	5.020	0
34	rxn00771;rxn00808;rxn01076;rxn01287;rxn01455;rxn02262;rxn03918;rxn13931	0.000	0.000	0.685	2.690	4.224	19.180	0
5	rxn00770;rxn15108;rxn33995;rxn35356;rxn38273	0.000	0.000	0.000	0.000	0.000	0.000	0
6	rxn00786;rxn00787;rxn15116;rxn19683;rxn27851;rxn38097	0.000	0.000	0.119	0.320	2.278	6.040	0
7	rxn00647;rxn15090;rxn15091;rxn32112;rxn32116;rxn32118;rxn34664	0.000	0.000	0.059	0.130	1.229	2.720	0
11	rxn00646;rxn01210;rxn02010;rxn02011;rxn16238;rxn16438;rxn19261;rxn27893	0.000	0.000	1.918	6.530	3.641	10.650	0
5	rxn00633;rxn15082;rxn15083;rxn16994;rxn16995	0.000	0.000	0.441	1.120	0.000	0.000	0
3	rxn00631;rxn15775;rxn19732	0.000	0.000	0.335	0.710	0.000	0.000	0
7	rxn00629;rxn00630;rxn00634;rxn12177;rxn20173;rxn20174;rxn24346	0.000	0.000	0.442	1.170	7.771	22.270	0
2	rxn00619;rxn01413	0.000	0.000	1.010	2.020	2.335	4.670	0
2	rxn00618;rxn02880	0.000	0.000	1.015	2.030	3.605	7.210	0
3	rxn00617;rxn15079;rxn15080	0.000	0.000	0.582	1.360	0.000	0.000	0
2	rxn00616;rxn28327	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn00716;rxn33735	0.000	0.000	0.000	0.000	0.000	0.000	0
8	rxn00611;rxn00612;rxn15545;rxn15546;rxn27460;rxn27898;rxn31786;rxn37873	0.000	0.000	0.870	2.010	0.860	2.450	0
6	rxn00605;rxn01561;rxn15310;rxn15362;rxn29923;rxn35505	0.000	0.000	0.890	2.120	2.174	4.830	0
9	rxn00603;rxn01328;rxn15070;rxn15071;rxn19126;rxn19127;rxn20179;rxn31904	0.000	0.000	0.600	1.760	0.119	0.240	0
2	rxn00602;rxn20202	0.000	0.000	0.000	0.000	0.000	0.000	0
8	rxn00601;rxn01798;rxn01878;rxn03267;rxn19834;rxn32653;rxn32654;rxn33032	0.000	0.000	2.328	4.950	1.880	4.800	0
3	rxn00599;rxn07572;rxn30135	0.000	0.000	0.047	0.100	0.467	0.990	0
17	rxn00598;rxn00874;rxn02680;rxn02804;rxn03243;rxn03248;rxn06510;rxn07727	0.000	0.000	0.140	0.660	1.718	7.310	0
2	rxn00594;rxn00595	0.000	0.000	0.000	0.000	0.290	0.580	0
