n	rxns	sd_gc	range_gc	sd_eq	range_eq	sd_dgp	range_dgp	empty_dsig
2	rxn03439;rxn16608	0.000	0.000	0.390	0.780	1.100	2.200	0
6	rxn03437;rxn19545;rxn27818;rxn30145;rxn30658;rxn35528	0.000	0.000	0.000	0.000	0.000	0.000	0
5	rxn03436;rxn32760;rxn32797;rxn32798;rxn35529	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn03426;rxn39478	0.000	0.000	0.095	0.190	0.000	0.000	0
3	rxn03287;rxn03289;rxn15495	0.000	0.000	0.000	0.000	1.065	2.260	0
3	rxn03403;rxn33286;rxn33288	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn03391;rxn03397;rxn30327	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn03390;rxn30326	0.000	0.000	0.000	0.000	0.000	0.000	0
5	rxn03335;rxn03336;rxn03343;rxn03344;rxn21215	0.000	0.000	0.004	0.010	0.284	0.580	0
2	rxn03326;rxn19004	0.000	0.000	0.000	0.000	0.000	0.000	0
5	rxn03316;rxn14177;rxn14179;rxn39328;rxn39329	0.000	0.000	0.000	0.000	2.755	7.010	0
2	rxn03301;rxn03304	0.000	0.000	0.000	0.000	0.000	0.000	0
5	rxn03300;rxn14041;rxn14124;rxn14176;rxn14375	0.000	0.000	0.000	0.000	1.643	4.240	0
2	rxn03291;rxn03294	0.000	0.000	0.000	0.000	0.540	1.080	0
2	rxn03290;rxn15496	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn03407;rxn30313	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn04176;rxn39683	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn04175;rxn39682	0.000	0.000	0.000	0.000	0.000	0.000	0
4	rxn04173;rxn04174;rxn15985;rxn39681	0.000	0.000	0.000	0.000	0.278	0.680	0
2	rxn04147;rxn32418	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn04140;rxn35274	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn04132;rxn04133;rxn39598	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn04113;rxn08756	0.000	0.000	0.000	0.000	14.440	28.880	0
2	rxn04092;rxn30307	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn04079;rxn04080;rxn04105	0.000	0.000	0.000	0.000	0.775	1.650	0
2	rxn03880;rxn04751	0.000	0.000	0.000	0.000	0.435	0.870	0
2	rxn04043;rxn15952	0.000	0.000	0.160	0.320	0.605	1.210	0
2	rxn04034;rxn16224	0.000	0.000	0.000	0.000	0.415	0.830	0
4	rxn04029;rxn04579;rxn11674;rxn15552	0.000	0.000	5.954	13.750	0.000	0.000	0
3	rxn04028;rxn17414;rxn27502	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn04027;rxn22637;rxn30780	0.000	0.000	0.000	0.000	0.000	0.000	0
4	rxn04026;rxn33438;rxn33442;rxn33453	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn04021;rxn16509	0.000	0.000	0.440	0.880	0.770	1.540	0
2	rxn04014;rxn04015	0.000	0.000	0.000	0.000	0.640	1.280	0
5	rxn04012;rxn04017;rxn04512;rxn07140;rxn25866	0.000	0.000	0.401	0.840	1.414	3.720	0
2	rxn04078;rxn04104	0.000	0.000	0.000	0.000	0.415	0.830	0
3	rxn04411;rxn07785;rxn27752	0.000	0.000	0.005	0.010	0.589	1.250	0
3	rxn04387;rxn04388;rxn04466	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn04386;rxn10475;rxn10609	0.000	0.000	1.570	3.330	32.824	69.630	0
10	rxn04308;rxn10785;rxn16106;rxn16110;rxn16578;rxn29020;rxn29021;rxn31309	0.000	0.000	0.000	0.000	12.397	28.160	0
