assembly_accession,current_accession,organism_name,tax_id,assembly_name,status,superkingdom,kingdom,phylum,class,order,family,genus,species
GCF_000250655.1,GCF_000250655.1,Paenibacillus mucilaginosus 3016,1116391,ASM25065v1,resolved,Bacteria,Bacillati,Bacillota,Bacilli,Caryophanales,Paenibacillaceae,Paenibacillus,Paenibacillus mucilaginosus
GCF_000250675.2,GCF_000250675.2,Nocardia brasiliensis ATCC 700358,1133849,ASM25067v3,resolved,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Nocardia,Nocardia brasiliensis
GCF_000250855.1,GCF_000250855.1,Vibrio cholerae IEC224,1134456,ASM25085v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio cholerae
GCF_000250905.1,GCF_000250905.1,Streptococcus pyogenes MGAS15252,798300,ASM25090v1,resolved,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pyogenes
GCF_000250925.1,GCF_000250925.1,Streptococcus pyogenes MGAS1882,1010840,ASM25092v1,resolved,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pyogenes
GCF_000250945.1,,,,,missing,,,,,,,,
GCF_000251085.2,GCF_000251085.2,Streptococcus pneumoniae ST556,1130804,ASM25108v2,resolved,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pneumoniae
GCF_000251105.1,GCF_000251105.1,Methanocella conradii HZ254,1041930,ASM25110v1,resolved,Archaea,Methanobacteriati,Methanobacteriota,Methanomicrobia,Methanocellales,Methanocellaceae,Methanocella,Methanocella conradii
GCF_000252365.1,GCF_000252365.1,Rickettsia slovaca str. D-CWPP,1105109,ASM25236v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,Rickettsia slovaca
GCF_000252445.1,GCF_000252445.1,Deinococcus gobiensis I-0,745776,ASM25244v1,resolved,Bacteria,Thermotogati,Deinococcota,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus gobiensis
GCF_000252855.1,GCF_000252855.1,Riemerella anatipestifer ATCC 11845 = DSM 15868,693978,ASM25285v1,resolved,Bacteria,Pseudomonadati,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Riemerella,Riemerella anatipestifer
GCF_000252875.1,GCF_000252875.1,Salmonella enterica subsp. enterica serovar Typhimurium str. 798,1008297,ASM25287v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica
GCF_000252975.1,GCF_000252975.1,Listeria ivanovii subsp. ivanovii PAM 55,881621,ASM25297v1,resolved,Bacteria,Bacillati,Bacillota,Bacilli,Caryophanales,Listeriaceae,Listeria,Listeria ivanovii
