model_id,reason,n_reactions,n_metabolites,n_genes,n_exchanges_open,growth_flux,n_unique_rxns,n_unique_cpds,n_rare_rxns,novel_rxns_added,novel_cpds_added,min_jaccard_to_selected
GCF_000828835.1,farthest-point: min Jaccard distance to already-selected = 0.299,158,154,178,18,22.8,128,129,1,,,0.2987
GCF_000010305.1,farthest-point: min Jaccard distance to already-selected = 0.297,143,147,166,18,10.031,115,123,0,,,0.2969
GCF_000253035.1,farthest-point: min Jaccard distance to already-selected = 0.296,147,151,118,18,16.853,119,127,0,,,0.2958
GCF_002302615.1,farthest-point: min Jaccard distance to already-selected = 0.296,133,130,85,19,18.264,104,104,0,,,0.2957
GCF_001544015.1,farthest-point: min Jaccard distance to already-selected = 0.295,157,149,198,16,18.791,129,126,0,,,0.2952
GCF_002007605.1,farthest-point: min Jaccard distance to already-selected = 0.295,157,151,138,17,6.754,130,127,0,,,0.2952
GCF_000284415.1,farthest-point: min Jaccard distance to already-selected = 0.294,147,152,147,16,18.645,121,129,0,,,0.2937
GCF_000725365.1,farthest-point: min Jaccard distance to already-selected = 0.293,153,138,146,20,20.317,123,111,0,,,0.2934
GCF_000016345.1,farthest-point: min Jaccard distance to already-selected = 0.293,158,148,138,17,6.877,131,125,0,,,0.293
GCF_000968535.2,farthest-point: min Jaccard distance to already-selected = 0.293,164,160,180,18,17.118,136,135,0,,,0.2929
GCF_000164695.2,farthest-point: min Jaccard distance to already-selected = 0.293,150,138,111,21,20.317,119,111,0,,,0.2925
GCF_000219105.1,farthest-point: min Jaccard distance to already-selected = 0.292,167,165,188,20,20.317,137,139,1,,,0.2921
GCF_900066015.1,farthest-point: min Jaccard distance to already-selected = 0.292,153,143,168,17,15.531,126,119,0,,,0.2917
