rxn_id	Beber_2022	ln_RI
rxn00383	>	-34.929
rxn00384	<	38.633
rxn00385	>	-57.976
rxn00386	>	-58.544
rxn00387	>	-58.544
rxn00391	>	-8.737
rxn00392	=	-2.883
rxn00393	=	-0.253
rxn00394	>	-13.731
rxn00395	>	-14.624
rxn00396	=	1.158
rxn00397	=	-5.274
rxn00399	>	-57.725
rxn00400	=	3.824
rxn00401	>	-89.915
rxn00402	=	1.813
rxn00403	=	-0.868
rxn00404	=	-0.078
rxn00405	=	-5.144
rxn00406	<	7.279
rxn00407	>	-10.800
rxn00408	>	-12.650
rxn00409	=	0.052
rxn00410	=	-0.891
rxn00411	=	4.999
rxn00412	=	-4.391
rxn00413	=	-6.318
rxn00414	=	-2.884
rxn00415	=	-2.265
rxn00416	=	-6.589
rxn00417	=	2.514
rxn00418	<	235.207
rxn00419	=	3.329
rxn00420	>	-7.395
rxn00421	=	-1.229
rxn00422	=	0.840
rxn00423	=	-1.291
rxn00424	=	-0.853
rxn00425	=	-0.570
rxn00426	=	-2.468
rxn00427	>	-73.627
rxn00428	>	-24.831
rxn00429	>	-10.442
rxn00430	=	6.160
rxn00432	>	-19.949
rxn00433	>	-14.150
rxn00434	>	-13.172
rxn00435	>	-16.601
rxn00436	=	0.721
rxn00437	=	1.545
rxn00438	>	-9.976
rxn00439	>	-14.641
rxn00440	=	-1.151
rxn00441	=	-5.002
rxn00444	>	-83.403
rxn00445	>	-26.944
rxn00448	>	-103.983
rxn00449	=	0.001
rxn00450	>	-19.934
rxn00451	=	-0.128
rxn00452	=	-0.360
rxn00453	>	-12.267
rxn00454	=	-3.823
rxn00455	>	-11.349
rxn00456	>	-8.700
rxn00457	=	-1.023
rxn00458	>	-10.245
rxn00459	=	-1.538
rxn00460	=	5.136
rxn00461	=	-2.982
rxn00462	<	7.234
rxn00463	>	-15.858
rxn00464	>	-9.975
rxn00465	>	-10.992
rxn00466	=	3.866
rxn00467	=	-0.861
rxn00468	>	-8.267
rxn00469	=	-6.527
rxn00470	>	-11.784
rxn00471	>	-10.728
rxn00472	=	-3.844
rxn00473	=	-2.770
rxn00474	>	-9.029
rxn00475	=	-3.696
rxn00476	=	-3.696
rxn00477	>	-24.583
rxn00478	>	-87.400
rxn00479	>	-96.518
rxn00480	>	-65.930
rxn00481	=	-3.858
rxn00482	=	-2.049
rxn00483	>	-7.910
rxn00484	>	-13.515
rxn00485	>	-10.813
rxn00486	<	160.660
rxn00487	=	2.619
rxn00488	>	-18.268
rxn00489	>	-94.907
rxn00490	>	-24.571
rxn00491	=	-0.047
rxn00492	=	-6.774
rxn00493	=	-0.015
rxn00494	=	0.588
rxn00495	=	-5.605
rxn00497	>	-11.367
rxn00498	>	-32.099
rxn00499	=	4.785
rxn00500	=	4.163
rxn00501	=	-3.409
rxn00502	=	-3.409
rxn00503	>	-8.771
rxn00504	>	-8.771
rxn00505	=	-1.891
rxn00506	>	-11.228
rxn00507	>	-11.228
rxn00508	>	-8.561
rxn00509	>	-8.561
rxn00510	=	2.665
rxn00511	=	2.665
rxn00512	<	8.298
rxn00513	>	-12.932
rxn00514	>	-9.920
rxn00515	=	0.263
rxn00516	>	-25.992
rxn00517	=	4.787
rxn00518	=	-4.381
rxn00519	=	-1.258
rxn00520	=	-0.339
rxn00521	>	-12.445
rxn00522	>	-18.194
rxn00523	>	-42.695
rxn00525	=	-6.107
rxn00526	=	-6.107
rxn00527	=	0.076
rxn00528	>	-10.443
rxn00529	>	-22.816
rxn00530	>	-15.322
rxn00531	>	-19.891
rxn00532	=	0.690
rxn00533	=	-1.224
rxn00534	=	-2.352
rxn00535	>	-78.344
rxn00536	=	3.646
rxn00537	>	-25.876
rxn00538	>	-15.101
rxn00539	>	-14.276
rxn00540	=	1.452
rxn00541	=	-1.916
rxn00542	=	2.007
rxn00543	=	3.645
rxn00544	=	1.147
rxn00545	=	-3.594
rxn00546	=	1.410
rxn00547	=	-3.561
rxn00548	>	-9.839
rxn00549	>	-7.789
rxn00550	>	-14.100
rxn00551	=	-0.933
rxn00552	=	-4.255
rxn00553	=	0.423
rxn00554	=	-3.646
rxn00555	=	-3.157
rxn00556	=	-3.509
rxn00557	=	-3.857
rxn00558	=	1.065
rxn00559	=	-0.474
rxn00560	=	3.920
rxn00561	>	-13.627
rxn00562	=	-3.278
rxn00563	>	-21.787
rxn00564	>	-28.851
rxn00565	>	-94.924
rxn00566	>	-8.411
rxn00568	<	38.214
rxn00569	<	38.215
rxn00570	=	-4.605
rxn00571	<	27.803
rxn00572	<	27.803
rxn00573	=	2.742
rxn00575	>	-11.245
rxn00577	=	-1.628
rxn00578	>	-9.349
rxn00579	=	-0.714
rxn00580	=	-3.448
rxn00581	=	-5.020
rxn00582	>	-7.946
rxn00583	>	-16.998
rxn00584	>	-17.483
rxn00585	>	-16.998
rxn00586	>	-68.233
rxn00587	>	-66.019
rxn00588	>	-80.259
rxn00589	>	-60.213
rxn00591	>	-17.483
rxn00592	=	-6.703
rxn00593	=	-6.688
rxn00594	>	-55.677
rxn00595	>	-55.677
rxn00596	=	-2.114
rxn00598	=	5.776
rxn00599	=	-0.069
rxn00600	=	6.062
rxn00601	=	-1.727
rxn00602	=	-3.373
rxn00603	=	1.779
rxn00604	=	-1.377
rxn00605	=	-3.771
rxn00606	>	-7.169
rxn00607	>	-10.102
rxn00608	>	-10.102
rxn00609	<	24.037
rxn00610	>	-8.100
rxn00611	=	4.566
rxn00612	=	4.567
rxn00613	=	5.700
rxn00614	>	-21.542
rxn00615	=	-3.361
rxn00616	=	1.437
rxn00617	=	-0.756
rxn00618	=	-2.656
rxn00619	=	-4.020
rxn00620	>	-16.189
rxn00621	=	-0.372
rxn00623	<	11.069
rxn00624	>	-71.910
rxn00625	=	0.976
rxn00627	=	-3.375
rxn00629	=	1.388
rxn00630	=	1.388
rxn00631	=	3.376
rxn00632	>	-15.001
rxn00633	=	-3.227
rxn00634	=	1.725
rxn00635	=	-3.824
rxn00636	=	-1.133
rxn00638	=	-2.680
rxn00639	>	-13.138
rxn00640	=	0.409
rxn00641	=	-1.713
rxn00642	>	-22.363
rxn00643	=	0.681
rxn00644	=	1.176
rxn00645	>	-21.269
rxn00646	=	-4.734
rxn00647	=	-3.437
rxn00649	>	-10.349
rxn00650	=	-2.321
rxn00651	>	-57.912
rxn00652	=	-3.705
rxn00653	<	9.397
rxn00654	>	-17.321
rxn00655	=	2.199
rxn00656	=	0.750
rxn00657	=	-0.718
rxn00658	>	-8.178
rxn00659	=	-5.826
rxn00660	=	-4.567
rxn00661	=	-3.111
rxn00662	>	-21.799
rxn00663	<	15.254
rxn00668	>	-11.605
rxn00669	=	1.665
rxn00670	=	4.168
rxn00671	=	-4.038
rxn00672	>	-9.063
rxn00673	<	8.476
rxn00674	=	-0.154
rxn00676	=	6.314
rxn00677	=	1.424
rxn00678	=	-0.438
rxn00679	<	8.152
rxn00680	<	8.557
rxn00682	=	0.553
rxn00684	=	4.480
rxn00686	=	4.481
rxn00688	>	-9.535
rxn00690	=	-0.283
rxn00691	>	-12.015
rxn00692	=	1.358
rxn00693	=	-0.652
rxn00695	=	-1.699
rxn00697	>	-13.954
rxn00698	=	0.770
rxn00699	=	0.602
rxn00700	=	-0.478
rxn00701	=	-0.179
rxn00702	=	-1.126
rxn00703	=	-5.828
rxn00704	=	-2.974
rxn00706	=	-6.021
rxn00707	=	-3.433
rxn00708	=	-6.821
rxn00709	=	-4.320
rxn00710	>	-10.713
rxn00711	=	4.284
rxn00712	=	-4.235
rxn00713	=	-3.781
rxn00714	>	-15.951
rxn00715	=	-4.583
rxn00716	>	-9.710
rxn00717	>	-12.422
rxn00718	>	-26.442
rxn00719	=	-0.333
rxn00720	=	-0.333
rxn00721	<	163.737
rxn00722	>	-61.605
rxn00723	=	-1.789
rxn00724	>	-91.287
rxn00725	=	-0.141
rxn00726	>	-19.118
rxn00727	>	-20.374
rxn00728	>	-19.684
rxn00729	>	-14.331
rxn00730	=	-3.605
rxn00731	=	-6.700
rxn00734	>	-38.403
rxn00735	=	3.204
rxn00736	<	9.544
rxn00737	>	-11.080
rxn00738	=	6.771
rxn00739	=	4.714
rxn00740	>	-19.358
rxn00741	=	3.152
rxn00742	=	-6.339
rxn00743	>	-8.569
rxn00744	=	-3.009
rxn00745	>	-8.060
rxn00746	=	0.602
rxn00747	=	-2.267
rxn00748	>	-20.642
rxn00749	>	-24.501
rxn00751	=	-4.274
rxn00752	>	-23.159
rxn00753	=	-2.002
rxn00754	>	-11.343
rxn00758	>	-73.822
rxn00762	=	4.214
rxn00763	<	7.283
rxn00764	=	4.215
rxn00765	<	7.284
rxn00766	>	-11.940
rxn00767	=	-0.700
rxn00768	>	-13.550
rxn00769	>	-15.322
rxn00770	=	-0.685
rxn00771	=	-2.840
rxn00772	=	-5.446
rxn00773	=	-0.356
rxn00774	=	-5.333
rxn00775	>	-12.196
rxn00776	=	-4.438
rxn00777	=	0.864
rxn00778	=	-4.631
rxn00779	>	-9.692
rxn00780	=	-4.944
rxn00781	=	2.951
rxn00782	=	2.951
rxn00783	=	-0.877
rxn00784	=	0.849
rxn00785	=	2.079
rxn00786	=	1.628
rxn00787	=	1.327
rxn00789	<	10.499
rxn00790	<	13.114
rxn00791	<	12.676
rxn00792	<	235.351
rxn00793	=	-1.789
rxn00794	>	-8.285
rxn00795	=	-3.520
rxn00796	>	-66.603
rxn00797	>	-8.091
rxn00798	=	1.082
rxn00799	=	1.382
rxn00800	=	-0.241
rxn00801	>	-17.491
rxn00802	=	-1.493
rxn00803	=	-3.055
rxn00804	=	2.684
rxn00805	=	-4.033
rxn00806	=	0.065
rxn00807	=	2.807
rxn00808	=	-3.285
rxn00810	=	-3.787
rxn00812	=	-4.787
rxn00813	=	-3.786
rxn00814	>	-35.250
rxn00815	>	-22.804
rxn00816	>	-7.495
rxn00817	>	-7.491
rxn00818	=	-4.005
