rxn_id,operator,dg,dge
rxn00416,>,-7.24,0.89
rxn00417,=,1.69,0.8
rxn00418,=,278.49,23900.57
rxn00419,=,9.72,0.2
rxn00420,>,-2.46,0.07
rxn00421,=,-1.01,0.08
rxn00422,=,0.94,0.19
rxn00423,=,-1.6,0.71
rxn00424,=,-1.03,0.42
rxn00425,=,-0.13,0.73
rxn00426,=,-1.44,0.45
rxn00427,>,-69.76,1.13
rxn00429,=,-10.51,0.47
rxn00430,=,8.02,0.8
rxn00431,>,-2.29,0.82
rxn00432,>,-23.7,1.28
rxn00433,>,-17.34,1.53
rxn00434,>,-15.69,1.36
rxn00435,>,-18.53,1.04
rxn00436,=,6.36,0.98
rxn00437,=,1.05,0.3
rxn00438,=,-12.52,0.98
rxn00439,>,-7.21,0.31
rxn00440,=,-1.16,0.59
rxn00441,>,-6.56,0.87
rxn00445,>,-32.0,1.07
rxn00448,>,-120.46,1.22
rxn00449,=,0.0,0.0
rxn00450,>,-25.52,1.12
rxn00451,=,-0.16,0.68
rxn00452,=,-0.24,23900.57
rxn00453,>,-13.64,0.72
rxn00454,=,-4.55,0.6
rxn00455,=,-5.28,1.38
rxn00456,>,-2.23,1.11
rxn00457,=,-0.64,0.3
rxn00458,>,-5.72,0.82
rxn00459,=,-0.98,0.07
rxn00460,=,7.21,0.33
rxn00461,>,-4.1,0.89
rxn00462,<,3.79,0.71
rxn00463,>,-7.05,0.94
rxn00464,>,-14.87,1.36
rxn00465,=,-5.77,1.2
rxn00467,=,-1.37,1.09
rxn00468,>,-9.44,1.27
rxn00469,=,-1.62,0.84
rxn00470,>,-7.26,1.32
rxn00471,>,-5.45,1.01
rxn00472,=,-2.31,1.18
rxn00473,=,4.95,0.16
rxn00474,>,-11.88,0.27
rxn00475,>,-0.89,1.21
rxn00476,>,-0.89,1.21
rxn00477,>,-32.61,1.57
rxn00478,>,-82.24,1.58
rxn00479,>,-115.02,1.6
rxn00480,>,-94.74,1.55
rxn00481,=,1.3,1.31
rxn00482,=,-1.81,23900.57
rxn00483,=,-9.6,1.21
rxn00484,>,-8.82,1.37
rxn00485,>,-10.07,0.96
rxn00486,=,191.63,23900.57
rxn00487,=,5.2,1.0
rxn00488,>,-26.52,1.41
rxn00489,>,-112.92,1.45
rxn00490,>,-19.05,2.64
rxn00491,=,-3.58,1.0
rxn00492,>,-6.96,1.04
rxn00493,=,-3.51,1.0
rxn00494,=,4.2,1.0
rxn00495,>,-0.89,0.13
rxn00496,<,20.8,1.03
rxn00497,>,-6.72,1.22
rxn00499,=,6.43,0.11
rxn00500,=,5.68,0.5
rxn00501,=,-5.96,1.28
rxn00502,=,-5.96,1.28
rxn00503,=,-2.27,1.28
rxn00504,=,-2.26,1.28
rxn00505,>,1.41,0.78
rxn00506,=,-11.48,0.31
rxn00507,=,-11.48,0.32
rxn00508,=,-8.47,0.57
rxn00509,=,-8.47,0.58
rxn00510,=,8.74,0.71
rxn00511,=,8.74,0.72
rxn00512,=,10.54,0.21
rxn00513,>,-7.03,0.36
rxn00514,>,-2.25,0.71
rxn00515,=,0.87,0.35
rxn00517,=,5.66,0.35
rxn00518,=,-4.88,0.37
rxn00519,>,1.7,0.82
rxn00520,=,-1.36,0.48
rxn00521,>,-6.32,1.06
rxn00522,>,-22.92,1.14
rxn00523,=,-67.6,23900.57
rxn00524,>,-102.49,1.45
rxn00525,>,-5.36,2.64
rxn00526,>,-5.36,2.64
rxn00527,=,0.09,0.5
rxn00528,>,-16.37,1.65
rxn00529,>,-16.86,1.23
rxn00530,>,-9.56,1.06
rxn00531,>,-11.79,0.97
rxn00532,=,-2.02,1.09
rxn00533,=,-0.95,0.36
rxn00534,=,-2.63,0.35
rxn00535,>,-119.68,0.76
rxn00536,=,5.03,0.11
rxn00537,>,-18.07,1.77
rxn00538,>,-9.47,0.64
rxn00539,>,-8.71,0.85
rxn00540,=,-2.94,0.42
rxn00541,=,2.36,0.55
rxn00542,=,5.67,0.45
rxn00543,=,5.03,0.08
rxn00544,=,-2.94,0.49
rxn00545,=,-4.64,0.37
rxn00546,=,4.41,0.52
rxn00547,=,-2.81,0.3
rxn00548,>,-12.71,0.58
rxn00549,=,-1.52,0.37
rxn00550,>,-7.26,0.6
rxn00551,=,-1.95,0.37
rxn00552,=,1.17,0.61
rxn00553,=,-0.6,0.68
rxn00554,=,-4.37,0.71
rxn00555,=,-3.99,0.64
rxn00556,=,-3.97,0.48
rxn00557,=,-5.51,0.51
rxn00558,=,1.4,0.34
rxn00559,=,-0.21,0.17
rxn00560,=,8.13,1.34
rxn00561,=,-6.92,1.69
rxn00562,=,1.21,0.41
rxn00563,>,-14.69,1.56
rxn00565,>,-83.01,1.03
rxn00566,>,-0.83,1.04
rxn00568,<,93.91,0.89
rxn00569,<,93.92,0.91
rxn00571,<,34.51,1.02
rxn00572,<,34.51,1.03
rxn00574,=,19.26,1.03
rxn00575,=,-5.72,0.44
rxn00577,=,-0.85,0.5
rxn00578,>,-3.95,0.73
rxn00579,=,-1.19,0.46
rxn00580,=,-3.29,1.1
rxn00581,=,-5.42,1.13
rxn00582,=,-4.82,0.66
rxn00583,>,-19.68,2.37
rxn00584,>,-22.07,2.56
rxn00585,>,-19.68,2.37
rxn00586,>,-105.97,0.91
rxn00587,>,-62.22,1.39
rxn00588,>,-73.85,1.47
rxn00589,>,-108.63,1.19
rxn00590,>,-120.33,1.49
rxn00591,>,-22.07,2.56
rxn00592,>,-2.66,0.8
rxn00593,>,-2.66,0.8
rxn00594,>,-113.59,1.3
rxn00595,>,-113.59,1.3
rxn00596,=,-1.84,23900.57
rxn00597,=,-83.43,23900.57
rxn00598,=,6.74,0.65
rxn00599,=,3.81,1.01
rxn00600,=,7.97,0.74
rxn00601,>,-0.5,1.4
rxn00602,=,-1.81,0.5
rxn00603,=,3.02,0.42
rxn00604,=,-0.95,0.32
rxn00605,=,-4.6,0.5
rxn00606,=,-2.31,0.47
rxn00607,=,-4.65,0.59
rxn00608,=,-4.65,0.59
rxn00609,<,14.37,1.78
rxn00610,>,-2.58,0.51
rxn00611,=,6.14,0.18
rxn00612,=,6.14,0.2
rxn00613,=,7.45,0.23
rxn00614,>,-25.58,1.03
rxn00615,=,-3.58,0.51
rxn00616,=,2.54,0.75
rxn00617,=,-0.43,0.51
rxn00618,=,-2.51,0.65
rxn00619,=,-4.0,0.65
rxn00620,>,-8.52,0.58
rxn00621,=,0.52,0.41
rxn00623,=,29.45,1.14
rxn00624,=,-60.2,23900.57
rxn00627,=,-3.8,0.45
rxn00629,=,2.56,0.44
rxn00630,=,2.56,0.44
rxn00631,=,4.51,0.49
rxn00632,>,-8.78,0.6
rxn00633,=,-3.98,0.49
rxn00634,=,2.96,0.41
rxn00635,=,-3.67,0.46
rxn00636,=,-0.46,0.4
rxn00638,=,-2.77,0.85
rxn00639,=,-4.74,0.99
rxn00640,=,-0.79,0.94
rxn00641,>,-2.88,0.88
rxn00642,>,-13.88,0.97
rxn00643,=,0.4,0.71
rxn00644,=,-1.55,1.6
rxn00645,=,-22.26,23900.57
rxn00646,>,-7.43,1.18
rxn00647,=,-4.0,1.13
rxn00649,>,-11.8,1.28
rxn00650,=,1.77,1.18
rxn00651,=,-68.26,16900.26
rxn00652,=,-2.14,1.05
rxn00653,=,9.54,1.46
rxn00654,>,-13.78,1.7
rxn00655,=,8.09,1.65
rxn00656,=,0.96,0.71
rxn00657,=,-0.89,0.73
rxn00658,=,-3.38,1.36
rxn00659,>,-8.32,1.4
rxn00660,=,-0.11,1.4
rxn00661,>,-3.17,1.88
rxn00662,>,-14.89,1.97
rxn00664,>,-73.51,1.49
rxn00667,=,83.08,7.52
rxn00668,=,-14.14,0.81
rxn00669,=,3.69,0.72
rxn00670,=,4.48,0.8
rxn00671,=,-6.89,1.05
rxn00672,>,-4.15,1.45
rxn00673,<,10.53,1.07
rxn00674,=,1.42,0.71
rxn00675,=,-280.57,23900.57
rxn00676,=,6.98,0.69
rxn00677,=,2.55,0.72
rxn00678,=,-0.18,1.28
rxn00679,<,9.57,0.81
rxn00680,<,9.2,0.85
rxn00681,<,382.79,2.1
rxn00684,=,5.18,0.58
rxn00685,>,-5.75,0.93
rxn00686,=,5.18,0.57
rxn00687,>,-5.75,0.92
rxn00688,>,-7.8,0.95
rxn00690,=,-1.89,0.66
rxn00691,=,-4.27,0.66
rxn00692,=,2.48,0.6
rxn00693,=,-1.81,1.19
rxn00695,>,-2.78,0.43
rxn00697,>,-5.65,0.43
rxn00698,=,1.42,0.65
rxn00699,=,1.52,0.77
rxn00700,=,-0.4,0.77
rxn00703,>,-6.25,0.68
